,thermometer_male,thermometer_female,tuple,average_male,average_female,female-male
0,-0.069166906,-0.17244187,"('unsociable', 'sociable')",-0.0691669,-0.1724419,-0.103275
1,-0.33676082,-0.4612678,"('unfriendly', 'friendly')",-0.3367608,-0.4612678,-0.124507
2,0.40366504,0.38616282,"('unlikable', 'likable')",0.403665,0.3861628,-0.0175022
3,-1.0511339,-1.0034959,"('repellent', 'pleasant')",-1.0511339,-1.0034959,0.047638
4,-1.4592627,-1.4438617,"('disliked', 'liked')",-1.4592627,-1.4438617,0.015401
5,-1.1515348,-1.1983534,"('distant', 'outgoing')",-1.1515348,-1.1983534,-0.0468186
6,-1.1519201,-1.2035848,"('distant', 'open')",-1.1519201,-1.2035848,-0.0516647
7,-0.21553089,-0.22877629,"('insensitive', 'sensitive')",-0.2155309,-0.2287763,-0.0132454
8,-0.4093197,-0.51857346,"('unaffectionate', 'affectionate')",-0.4093197,-0.5185735,-0.1092538
9,-0.38931835,-0.4760113,"('unaffectionate', 'caring')",-0.3893183,-0.4760113,-0.086693
10,-0.72971046,-0.79044974,"('unsympathetic', 'sympathetic')",-0.7297105,-0.7904497,-0.0607392
11,0.17576617,0.11375275,"('unhelpful', 'helpful')",0.1757662,0.1137528,-0.0620134
12,-0.7469274,-0.6952549,"('unsupportive', 'supportive')",-0.7469274,-0.6952549,0.0516725
13,0.3396305,0.33710992,"('impolite', 'polite')",0.3396305,0.3371099,-0.0025206
14,-0.09369324,-0.12744989,"('antisocial', 'social')",-0.0936932,-0.1274499,-0.0337567
15,0.5850909,0.44050816,"('boring', 'funny')",0.5850909,0.4405082,-0.1445827
16,0.027594948,-0.041799515,"('unpopular', 'popular')",0.0275949,-0.0417995,-0.0693944
17,-0.15646665,-0.116246656,"('nasty', 'nice')",-0.1564666,-0.1162467,0.0402199
18,-0.49499217,-0.49550802,"('disagreeable', 'welcoming')",-0.4949922,-0.495508,-0.0005158
19,-2.6634562,-2.6613328,"('inhospitable', 'hospitable')",-2.6634562,-2.6613328,0.0021234
20,0.17785946,0.25506458,"('rough', 'thoughtful')",0.1778595,0.2550646,0.0772051
21,0.023426171,0.009623467,"('immoral', 'moral')",0.0234262,0.0096235,-0.0138027
22,-0.16838197,-0.22165053,"('untrustworthy', 'trustworthy')",-0.168382,-0.2216505,-0.0532685
23,0.7888432,0.6764622,"('insincere', 'sincere')",0.7888432,0.6764622,-0.112381
24,-0.009770518,-0.055950552,"('dishonest', 'honest')",-0.0097705,-0.0559506,-0.0461801
25,0.43983036,0.46039778,"('egoistic', 'altruistic')",0.4398304,0.4603978,0.0205674
26,0.9730954,0.7502842,"('hardhearted', 'benevolent')",0.9730954,0.7502842,-0.2228112
27,0.24416773,0.2562714,"('hardhearted', 'softhearted')",0.2441677,0.2562714,0.0121037
28,0.07255518,-0.078789815,"('disloyal', 'loyal')",0.0725552,-0.0787898,-0.151345
29,-0.26855063,-0.2888256,"('unfair', 'fair')",-0.2685506,-0.2888256,-0.020275
30,0.65013576,0.56680584,"('intolerant', 'tolerant')",0.6501358,0.5668058,-0.08333
31,-0.6255395,-0.5365741,"('evil', 'good')",-0.6255395,-0.5365741,0.0889654
32,0.07256676,-0.03516714,"('unkind', 'kind')",0.0725668,-0.0351671,-0.1077339
33,0.22277802,0.18541324,"('wrong', 'right')",0.222778,0.1854132,-0.0373648
34,1.302298,1.3486109,"('mean', 'honorable')",1.3022979,1.3486109,0.046313
35,0.42716444,0.44002375,"('corrupt', 'incorrupt')",0.4271644,0.4400238,0.0128594
36,-0.33567095,-0.3814855,"('hostile', 'amicable')",-0.3356709,-0.3814855,-0.0458146
37,-0.879405,-0.90710175,"('fake', 'genuine')",-0.879405,-0.9071018,-0.0276968
38,0.3535581,0.36546534,"('untruthful', 'truthful')",0.3535581,0.3654653,0.0119072
39,0.17145972,0.22869448,"('exploitative', 'cooperative')",0.1714597,0.2286945,0.0572348
40,-0.2809083,-0.2551467,"('stingy', 'generous')",-0.2809083,-0.2551467,0.0257616
41,0.24948761,0.21054284,"('unforgiving', 'forgiving')",0.2494876,0.2105428,-0.0389448
42,-0.8709866,-0.86819726,"('unreliable', 'reliable')",-0.8709866,-0.8681973,0.0027893
43,-0.1998145,-0.21299149,"('irresponsible', 'responsible')",-0.1998145,-0.2129915,-0.013177
