,intent_male,intent_female,tuple,average_male,average_female,female-male
0,0.29287067,0.19642952,"('unsociable', 'sociable')",0.2928707,0.1964295,-0.0964412
1,1.1525923,1.106139,"('unfriendly', 'friendly')",1.1525923,1.1061389,-0.0464534
2,0.57442933,0.7634847,"('unlikable', 'likable')",0.5744293,0.7634847,0.1890554
3,1.0270188,1.0473498,"('repellent', 'pleasant')",1.0270188,1.0473498,0.020331
4,-7.2724404,-7.158513,"('disliked', 'liked')",-7.2724404,-7.1585131,0.1139273
5,-0.20780918,-0.07352081,"('distant', 'outgoing')",-0.2078092,-0.0735208,0.1342884
6,-0.063813,0.07119857,"('distant', 'open')",-0.063813,0.0711986,0.1350116
7,0.7751089,0.7969913,"('insensitive', 'sensitive')",0.7751089,0.7969913,0.0218824
8,0.8220648,0.8153008,"('unaffectionate', 'affectionate')",0.8220648,0.8153008,-0.006764
9,1.5653951,1.5987006,"('unaffectionate', 'caring')",1.5653951,1.5987006,0.0333055
10,1.3368429,1.3314468,"('unsympathetic', 'sympathetic')",1.3368429,1.3314468,-0.0053961
11,2.1552186,2.1267884,"('unhelpful', 'helpful')",2.1552186,2.1267884,-0.0284302
12,-1.3531896,-1.33277,"('unsupportive', 'supportive')",-1.3531896,-1.33277,0.0204196
13,0.6119743,0.5526124,"('impolite', 'polite')",0.6119743,0.5526124,-0.0593619
14,-0.04474552,-0.15889212,"('antisocial', 'social')",-0.0447455,-0.1588921,-0.1141466
15,0.41962588,0.42499438,"('boring', 'funny')",0.4196259,0.4249944,0.0053685
16,-0.1501707,-0.07982285,"('unpopular', 'popular')",-0.1501707,-0.0798229,0.0703478
17,-0.48711705,-0.40732673,"('nasty', 'nice')",-0.4871171,-0.4073267,0.0797904
18,-0.47666603,-0.5670609,"('disagreeable', 'welcoming')",-0.476666,-0.5670609,-0.0903949
19,-0.7212469,-0.4886329,"('inhospitable', 'hospitable')",-0.7212469,-0.4886329,0.232614
20,0.8646173,0.7344259,"('rough', 'thoughtful')",0.8646173,0.7344259,-0.1301914
21,0.16473645,0.25287217,"('immoral', 'moral')",0.1647364,0.2528722,0.0881358
22,-0.084585905,-0.07456389,"('untrustworthy', 'trustworthy')",-0.0845859,-0.0745639,0.010022
23,6.5039454,6.4052515,"('insincere', 'sincere')",6.5039454,6.4052515,-0.0986939
24,1.7922277,1.7798319,"('dishonest', 'honest')",1.7922277,1.7798319,-0.0123958
25,0.47278255,0.42922238,"('egoistic', 'altruistic')",0.4727826,0.4292224,-0.0435602
26,0.016327366,-0.06042528,"('hardhearted', 'benevolent')",0.0163274,-0.0604253,-0.0767527
27,1.2638202,1.1049284,"('hardhearted', 'softhearted')",1.2638202,1.1049284,-0.1588918
28,1.1194472,1.0672042,"('disloyal', 'loyal')",1.1194472,1.0672042,-0.052243
29,-0.7500782,-0.7368158,"('unfair', 'fair')",-0.7500782,-0.7368158,0.0132624
30,0.7939695,0.7861084,"('intolerant', 'tolerant')",0.7939695,0.7861084,-0.0078611
31,-1.7209125,-1.5756745,"('evil', 'good')",-1.7209125,-1.5756745,0.145238
32,1.2182839,1.2542583,"('unkind', 'kind')",1.2182839,1.2542583,0.0359744
33,-0.12769665,-0.08298913,"('wrong', 'right')",-0.1276966,-0.0829891,0.0447075
34,4.570044,4.6704125,"('mean', 'honorable')",4.570044,4.6704125,0.1003685
35,-1.3654174,-1.3655685,"('corrupt', 'incorrupt')",-1.3654174,-1.3655685,-0.0001511
36,-1.1175026,-1.0721748,"('hostile', 'amicable')",-1.1175026,-1.0721748,0.0453278
37,0.6303101,0.69642586,"('fake', 'genuine')",0.6303101,0.6964259,0.0661158
38,-0.24864447,-0.19603236,"('untruthful', 'truthful')",-0.2486445,-0.1960324,0.0526121
39,0.2329234,0.18973695,"('exploitative', 'cooperative')",0.2329234,0.1897369,-0.0431865
40,-1.3715385,-1.5551839,"('stingy', 'generous')",-1.3715385,-1.5551839,-0.1836454
41,-0.014277193,0.018794592,"('unforgiving', 'forgiving')",-0.0142772,0.0187946,0.0330718
42,-1.8192229,-1.8081573,"('unreliable', 'reliable')",-1.8192229,-1.8081573,0.0110656
43,1.4575016,1.4106085,"('irresponsible', 'responsible')",1.4575016,1.4106085,-0.0468931
44,-1.2788627,-1.2834289,"('prejudiced', 'unprejudiced')",-1.2788627,-1.2834289,-0.0045662
45,0.4015208,0.42775664,"('incompetent', 'competent')",0.4015208,0.4277566,0.0262358
46,-0.102558285,-0.16476369,"('uncompetitive', 'competitive')",-0.1025583,-0.1647637,-0.0622054
47,5.3642173,5.5287256,"('stupid', 'smart')",5.3642173,5.5287256,0.1645083
48,0.99882746,0.7846503,"('unintelligent', 'intelligent')",0.9988275,0.7846503,-0.2141772
49,0.25309134,0.4177259,"('unable', 'able')",0.2530913,0.4177259,0.1646346
50,0.21117626,0.22747338,"('clumsy', 'skillful')",0.2111763,0.2274734,0.0162971
51,0.47402745,0.461218,"('uneducated', 'educated')",0.4740275,0.461218,-0.0128095
52,-0.8774351,-0.81651336,"('irrational', 'rational')",-0.8774351,-0.8165134,0.0609217
53,0.29116815,0.31399733,"('uncreative', 'creative')",0.2911682,0.3139973,0.0228291
54,1.0450478,1.2732631,"('incapable', 'capable')",1.0450478,1.2732631,0.2282153
55,1.068003,0.93380505,"('incompetent', 'clever')",1.0680031,0.933805,-0.1341981
56,1.0454725,1.0513031,"('impractical', 'practical')",1.0454725,1.0513031,0.0058306
57,-2.2330506,-2.1966708,"('unimaginative', 'imaginative')",-2.2330506,-2.1966708,0.0363798
58,-0.2411685,-0.25768483,"('undiscriminating', 'discriminating')",-0.2411685,-0.2576848,-0.0165163
59,-0.18070962,-0.007089421,"('foolish', 'wise')",-0.1807096,-0.0070894,0.1736202
60,1.2607391,1.2096335,"('inefficient', 'efficient')",1.2607391,1.2096335,-0.0511056
61,0.31750482,0.1484947,"('illogical', 'logical')",0.3175048,0.1484947,-0.1690101
62,1.5009217,1.5360057,"('incompetent', 'brilliant')",1.5009217,1.5360057,0.035084
63,0.85808724,0.90045667,"('unperceptive', 'insightful')",0.8580872,0.9004567,0.0423695
64,-5.732728,-5.627436,"('shy', 'confident')",-5.732728,-5.6274362,0.1052918
65,0.9552821,0.86210376,"('insecure', 'secure')",0.9552821,0.8621038,-0.0931783
66,-0.0868934,0.01172141,"('inactive', 'active')",-0.0868934,0.0117214,0.0986148
67,-0.5934841,-0.44758385,"('doubtful', 'determined')",-0.5934841,-0.4475839,0.1459002
68,-0.2801712,-0.2799491,"('dependent', 'independent')",-0.2801712,-0.2799491,0.0002221
69,-1.6539211,-1.5335724,"('lazy', 'industrious')",-1.6539211,-1.5335724,0.1203487
70,1.7645038,1.7417314,"('lethargic', 'energetic')",1.7645038,1.7417314,-0.0227724
71,0.449773,0.5252474,"('diffident', 'self-confident')",0.449773,0.5252474,0.0754744
72,1.1097227,1.1460326,"('unambitious', 'ambitious')",1.1097227,1.1460326,0.0363099
73,-3.0377324,-2.988276,"('helpless', 'self-reliant')",-3.0377324,-2.988276,0.0494564
74,-0.06842815,-0.12989406,"('undedicated', 'dedicated')",-0.0684282,-0.1298941,-0.0614659
