,macys_male,macys_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.4427238,0.48229456,"('unsociable', 'sociable')",-0.5654546,-0.7610985,-0.0613654,-0.139402,-0.0780366
1,0.80586684,0.9991736,"('unfriendly', 'friendly')",2.0898602,2.0197246,1.4478636,1.5094491,0.0615855
2,0.57558066,0.6561335,"('unlikable', 'likable')",0.5198311,0.60507196,0.5477059,0.6306027,0.0828968
3,-0.79910266,-0.69846064,"('repellent', 'pleasant')",0.19275963,0.2609416,-0.3031715,-0.2187595,0.084412
4,-0.32959554,-0.3652408,"('disliked', 'liked')",-6.521375,-6.6674495,-3.4254854,-3.516345,-0.0908596
5,0.08162945,0.1667058,"('distant', 'outgoing')",-0.08540025,-0.05010175,-0.0018854,0.058302,0.0601874
6,-0.038128924,0.11489398,"('distant', 'open')",0.6004357,0.66985166,0.2811534,0.3923728,0.1112194
7,0.14807542,0.307172,"('insensitive', 'sensitive')",0.8009054,0.7585997,0.4744904,0.5328858,0.0583954
8,0.17860642,0.2607486,"('unaffectionate', 'affectionate')",1.281375,1.1589537,0.7299907,0.7098511,-0.0201396
9,0.39985943,0.54752433,"('unaffectionate', 'caring')",1.2918133,1.246808,0.8458363,0.8971662,0.0513299
10,-0.06211821,0.13814324,"('unsympathetic', 'sympathetic')",-0.28133857,-0.35384583,-0.1717284,-0.1078513,0.0638771
11,-0.4076544,-0.32270685,"('unhelpful', 'helpful')",1.4889047,1.5741789,0.5406252,0.6257361,0.0851109
12,0.98606855,1.2187239,"('unsupportive', 'supportive')",-1.5517762,-1.6146468,-0.2828538,-0.1979614,0.0848924
13,0.5885905,0.6745776,"('impolite', 'polite')",-0.42725927,-0.40397638,0.0806656,0.1353006,0.054635
14,0.08267096,0.046051033,"('antisocial', 'social')",-0.8198353,-0.8925895,-0.3685822,-0.4232692,-0.054687
15,0.40856457,0.45511904,"('boring', 'funny')",0.6275482,0.66142267,0.5180564,0.5582709,0.0402145
16,-0.8376471,-0.7129394,"('unpopular', 'popular')",0.31658414,0.3704301,-0.2605315,-0.1712546,0.0892769
17,-0.5511683,-0.40320706,"('nasty', 'nice')",-0.553396,-0.4249809,-0.5522822,-0.414094,0.1381882
18,-0.46978104,-0.42165744,"('disagreeable', 'welcoming')",-0.40623665,-0.4364362,-0.4380088,-0.4290468,0.008962
19,0.698066,0.7702126,"('inhospitable', 'hospitable')",0.55421615,0.62930524,0.6261411,0.6997589,0.0736178
20,0.1943714,0.23182742,"('rough', 'thoughtful')",1.1068548,1.0566627,0.6506131,0.644245,-0.0063681
21,0.5753397,0.6301865,"('immoral', 'moral')",-0.8043469,-0.82294565,-0.1145036,-0.0963796,0.018124
22,-0.33443382,-0.34678423,"('untrustworthy', 'trustworthy')",-0.95908135,-1.053908,-0.6467576,-0.7003461,-0.0535885
23,0.38283148,0.5122277,"('insincere', 'sincere')",5.7591662,5.7843766,3.0709989,3.1483021,0.0773032
24,0.25145704,0.30653065,"('dishonest', 'honest')",0.9877703,0.9817579,0.6196136,0.6441443,0.0245307
25,0.3281196,0.35434934,"('egoistic', 'altruistic')",1.3567766,1.3121458,0.8424481,0.8332476,-0.0092005
26,1.530053,1.5789179,"('hardhearted', 'benevolent')",1.9482495,1.835743,1.7391512,1.7073305,-0.0318207
