,typewriter_male,typewriter_female,tuple,average_male,average_female,female-male
0,-0.36801147,-0.3816359,"('unsociable', 'sociable')",-0.3680115,-0.3816359,-0.0136244
1,0.8721982,0.72850704,"('unfriendly', 'friendly')",0.8721982,0.728507,-0.1436912
2,-0.08710657,-0.016521255,"('unlikable', 'likable')",-0.0871066,-0.0165213,0.0705853
3,-0.52286446,-0.40796798,"('repellent', 'pleasant')",-0.5228645,-0.407968,0.1148965
4,-3.9335337,-3.9339135,"('disliked', 'liked')",-3.9335337,-3.9339135,-0.0003798
5,0.16911577,0.18904585,"('distant', 'outgoing')",0.1691158,0.1890458,0.01993
6,0.05192543,0.08564699,"('distant', 'open')",0.0519254,0.085647,0.0337216
7,-0.20904012,-0.08018804,"('insensitive', 'sensitive')",-0.2090401,-0.080188,0.1288521
8,0.42464617,0.31669116,"('unaffectionate', 'affectionate')",0.4246462,0.3166912,-0.107955
9,0.8037928,0.7311308,"('unaffectionate', 'caring')",0.8037928,0.7311308,-0.072662
10,-0.6087831,-0.4925982,"('unsympathetic', 'sympathetic')",-0.6087831,-0.4925982,0.1161849
11,0.5509734,0.6470646,"('unhelpful', 'helpful')",0.5509734,0.6470646,0.0960912
12,-1.0315232,-0.9596857,"('unsupportive', 'supportive')",-1.0315232,-0.9596857,0.0718375
13,0.061951768,0.11291482,"('impolite', 'polite')",0.0619518,0.1129148,0.050963
14,-0.7953991,-0.8186039,"('antisocial', 'social')",-0.7953991,-0.8186039,-0.0232048
15,0.7455002,0.6717629,"('boring', 'funny')",0.7455002,0.6717629,-0.0737373
16,-0.33027625,-0.3923638,"('unpopular', 'popular')",-0.3302763,-0.3923638,-0.0620875
17,0.18688127,0.24708152,"('nasty', 'nice')",0.1868813,0.2470815,0.0602002
18,-1.1183997,-1.1202786,"('disagreeable', 'welcoming')",-1.1183997,-1.1202786,-0.0018789
19,-0.6715436,-0.6361653,"('inhospitable', 'hospitable')",-0.6715436,-0.6361653,0.0353783
20,0.38957623,0.3876168,"('rough', 'thoughtful')",0.3895762,0.3876168,-0.0019594
21,-0.45376155,-0.26869336,"('immoral', 'moral')",-0.4537615,-0.2686934,0.1850681
22,-0.932431,-0.89502656,"('untrustworthy', 'trustworthy')",-0.932431,-0.8950266,0.0374044
23,3.2328618,3.2692885,"('insincere', 'sincere')",3.2328618,3.2692885,0.0364267
24,0.81227297,0.8195262,"('dishonest', 'honest')",0.812273,0.8195262,0.0072532
25,1.028213,0.9904649,"('egoistic', 'altruistic')",1.028213,0.9904649,-0.0377481
26,1.6147283,1.3027507,"('hardhearted', 'benevolent')",1.6147283,1.3027507,-0.3119776
27,0.4334809,0.34504947,"('hardhearted', 'softhearted')",0.4334809,0.3450495,-0.0884314
28,0.5660298,0.4288552,"('disloyal', 'loyal')",0.5660298,0.4288552,-0.1371746
29,-0.3706905,-0.44087288,"('unfair', 'fair')",-0.3706905,-0.4408729,-0.0701824
30,0.16044848,0.1813575,"('intolerant', 'tolerant')",0.1604485,0.1813575,0.020909
31,-0.75868744,-0.850161,"('evil', 'good')",-0.7586874,-0.850161,-0.0914736
32,0.51898146,0.5253334,"('unkind', 'kind')",0.5189815,0.5253334,0.0063519
33,0.48188323,0.40804127,"('wrong', 'right')",0.4818832,0.4080413,-0.0738419
34,2.198197,2.3114686,"('mean', 'honorable')",2.1981969,2.3114686,0.1132717
35,0.45610076,0.23995517,"('corrupt', 'incorrupt')",0.4561008,0.2399552,-0.2161456
