,unitedhealth_male,unitedhealth_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.9196289,-1.7310448,"('unsociable', 'sociable')",0.9327778,0.845061,-0.75489587,-0.82459974,-0.5805823,-0.5701945,0.0103878
1,-0.41173422,-0.2869627,"('unfriendly', 'friendly')",-0.3667782,-0.48209584,1.8323767,1.8114331,0.3512881,0.3474582,-0.0038299
2,-0.0828179,-0.030779783,"('unlikable', 'likable')",1.7274046,1.7039661,0.7979056,0.9181956,0.8141641,0.863794,0.0496299
3,-1.6258277,-1.3466094,"('repellent', 'pleasant')",0.93474776,1.0830773,0.35931638,0.41844934,-0.1105878,0.0516391,0.1622269
4,0.4835299,0.3977621,"('disliked', 'liked')",-0.3270003,-0.51364136,-6.5999455,-6.611038,-2.1478054,-2.2423058,-0.0945004
5,1.2360284,1.2108842,"('distant', 'outgoing')",-2.0558486,-2.070477,-0.03323567,0.0166471,-0.2843519,-0.2809819,0.00337
6,1.5655597,1.6332082,"('distant', 'open')",-2.0984478,-2.0907798,0.6144583,0.6615014,0.0271901,0.0679766,0.0407865
7,-0.9025371,-0.6714723,"('insensitive', 'sensitive')",0.34311602,0.48232657,0.48932984,0.5515689,-0.0233637,0.1208077,0.1441714
8,-0.84846395,-0.9258455,"('unaffectionate', 'affectionate')",-0.52531904,-0.566499,0.7882238,0.74663275,-0.1951864,-0.2485706,-0.0533842
9,0.037654698,0.116328955,"('unaffectionate', 'caring')",-0.008084381,-0.059630442,1.227511,1.248946,0.4190271,0.4352148,0.0161877
10,-2.4454882,-2.0397072,"('unsympathetic', 'sympathetic')",0.83754575,0.94998246,-0.38949472,-0.3643366,-0.6658124,-0.4846871,0.1811253
11,-1.2071327,-1.0740112,"('unhelpful', 'helpful')",0.14724094,0.1877683,1.6434333,1.7009321,0.1945139,0.2715631,0.0770492
12,0.7496393,0.9888206,"('unsupportive', 'supportive')",1.31598,1.5290711,-1.7891132,-1.6715504,0.0921687,0.2821138,0.1899451
13,-1.7002108,-1.5527294,"('impolite', 'polite')",0.56604946,0.6285406,-0.4766319,-0.461609,-0.5369311,-0.4619326,0.0749985
14,-1.4444882,-1.3659751,"('antisocial', 'social')",2.0088449,1.987385,-0.6655348,-0.7642219,-0.033726,-0.047604,-0.013878
15,0.74616,0.499209,"('boring', 'funny')",-1.0251217,-1.2177293,0.46194333,0.4111381,0.0609939,-0.1024608,-0.1634547
16,-0.21591006,-0.18618028,"('unpopular', 'popular')",-0.8825969,-0.8681693,0.57930803,0.5730422,-0.1730663,-0.1604358,0.0126305
17,0.15465117,0.22825445,"('nasty', 'nice')",-0.9210418,-0.89215755,-0.30547276,-0.2842289,-0.3572878,-0.316044,0.0412438
18,-0.035756405,0.10751271,"('disagreeable', 'welcoming')",-1.0259212,-0.9144076,-0.33093488,-0.2807029,-0.4642042,-0.3625326,0.1016716
19,0.23455319,0.29379073,"('inhospitable', 'hospitable')",-1.586296,-1.610423,0.0036324654,0.18588665,-0.4493701,-0.3769152,0.0724549
20,-0.9239989,-0.81081873,"('rough', 'thoughtful')",1.164049,1.2415321,1.2960435,1.2457991,0.5120312,0.5588375,0.0468063
21,-1.2343277,-1.0050951,"('immoral', 'moral')",1.0300606,1.0784096,-0.8327494,-0.7936253,-0.3456721,-0.2401036,0.1055685
22,-0.98922104,-0.87691486,"('untrustworthy', 'trustworthy')",1.0224417,1.0120599,-1.0757986,-1.1179175,-0.347526,-0.3275908,0.0199352
23,-0.80844843,-0.5973289,"('insincere', 'sincere')",0.44277546,0.46479693,5.6755853,5.536227,1.7699707,1.8012317,0.031261
24,-0.44083172,-0.38917458,"('dishonest', 'honest')",0.0117910355,0.00018718094,0.7079781,0.65518004,0.0929792,0.0887309,-0.0042483
