,paccar_male,paccar_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.12241879,0.027775986,"('unsociable', 'sociable')",-0.11302218,-0.27932274,0.0046983,-0.1257734,-0.1304717
1,0.061438814,-0.20949593,"('unfriendly', 'friendly')",2.02774,1.8328542,1.0445894,0.8116791,-0.2329103
2,0.510427,0.6348767,"('unlikable', 'likable')",0.53549033,0.62110114,0.5229586,0.6279889,0.1050303
3,0.3012695,0.44131598,"('repellent', 'pleasant')",0.30493772,0.37919167,0.3031036,0.4102538,0.1071502
4,-0.45835748,-0.5742091,"('disliked', 'liked')",-6.2853284,-6.3374486,-3.3718429,-3.4558289,-0.083986
5,-0.62854195,-0.74490327,"('distant', 'outgoing')",-0.13206038,-0.19736755,-0.3803012,-0.4711354,-0.0908342
6,-1.2276537,-1.4130472,"('distant', 'open')",0.29046166,0.2350662,-0.468596,-0.5889905,-0.1203945
7,0.21427633,0.32693565,"('insensitive', 'sensitive')",0.6424132,0.65354913,0.4283448,0.4902424,0.0618976
8,-0.60903376,-0.69998026,"('unaffectionate', 'affectionate')",1.143369,1.0206429,0.2671676,0.1603313,-0.1068363
9,0.21689968,0.04468432,"('unaffectionate', 'caring')",1.25562,1.145411,0.7362598,0.5950477,-0.1412121
10,-0.44804955,-0.4700606,"('unsympathetic', 'sympathetic')",-0.3874184,-0.41940778,-0.417734,-0.4447342,-0.0270002
11,0.1829023,0.29586545,"('unhelpful', 'helpful')",1.4468594,1.5727632,0.8148808,0.9343143,0.1194335
12,0.011652242,0.11934487,"('unsupportive', 'supportive')",-1.6922742,-1.7145916,-0.840311,-0.7976234,0.0426876
13,0.33638746,0.36844173,"('impolite', 'polite')",-0.5455522,-0.48947757,-0.1045824,-0.0605179,0.0440645
14,0.7649604,0.94978505,"('antisocial', 'social')",-0.10448837,-0.15565535,0.330236,0.3970649,0.0668289
15,0.47154686,0.3083249,"('boring', 'funny')",0.66547126,0.65663964,0.568509,0.4824823,-0.0860267
16,-1.4767028,-1.3890712,"('unpopular', 'popular')",0.05361934,0.1769777,-0.7115417,-0.6060468,0.1054949
17,-0.022401746,0.033949636,"('nasty', 'nice')",-0.62937945,-0.5590335,-0.3258906,-0.2625419,0.0633487
18,-0.45880324,-0.39131886,"('disagreeable', 'welcoming')",-0.33025515,-0.37596074,-0.3945292,-0.3836398,0.0108894
