,impairment_male,impairment_female,tuple,average_male,average_female,female-male
0,0.3983512,0.35629827,"('unsociable', 'sociable')",0.3983512,0.3562983,-0.0420529
1,-0.21399169,-0.44777462,"('unfriendly', 'friendly')",-0.2139917,-0.4477746,-0.2337829
2,-0.3402782,-0.28512245,"('unlikable', 'likable')",-0.3402782,-0.2851225,0.0551557
3,0.78637874,0.8397199,"('repellent', 'pleasant')",0.7863787,0.8397199,0.0533412
4,-7.3889484,-7.2850733,"('disliked', 'liked')",-7.3889484,-7.2850733,0.1038751
5,-1.9232643,-1.9847783,"('distant', 'outgoing')",-1.9232643,-1.9847783,-0.061514
6,-1.5717157,-1.7632232,"('distant', 'open')",-1.5717157,-1.7632232,-0.1915075
7,1.4941475,1.476205,"('insensitive', 'sensitive')",1.4941475,1.476205,-0.0179425
8,0.20760554,-0.034548,"('unaffectionate', 'affectionate')",0.2076055,-0.034548,-0.2421535
9,0.8702552,0.7509898,"('unaffectionate', 'caring')",0.8702552,0.7509898,-0.1192654
10,2.0441706,1.9716352,"('unsympathetic', 'sympathetic')",2.0441706,1.9716352,-0.0725354
11,2.1647599,2.1567736,"('unhelpful', 'helpful')",2.1647599,2.1567736,-0.0079863
12,-1.1744095,-1.1008338,"('unsupportive', 'supportive')",-1.1744095,-1.1008338,0.0735757
13,0.23498842,0.29374135,"('impolite', 'polite')",0.2349884,0.2937413,0.0587529
14,0.5211772,0.6435197,"('antisocial', 'social')",0.5211772,0.6435197,0.1223425
15,-0.26812363,-0.2764689,"('boring', 'funny')",-0.2681236,-0.2764689,-0.0083453
16,-1.4613736,-1.3163345,"('unpopular', 'popular')",-1.4613736,-1.3163345,0.1450391
17,-0.86027,-0.9162237,"('nasty', 'nice')",-0.86027,-0.9162237,-0.0559537
18,-1.4450692,-1.4656177,"('disagreeable', 'welcoming')",-1.4450692,-1.4656177,-0.0205485
19,-1.6505138,-1.7448627,"('inhospitable', 'hospitable')",-1.6505138,-1.7448627,-0.0943489
