,tyler_male,tyler_female,tuple,technologies_male,technologies_female,inc_male,inc_female,average_male,average_female,female-male
0,0.7757926,0.53071237,"('unsociable', 'sociable')",-0.13395625,-0.32766953,-0.43729967,-0.6688247,0.0681789,-0.1552606,-0.2234395
1,0.6051229,0.52493066,"('unfriendly', 'friendly')",0.3097607,0.14876139,1.5801783,1.4667083,0.8316873,0.7134668,-0.1182205
2,1.1360743,1.1402924,"('unlikable', 'likable')",0.22364798,0.2949821,0.6313707,0.74940974,0.6636976,0.7282281,0.0645305
3,-0.2825489,-0.19607286,"('repellent', 'pleasant')",0.38727692,0.50416106,-0.047579046,0.03788333,0.0190497,0.1153238,0.0962741
4,-0.4316108,-0.4314978,"('disliked', 'liked')",-0.8789427,-0.91820806,-5.8432207,-6.022391,-2.3845914,-2.4573657,-0.0727743
5,-0.7041733,-0.5651775,"('distant', 'outgoing')",-0.5393492,-0.4191237,-0.1329677,0.0054325145,-0.4588301,-0.3262896,0.1325405
6,-0.15448439,0.013256162,"('distant', 'open')",-1.0094539,-0.90402895,0.47679365,0.56660247,-0.2290482,-0.1080568,0.1209914
7,0.99010426,0.84636027,"('insensitive', 'sensitive')",0.50588053,0.60853547,0.40370643,0.39719886,0.6332304,0.6173649,-0.0158655
8,0.07449852,0.08581141,"('unaffectionate', 'affectionate')",0.1620721,0.12842123,0.5696132,0.5882023,0.2687279,0.2674783,-0.0012496
9,1.300604,1.2915374,"('unaffectionate', 'caring')",0.31709465,0.32021627,1.0208709,1.0935823,0.8795232,0.9017787,0.0222555
10,0.24700542,-0.004240008,"('unsympathetic', 'sympathetic')",-0.17861103,-0.19408606,-0.3647977,-0.4745417,-0.0988011,-0.2242893,-0.1254882
11,0.1873603,0.1728282,"('unhelpful', 'helpful')",1.2816057,1.3199197,1.9128212,1.9555094,1.1272624,1.1494191,0.0221567
12,1.1620865,1.2162638,"('unsupportive', 'supportive')",0.6049083,0.7862502,-1.6726303,-1.655917,0.0314548,0.1155323,0.0840775
13,0.61808574,0.44622093,"('impolite', 'polite')",-0.43157336,-0.50020844,-0.48883545,-0.5660897,-0.1007744,-0.2066924,-0.105918
14,-0.5191266,-0.70087355,"('antisocial', 'social')",0.81204927,0.79863495,-1.0075852,-1.0267692,-0.2382208,-0.3096693,-0.0714485
15,-0.5232042,-0.54643416,"('boring', 'funny')",-0.38046542,-0.44297493,0.40223074,0.33754945,-0.1671463,-0.2172865,-0.0501402
16,-0.9763316,-0.8543605,"('unpopular', 'popular')",-0.40568078,-0.41647053,0.5988481,0.5646972,-0.2610548,-0.235378,0.0256768
17,-0.68393534,-0.6466288,"('nasty', 'nice')",-0.9202942,-0.86048067,-0.7595297,-0.6250387,-0.7879198,-0.710716,0.0772038
18,-0.09936332,-0.1573216,"('disagreeable', 'welcoming')",-0.1052731,-0.047620278,-0.43139938,-0.41895825,-0.2120119,-0.2079667,0.0040452
19,0.6492642,0.83078754,"('inhospitable', 'hospitable')",-0.8418566,-0.8365916,-0.2161172,-0.1042345,-0.1362365,-0.0366795,0.099557
20,0.5177466,0.4683402,"('rough', 'thoughtful')",1.0041952,1.1028489,0.95827717,0.9331438,0.8267397,0.8347776,0.0080379
21,0.060670584,-0.1224853,"('immoral', 'moral')",0.6532901,0.56677663,-0.8976707,-0.93096095,-0.0612367,-0.1622232,-0.1009865
22,0.32529312,0.18355435,"('untrustworthy', 'trustworthy')",0.013103165,-0.06708214,-1.066854,-1.1318219,-0.2428192,-0.3384499,-0.0956307
23,1.3943496,1.1966026,"('insincere', 'sincere')",0.0932061,0.060820006,5.0787563,5.140075,2.1887706,2.1324992,-0.0562714
24,1.34088,1.2636176,"('dishonest', 'honest')",-1.2606772,-1.2402123,0.5930885,0.5646093,0.2244304,0.1960049,-0.0284255
25,0.06246597,0.03670309,"('egoistic', 'altruistic')",0.3339398,0.26693472,1.4669663,1.4188589,0.621124,0.5741656,-0.0469584
26,0.36262172,0.09955089,"('hardhearted', 'benevolent')",0.54681396,0.5011952,1.4184983,1.2560161,0.775978,0.6189207,-0.1570573
27,1.0013003,1.0975041,"('hardhearted', 'softhearted')",0.11236487,0.24193837,1.5362713,1.4763956,0.8833122,0.9386127,0.0553005
28,1.2677006,1.0947019,"('disloyal', 'loyal')",0.11300233,0.009565167,1.0124272,0.88373625,0.79771,0.6626678,-0.1350422
29,-0.06481005,-0.029146086,"('unfair', 'fair')",-0.7543568,-0.66983694,-0.42281076,-0.54385895,-0.4139925,-0.4142807,-0.0002882
30,0.5776347,0.55477273,"('intolerant', 'tolerant')",1.8272073,1.7549887,0.9352591,0.94036174,1.113367,1.0833744,-0.0299926
31,-0.8876599,-0.7644675,"('evil', 'good')",-0.828955,-0.9423502,-0.81280684,-0.8505461,-0.8431406,-0.8524546,-0.009314
32,0.99508464,0.83785546,"('unkind', 'kind')",0.0014856867,0.055067517,0.7784184,0.63174206,0.5916629,0.5082217,-0.0834412
33,0.06344321,0.051529802,"('wrong', 'right')",-0.26973066,-0.23392251,-0.4983548,-0.5175655,-0.2348807,-0.2333194,0.0015613
34,-1.0223968,-0.9052821,"('mean', 'honorable')",0.15989219,0.29754254,6.0371556,6.2158456,1.7248837,1.8693687,0.144485
35,-0.6570828,-0.4544495,"('corrupt', 'incorrupt')",-0.92956203,-0.98645157,-0.16175498,-0.23796518,-0.5828,-0.5596221,0.0231779
36,-1.0455403,-0.965671,"('hostile', 'amicable')",-1.3033891,-1.4978901,0.35245323,0.1756462,-0.6654921,-0.7626383,-0.0971462
37,1.3902391,1.3323083,"('fake', 'genuine')",0.030772485,0.062053,0.38962603,0.46772942,0.6035459,0.6206969,0.017151
38,0.17848718,0.23846625,"('untruthful', 'truthful')",-0.72050434,-0.60569286,0.0661491,0.1656323,-0.1586227,-0.0671981,0.0914246
39,1.5278429,1.4542406,"('exploitative', 'cooperative')",0.5486208,0.50393784,-0.024097085,0.00902541,0.6841222,0.6557346,-0.0283876
40,0.3093439,0.15768862,"('stingy', 'generous')",-0.12116986,-0.10598472,-1.3802865,-1.5434872,-0.3973708,-0.4972611,-0.0998903
41,0.5462931,0.457246,"('unforgiving', 'forgiving')",-0.82428926,-0.7774355,0.16223817,0.044499338,-0.038586,-0.0918967,-0.0533107
42,0.059944026,0.07765133,"('unreliable', 'reliable')",-1.0759039,-0.8602816,-2.7846525,-2.6920238,-1.2668708,-1.158218,0.1086528
43,0.8392629,0.8532407,"('irresponsible', 'responsible')",-0.20208457,-0.032343004,0.21151441,0.24221136,0.2828976,0.3543697,0.0714721
44,-1.3258971,-1.2972828,"('prejudiced', 'unprejudiced')",-0.7114274,-0.6390254,-1.2185513,-1.2174417,-1.0852919,-1.05125,0.0340419
45,-0.006247595,-0.14040193,"('incompetent', 'competent')",-0.23093934,-0.20022947,-0.19211301,-0.3141007,-0.1431,-0.218244,-0.075144
46,0.55656546,0.5027911,"('uncompetitive', 'competitive')",0.76668215,0.8476554,-0.49896407,-0.6243831,0.2747612,0.2420211,-0.0327401
47,-0.5368809,-0.50506073,"('stupid', 'smart')",0.9815448,1.0737473,5.259379,5.452327,1.9013476,2.0070044,0.1056568
48,0.22230741,0.024921063,"('unintelligent', 'intelligent')",1.6006374,1.4977443,0.6066608,0.47301364,0.8098686,0.6652263,-0.1446423
49,0.14970346,0.2517115,"('unable', 'able')",0.96156573,1.1410079,-0.006981086,0.21610756,0.368096,0.5362757,0.1681797
50,0.7522611,0.8465926,"('clumsy', 'skillful')",0.0403027,0.18385927,0.1314398,0.1865276,0.3080012,0.4056598,0.0976586
51,0.3509428,0.2363283,"('uneducated', 'educated')",-0.056139126,-0.22990042,0.20394194,0.060490824,0.1662485,0.0223062,-0.1439423
52,-0.10178898,-0.14624071,"('irrational', 'rational')",-0.57381225,-0.7977231,0.12642743,0.017941508,-0.1830579,-0.3086741,-0.1256162
53,0.32391137,0.34050816,"('uncreative', 'creative')",1.082799,1.0779552,1.2142293,1.1253902,0.8736466,0.8479513,-0.0256953
