,nordson_male,nordson_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.2880841,-0.47250614,"('unsociable', 'sociable')",-0.31532627,-0.54129547,-0.3017052,-0.5069008,-0.2051956
1,-0.97024363,-1.0975391,"('unfriendly', 'friendly')",1.2430022,1.029506,0.1363793,-0.0340165,-0.1703958
2,0.35638782,0.522104,"('unlikable', 'likable')",0.68236905,0.6778774,0.5193784,0.5999907,0.0806123
3,0.04713929,0.20056857,"('repellent', 'pleasant')",0.6569654,0.70847315,0.3520523,0.4545209,0.1024686
4,0.3154017,0.3433874,"('disliked', 'liked')",-5.7367,-5.828367,-2.7106493,-2.7424898,-0.0318405
5,-0.16045603,-0.18149199,"('distant', 'outgoing')",-0.430424,-0.35232016,-0.29544,-0.2669061,0.0285339
6,-0.39993176,-0.34464398,"('distant', 'open')",-0.65092564,-0.5971786,-0.5254287,-0.4709113,0.0545174
7,-0.6156446,-0.5239807,"('insensitive', 'sensitive')",-0.09645696,-0.12767714,-0.3560508,-0.3258289,0.0302219
8,-0.54259783,-0.6271424,"('unaffectionate', 'affectionate')",0.33796152,0.23146306,-0.1023182,-0.1978397,-0.0955215
9,-0.61082655,-0.61066025,"('unaffectionate', 'caring')",0.72143424,0.68733597,0.0553038,0.0383379,-0.0169659
10,-1.6483421,-1.6969918,"('unsympathetic', 'sympathetic')",-0.97187316,-1.1307914,-1.3101077,-1.4138916,-0.1037839
11,-0.87559414,-0.97625303,"('unhelpful', 'helpful')",1.3602787,1.3163146,0.2423423,0.1700308,-0.0723115
12,-0.37397382,-0.31830972,"('unsupportive', 'supportive')",-2.140847,-2.1702666,-1.2574104,-1.2442882,0.0131222
13,-0.4928341,-0.61023253,"('impolite', 'polite')",-0.69552165,-0.7359278,-0.5941778,-0.6730802,-0.0789024
14,-0.061989423,-0.028969139,"('antisocial', 'social')",0.07480468,-0.029320993,0.0064076,-0.0291451,-0.0355527
15,-0.027735759,-0.14617231,"('boring', 'funny')",0.28645703,0.2129744,0.1293606,0.033401,-0.0959596
16,-0.17985304,-0.1144503,"('unpopular', 'popular')",0.50452715,0.55519086,0.1623371,0.2203703,0.0580332
17,-0.25313705,-0.23696686,"('nasty', 'nice')",-0.3608639,-0.35597378,-0.3070005,-0.2964703,0.0105302
