,alcoa_male,alcoa_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.52218336,-0.6854202,"('unsociable', 'sociable')",-0.2672334,-0.53310055,-0.3947084,-0.6092604,-0.214552
1,-1.7390202,-1.8536043,"('unfriendly', 'friendly')",0.94694656,0.8004475,-0.3960368,-0.5265784,-0.1305416
2,1.2755382,1.2585688,"('unlikable', 'likable')",0.9829266,1.0718462,1.1292324,1.1652075,0.0359751
3,0.26657313,0.39399126,"('repellent', 'pleasant')",0.98110783,0.9619944,0.6238405,0.6779928,0.0541523
4,0.07153611,0.008796822,"('disliked', 'liked')",-5.8399043,-5.8069305,-2.8841841,-2.8990669,-0.0148828
5,-1.2886529,-1.3006778,"('distant', 'outgoing')",-0.6647761,-0.57757384,-0.9767145,-0.9391258,0.0375887
6,-1.5327752,-1.4793022,"('distant', 'open')",-0.9831481,-0.90531516,-1.2579616,-1.1923087,0.0656529
7,-0.19782844,-0.11777233,"('insensitive', 'sensitive')",0.10995774,0.076452896,-0.0439354,-0.0206597,0.0232757
8,-1.5677046,-1.6126418,"('unaffectionate', 'affectionate')",0.22099742,0.20948151,-0.6733536,-0.7015802,-0.0282266
9,-1.4947758,-1.5482829,"('unaffectionate', 'caring')",0.8548476,0.8298313,-0.3199641,-0.3592258,-0.0392617
10,-0.6307763,-0.62415284,"('unsympathetic', 'sympathetic')",-0.631815,-0.73026955,-0.6312957,-0.6772112,-0.0459155
11,-0.24955992,-0.29991448,"('unhelpful', 'helpful')",1.8856944,1.8841159,0.8180673,0.7921007,-0.0259666
12,-0.40155628,-0.34207946,"('unsupportive', 'supportive')",-2.1076486,-2.083685,-1.2546024,-1.2128822,0.0417202
13,0.095296174,0.027404897,"('impolite', 'polite')",-0.5998598,-0.6468172,-0.2522818,-0.3097062,-0.0574244
14,1.0155097,0.9937308,"('antisocial', 'social')",0.3708196,0.19484928,0.6931646,0.59429,-0.0988746
15,-0.06109405,-0.22583601,"('boring', 'funny')",0.26437148,0.2285626,0.1016387,0.0013633,-0.1002754
16,-0.72353125,-0.7248449,"('unpopular', 'popular')",0.59641325,0.47414136,-0.063559,-0.1253518,-0.0617928
17,-0.29632044,-0.26295984,"('nasty', 'nice')",-0.101777,-0.066223904,-0.1990487,-0.1645919,0.0344568
18,-0.5666367,-0.53118217,"('disagreeable', 'welcoming')",-0.82326853,-0.8665255,-0.6949526,-0.6988539,-0.0039013
19,-1.755453,-1.7563615,"('inhospitable', 'hospitable')",-0.90672827,-0.81554633,-1.3310907,-1.2859539,0.0451368
20,0.12619664,0.1850484,"('rough', 'thoughtful')",0.7834845,0.77690536,0.4548406,0.4809769,0.0261363
21,0.5187978,0.4542437,"('immoral', 'moral')",-0.18679455,-0.25311264,0.1660016,0.1005655,-0.0654361
22,-0.10158798,-0.07873829,"('untrustworthy', 'trustworthy')",-1.0354171,-1.0715462,-0.5685025,-0.5751423,-0.0066398
23,-0.94742894,-0.99262214,"('insincere', 'sincere')",5.298858,5.100309,2.1757145,2.0538435,-0.121871
24,-0.2749314,-0.35038492,"('dishonest', 'honest')",0.5170876,0.5522635,0.1210781,0.1009393,-0.0201388
25,-0.51172817,-0.5367221,"('egoistic', 'altruistic')",1.1463451,1.0993706,0.3173085,0.2813242,-0.0359843
26,0.2633729,0.12590714,"('hardhearted', 'benevolent')",1.6662948,1.4761996,0.9648339,0.8010534,-0.1637805
27,-0.654868,-0.55680496,"('hardhearted', 'softhearted')",0.63333505,0.59161437,-0.0107665,0.0174047,0.0281712
28,-0.7937117,-0.9174014,"('disloyal', 'loyal')",0.8638276,0.7056574,0.0350579,-0.105872,-0.1409299
29,-0.2741337,-0.30120373,"('unfair', 'fair')",-0.57444435,-0.6795287,-0.424289,-0.4903662,-0.0660772
30,0.39793822,0.32941157,"('intolerant', 'tolerant')",1.3129971,1.239029,0.8554677,0.7842203,-0.0712474
31,-1.5581907,-1.4997635,"('evil', 'good')",-1.230111,-1.2521033,-1.3941509,-1.3759334,0.0182175
32,-0.16496265,-0.30466825,"('unkind', 'kind')",0.7841218,0.5477315,0.3095796,0.1215316,-0.188048
33,-0.032717694,-0.06873838,"('wrong', 'right')",-0.7114222,-0.67364,-0.37207,-0.3711892,0.0008808
34,-0.15974098,-0.05749463,"('mean', 'honorable')",5.146093,5.287576,2.493176,2.6150408,0.1218648
35,-0.42082402,-0.45430788,"('corrupt', 'incorrupt')",-0.8576857,-0.88703936,-0.6392549,-0.6706736,-0.0314187
36,-1.3647733,-1.3704695,"('hostile', 'amicable')",-0.6162249,-0.72733665,-0.9904991,-1.048903,-0.0584039
37,-0.3837373,-0.35766238,"('fake', 'genuine')",-0.4274558,-0.39567998,-0.4055966,-0.3766712,0.0289254
38,-0.5945219,-0.62272245,"('untruthful', 'truthful')",0.013478689,0.105994105,-0.2905216,-0.2583642,0.0321574
39,1.1088551,1.0616157,"('exploitative', 'cooperative')",0.40041357,0.41780376,0.7546344,0.7397097,-0.0149247
40,-0.22015853,-0.094890155,"('stingy', 'generous')",-2.0320063,-2.0651586,-1.1260824,-1.0800244,0.046058
41,-0.1690529,-0.14748704,"('unforgiving', 'forgiving')",-0.094640136,-0.15649304,-0.1318465,-0.15199,-0.0201435
42,0.81085026,0.8716779,"('unreliable', 'reliable')",-2.8519948,-2.7806528,-1.0205722,-0.9544874,0.0660848
43,-0.49183488,-0.4899576,"('irresponsible', 'responsible')",0.31591082,0.27945676,-0.087962,-0.1052504,-0.0172884
44,0.90226775,0.88608205,"('prejudiced', 'unprejudiced')",-1.2394302,-1.2350993,-0.1685812,-0.1745086,-0.0059274
45,-0.34598267,-0.2518961,"('incompetent', 'competent')",0.09957783,0.02994023,-0.1232024,-0.1109779,0.0122245
46,0.38296643,0.477831,"('uncompetitive', 'competitive')",-0.8909982,-0.8935629,-0.2540159,-0.207866,0.0461499
