,theft_male,theft_female,tuple,average_male,average_female,female-male
0,-0.35415652,-0.39687654,"('unsociable', 'sociable')",-0.3541565,-0.3968765,-0.04272
1,1.5598778,1.5462877,"('unfriendly', 'friendly')",1.5598778,1.5462877,-0.0135901
2,0.42249864,0.5262937,"('unlikable', 'likable')",0.4224986,0.5262937,0.1037951
3,0.47540975,0.73513204,"('repellent', 'pleasant')",0.4754097,0.735132,0.2597223
4,-7.427721,-7.2955956,"('disliked', 'liked')",-7.427721,-7.2955956,0.1321254
5,0.21602684,0.25694785,"('distant', 'outgoing')",0.2160268,0.2569478,0.040921
6,0.27398393,0.32612696,"('distant', 'open')",0.2739839,0.326127,0.0521431
7,1.0346192,1.2162946,"('insensitive', 'sensitive')",1.0346192,1.2162946,0.1816754
8,1.4672549,1.4183553,"('unaffectionate', 'affectionate')",1.4672549,1.4183553,-0.0488996
9,1.7665224,1.7394091,"('unaffectionate', 'caring')",1.7665224,1.7394091,-0.0271133
10,0.8444843,1.0633371,"('unsympathetic', 'sympathetic')",0.8444843,1.0633371,0.2188528
11,2.027637,1.9757677,"('unhelpful', 'helpful')",2.027637,1.9757677,-0.0518693
12,-1.4149336,-1.2874682,"('unsupportive', 'supportive')",-1.4149336,-1.2874682,0.1274654
13,-0.27841976,-0.3177741,"('impolite', 'polite')",-0.2784198,-0.3177741,-0.0393543
14,-0.32873452,-0.33088946,"('antisocial', 'social')",-0.3287345,-0.3308895,-0.002155
15,0.3547893,0.33577478,"('boring', 'funny')",0.3547893,0.3357748,-0.0190145
16,-0.38502884,-0.3609922,"('unpopular', 'popular')",-0.3850288,-0.3609922,0.0240366
17,-0.6426253,-0.5832179,"('nasty', 'nice')",-0.6426253,-0.5832179,0.0594074
18,-0.50761056,-0.48821604,"('disagreeable', 'welcoming')",-0.5076106,-0.488216,0.0193946
19,-0.0084029855,0.10149893,"('inhospitable', 'hospitable')",-0.008403,0.1014989,0.1099019
20,0.49696547,0.48830703,"('rough', 'thoughtful')",0.4969655,0.488307,-0.0086585
21,-0.38180348,-0.2555727,"('immoral', 'moral')",-0.3818035,-0.2555727,0.1262308
22,-0.7718803,-0.70011634,"('untrustworthy', 'trustworthy')",-0.7718803,-0.7001163,0.071764
23,6.8014054,6.8309608,"('insincere', 'sincere')",6.8014054,6.8309608,0.0295554
24,1.828228,1.8868405,"('dishonest', 'honest')",1.828228,1.8868405,0.0586125
25,0.22463965,0.097880326,"('egoistic', 'altruistic')",0.2246397,0.0978803,-0.1267594
26,0.34857696,0.31680268,"('hardhearted', 'benevolent')",0.348577,0.3168027,-0.0317743
27,1.2676344,1.2392368,"('hardhearted', 'softhearted')",1.2676344,1.2392368,-0.0283976
28,1.2096152,1.2687879,"('disloyal', 'loyal')",1.2096152,1.2687879,0.0591727
29,-0.61635226,-0.60031796,"('unfair', 'fair')",-0.6163523,-0.600318,0.0160343
30,1.2380569,1.1843332,"('intolerant', 'tolerant')",1.2380569,1.1843332,-0.0537237
31,-1.5628757,-1.4637446,"('evil', 'good')",-1.5628757,-1.4637446,0.0991311
32,1.2882913,1.2353654,"('unkind', 'kind')",1.2882913,1.2353654,-0.0529259
33,-0.4600153,-0.57926327,"('wrong', 'right')",-0.4600153,-0.5792633,-0.119248
34,4.9580436,5.1007614,"('mean', 'honorable')",4.9580436,5.1007614,0.1427178
35,-0.90055406,-0.9552833,"('corrupt', 'incorrupt')",-0.9005541,-0.9552833,-0.0547292
36,-0.57895774,-0.689266,"('hostile', 'amicable')",-0.5789577,-0.689266,-0.1103083
37,0.35250095,0.47529787,"('fake', 'genuine')",0.3525009,0.4752979,0.122797
38,0.080327496,-0.016821869,"('untruthful', 'truthful')",0.0803275,-0.0168219,-0.0971494
39,-0.6202142,-0.5885695,"('exploitative', 'cooperative')",-0.6202142,-0.5885695,0.0316447
40,-1.5913243,-1.4370393,"('stingy', 'generous')",-1.5913243,-1.4370393,0.154285
41,-0.6898377,-0.7070341,"('unforgiving', 'forgiving')",-0.6898377,-0.7070341,-0.0171964
42,-1.9232035,-1.7782251,"('unreliable', 'reliable')",-1.9232035,-1.7782251,0.1449784
43,1.2843735,1.2612908,"('irresponsible', 'responsible')",1.2843735,1.2612908,-0.0230827
44,-1.5068724,-1.6822224,"('prejudiced', 'unprejudiced')",-1.5068724,-1.6822224,-0.17535
45,-0.29695532,-0.11055504,"('incompetent', 'competent')",-0.2969553,-0.110555,0.1864003
46,-0.7531133,-0.6109631,"('uncompetitive', 'competitive')",-0.7531133,-0.6109631,0.1421502
47,5.239284,5.412986,"('stupid', 'smart')",5.239284,5.4129858,0.1737018
48,0.6860968,0.74078965,"('unintelligent', 'intelligent')",0.6860968,0.7407897,0.0546929
49,0.07442616,0.3432387,"('unable', 'able')",0.0744262,0.3432387,0.2688125
50,0.0029005334,0.14758167,"('clumsy', 'skillful')",0.0029005,0.1475817,0.1446812
51,0.4689992,0.64103484,"('uneducated', 'educated')",0.4689992,0.6410348,0.1720356
52,-0.442335,-0.48794273,"('irrational', 'rational')",-0.442335,-0.4879427,-0.0456077
53,0.7195852,0.7952176,"('uncreative', 'creative')",0.7195852,0.7952176,0.0756324
54,1.4690542,1.6554277,"('incapable', 'capable')",1.4690542,1.6554277,0.1863735
55,0.6556088,0.7496808,"('incompetent', 'clever')",0.6556088,0.7496808,0.094072
56,0.6503257,0.6601052,"('impractical', 'practical')",0.6503257,0.6601052,0.0097795
57,-2.7037654,-2.4597282,"('unimaginative', 'imaginative')",-2.7037654,-2.4597282,0.2440372
58,0.259837,0.30705994,"('undiscriminating', 'discriminating')",0.259837,0.3070599,0.0472229
59,0.036969308,0.2056871,"('foolish', 'wise')",0.0369693,0.2056871,0.1687178
60,0.48228317,0.4604266,"('inefficient', 'efficient')",0.4822832,0.4604266,-0.0218566
61,0.3505196,0.3213089,"('illogical', 'logical')",0.3505196,0.3213089,-0.0292107
62,1.0867218,1.2342108,"('incompetent', 'brilliant')",1.0867218,1.2342108,0.147489
63,0.5127417,0.7406582,"('unperceptive', 'insightful')",0.5127417,0.7406582,0.2279165
64,-6.189782,-6.0449166,"('shy', 'confident')",-6.1897821,-6.0449166,0.1448655
