,archer_male,archer_female,tuple,daniels_male,daniels_female,midland_male,midland_female,co_male,co_female,average_male,average_female,female-male
0,-1.0050685,-1.1365647,"('unsociable', 'sociable')",-0.77562505,-0.72563237,-0.23326854,-0.25702113,-0.07458684,-0.24037188,-0.5221372,-0.5898976,-0.0677604
1,-0.21820085,-0.24320452,"('unfriendly', 'friendly')",1.5623915,1.4959298,1.1960945,1.014128,1.8061844,1.6916206,1.0866174,0.9896185,-0.0969989
2,0.81111574,0.86818,"('unlikable', 'likable')",0.68631756,0.7646209,1.1043401,1.1459992,0.9385178,1.0417325,0.8850728,0.9551331,0.0700603
3,-0.811378,-0.7587528,"('repellent', 'pleasant')",-1.7361922,-1.5361761,-0.3534025,-0.22756115,0.5238684,0.5236784,-0.5942761,-0.499703,0.0945731
4,0.2028152,0.108442865,"('disliked', 'liked')",0.75104773,0.58919877,0.7470412,0.55486584,-6.4658146,-6.501844,-1.1912277,-1.3123341,-0.1211064
5,-0.2896507,-0.18268728,"('distant', 'outgoing')",1.4387583,1.3880497,0.52665436,0.4822251,-0.6850695,-0.59133327,0.2476731,0.2740636,0.0263905
6,-0.33792597,-0.20463672,"('distant', 'open')",0.78857,0.7510024,0.16951528,0.08826004,-0.35900152,-0.26454297,0.0652894,0.0925207,0.0272313
7,-0.18179095,-0.22565138,"('insensitive', 'sensitive')",-0.64156663,-0.5340557,-0.36742634,-0.28460756,-0.0078014117,-0.0033737365,-0.2996463,-0.2619221,0.0377242
8,0.11396021,0.12321904,"('unaffectionate', 'affectionate')",0.58970565,0.4828943,0.4003142,0.30389285,0.6483048,0.60371846,0.4380712,0.3784311,-0.0596401
9,0.9105946,0.86073124,"('unaffectionate', 'caring')",1.2297459,1.1663665,0.79203695,0.72338605,1.2608235,1.2386471,1.0483003,0.9972827,-0.0510176
10,-1.1901493,-1.2484037,"('unsympathetic', 'sympathetic')",-2.2960758,-2.1015902,-0.93217444,-0.8074513,-0.27345467,-0.3004552,-1.1729636,-1.114475,0.0584886
11,-1.0590305,-1.2427804,"('unhelpful', 'helpful')",-0.8012883,-0.82521504,-0.531283,-0.48600605,1.902397,1.8287708,-0.1223013,-0.1813077,-0.0590064
12,0.729982,0.81913483,"('unsupportive', 'supportive')",1.0360628,1.150614,0.94537276,1.0290649,-1.7032385,-1.6408422,0.2520448,0.3394929,0.0874481
13,-1.4887999,-1.4819369,"('impolite', 'polite')",-1.247772,-1.1191267,-0.83966315,-0.7166958,-0.553107,-0.6166491,-1.0323355,-0.9836022,0.0487333
14,-1.3703908,-1.3960665,"('antisocial', 'social')",-1.9772308,-1.8247247,-0.14085598,-0.0962086,-0.39561135,-0.4626105,-0.9710222,-0.9449026,0.0261196
15,0.34407368,0.1707367,"('boring', 'funny')",-0.10464063,-0.31101406,0.7774723,0.6450897,0.41366988,0.35354617,0.3576438,0.2145896,-0.1430542
16,-0.66136354,-0.76126283,"('unpopular', 'popular')",-0.39079204,-0.46682945,-0.5973758,-0.757856,0.13238823,-0.020714305,-0.3792858,-0.5016657,-0.1223799
17,-1.1072052,-1.0638957,"('nasty', 'nice')",-0.28005892,-0.28622717,-0.9414855,-0.88987607,-0.35308298,-0.36312127,-0.6704581,-0.6507801,0.019678
18,-0.5130824,-0.3871596,"('disagreeable', 'welcoming')",0.25735486,0.32787833,0.012956224,-0.017246664,-1.1097109,-1.1155514,-0.3381205,-0.2980198,0.0401007
19,-0.6706531,-0.4809741,"('inhospitable', 'hospitable')",0.31755245,0.26667178,-0.24807712,-0.3081506,-0.5988341,-0.5595058,-0.300003,-0.2704897,0.0295133
