,gran_male,gran_female,tuple,average_male,average_female,female-male
0,-0.12400143,-0.21032949,"('unsociable', 'sociable')",-0.1240014,-0.2103295,-0.0863281
1,1.3550093,1.3685803,"('unfriendly', 'friendly')",1.3550093,1.3685803,0.013571
2,0.19640832,0.3874441,"('unlikable', 'likable')",0.1964083,0.3874441,0.1910358
3,0.8071854,0.85062194,"('repellent', 'pleasant')",0.8071854,0.8506219,0.0434365
4,-7.0398483,-7.238779,"('disliked', 'liked')",-7.0398483,-7.2387791,-0.1989308
5,-0.21592388,-0.12902726,"('distant', 'outgoing')",-0.2159239,-0.1290273,0.0868966
6,0.29259405,0.31758973,"('distant', 'open')",0.292594,0.3175897,0.0249957
7,0.8468353,0.79314375,"('insensitive', 'sensitive')",0.8468353,0.7931437,-0.0536916
8,1.3196214,1.2693115,"('unaffectionate', 'affectionate')",1.3196214,1.2693115,-0.0503099
9,1.4575655,1.5438797,"('unaffectionate', 'caring')",1.4575655,1.5438797,0.0863142
10,0.8380027,0.8240036,"('unsympathetic', 'sympathetic')",0.8380027,0.8240036,-0.0139991
11,1.1928116,1.2231877,"('unhelpful', 'helpful')",1.1928116,1.2231877,0.0303761
12,-1.668263,-1.679363,"('unsupportive', 'supportive')",-1.668263,-1.679363,-0.0111
13,-0.2522558,-0.20822291,"('impolite', 'polite')",-0.2522558,-0.2082229,0.0440329
14,-0.267919,-0.38430598,"('antisocial', 'social')",-0.267919,-0.384306,-0.116387
15,-0.0979836,-0.1749552,"('boring', 'funny')",-0.0979836,-0.1749552,-0.0769716
16,-0.26790228,-0.2348901,"('unpopular', 'popular')",-0.2679023,-0.2348901,0.0330122
17,0.002767615,0.027902286,"('nasty', 'nice')",0.0027676,0.0279023,0.0251347
18,-0.37476057,-0.3179985,"('disagreeable', 'welcoming')",-0.3747606,-0.3179985,0.0567621
19,-0.7493057,-0.67461544,"('inhospitable', 'hospitable')",-0.7493057,-0.6746154,0.0746903
20,0.9996219,0.8926032,"('rough', 'thoughtful')",0.9996219,0.8926032,-0.1070187
21,-0.5206691,-0.35339156,"('immoral', 'moral')",-0.5206691,-0.3533916,0.1672775
22,-0.275187,-0.2959047,"('untrustworthy', 'trustworthy')",-0.275187,-0.2959047,-0.0207177
23,5.6543455,5.778943,"('insincere', 'sincere')",5.6543455,5.7789431,0.1245976
24,1.265682,1.2207155,"('dishonest', 'honest')",1.265682,1.2207155,-0.0449665
25,0.7268709,0.7510393,"('egoistic', 'altruistic')",0.7268709,0.7510393,0.0241684
26,0.87231565,0.6251567,"('hardhearted', 'benevolent')",0.8723156,0.6251567,-0.2471589
27,1.7491698,1.5607946,"('hardhearted', 'softhearted')",1.7491698,1.5607946,-0.1883752
