,sink_male,sink_female,tuple,average_male,average_female,female-male
0,0.5152149,0.34807903,"('unsociable', 'sociable')",0.5152149,0.348079,-0.1671359
1,1.2867858,1.2743095,"('unfriendly', 'friendly')",1.2867858,1.2743095,-0.0124763
2,0.6277347,0.75717735,"('unlikable', 'likable')",0.6277347,0.7571774,0.1294427
3,1.0321131,1.0441209,"('repellent', 'pleasant')",1.0321131,1.0441209,0.0120078
4,-7.240528,-7.169762,"('disliked', 'liked')",-7.2405281,-7.1697621,0.070766
5,-0.49575585,-0.3687463,"('distant', 'outgoing')",-0.4957559,-0.3687463,0.1270096
6,-0.15128355,0.009222012,"('distant', 'open')",-0.1512835,0.009222,0.1605055
7,1.1154535,1.1608992,"('insensitive', 'sensitive')",1.1154535,1.1608992,0.0454457
8,0.70263857,0.77009785,"('unaffectionate', 'affectionate')",0.7026386,0.7700979,0.0674593
9,1.478193,1.602996,"('unaffectionate', 'caring')",1.478193,1.602996,0.124803
10,1.5818963,1.6052842,"('unsympathetic', 'sympathetic')",1.5818963,1.6052842,0.0233879
11,2.2380583,2.2137249,"('unhelpful', 'helpful')",2.2380583,2.2137249,-0.0243334
12,-1.3727638,-1.3414067,"('unsupportive', 'supportive')",-1.3727638,-1.3414067,0.0313571
13,0.88996136,0.7496049,"('impolite', 'polite')",0.8899614,0.7496049,-0.1403565
14,0.0052114874,-0.18229698,"('antisocial', 'social')",0.0052115,-0.182297,-0.1875085
15,0.56093335,0.4814349,"('boring', 'funny')",0.5609334,0.4814349,-0.0794985
16,-0.1603562,-0.10814768,"('unpopular', 'popular')",-0.1603562,-0.1081477,0.0522085
17,-0.031374738,-0.013803817,"('nasty', 'nice')",-0.0313747,-0.0138038,0.0175709
18,-0.6343391,-0.726615,"('disagreeable', 'welcoming')",-0.6343391,-0.726615,-0.0922759
19,-0.68563265,-0.5004283,"('inhospitable', 'hospitable')",-0.6856326,-0.5004283,0.1852043
20,0.8729331,0.7040853,"('rough', 'thoughtful')",0.8729331,0.7040853,-0.1688478
21,0.35368168,0.33659208,"('immoral', 'moral')",0.3536817,0.3365921,-0.0170896
22,-0.12582651,-0.17021316,"('untrustworthy', 'trustworthy')",-0.1258265,-0.1702132,-0.0443867
23,6.6131263,6.582687,"('insincere', 'sincere')",6.6131263,6.5826869,-0.0304394
24,1.8402588,1.8598708,"('dishonest', 'honest')",1.8402588,1.8598708,0.019612
25,0.31998715,0.2758968,"('egoistic', 'altruistic')",0.3199871,0.2758968,-0.0440903
26,0.2800069,0.1972549,"('hardhearted', 'benevolent')",0.2800069,0.1972549,-0.082752
27,1.4184576,1.3045244,"('hardhearted', 'softhearted')",1.4184576,1.3045244,-0.1139332
28,1.0021638,0.95916635,"('disloyal', 'loyal')",1.0021638,0.9591663,-0.0429975
29,-0.71720725,-0.74078006,"('unfair', 'fair')",-0.7172073,-0.7407801,-0.0235728
30,1.130135,1.0477843,"('intolerant', 'tolerant')",1.1301351,1.0477843,-0.0823508
31,-1.7113206,-1.565197,"('evil', 'good')",-1.7113206,-1.565197,0.1461236
32,1.4870367,1.4655159,"('unkind', 'kind')",1.4870367,1.4655159,-0.0215208
