,blackfish_male,blackfish_female,tuple,average_male,average_female,female-male
0,0.2570555,0.32897738,"('unsociable', 'sociable')",0.2570555,0.3289774,0.0719219
1,-0.35560325,-0.55291426,"('unfriendly', 'friendly')",-0.3556032,-0.5529143,-0.1973111
2,0.7605804,0.74552995,"('unlikable', 'likable')",0.7605804,0.7455299,-0.0150505
3,-0.3937178,-0.28232798,"('repellent', 'pleasant')",-0.3937178,-0.282328,0.1113898
4,-2.7022917,-2.8962855,"('disliked', 'liked')",-2.7022917,-2.8962855,-0.1939938
5,-1.4441954,-1.5780439,"('distant', 'outgoing')",-1.4441954,-1.5780439,-0.1338485
6,-1.4192487,-1.5176215,"('distant', 'open')",-1.4192487,-1.5176215,-0.0983728
7,0.26102212,0.39958984,"('insensitive', 'sensitive')",0.2610221,0.3995898,0.1385677
8,-0.22344004,-0.39675885,"('unaffectionate', 'affectionate')",-0.22344,-0.3967589,-0.1733189
9,0.2836682,0.18943682,"('unaffectionate', 'caring')",0.2836682,0.1894368,-0.0942314
10,0.13735001,0.3178516,"('unsympathetic', 'sympathetic')",0.13735,0.3178516,0.1805016
11,1.027293,1.1571302,"('unhelpful', 'helpful')",1.027293,1.1571302,0.1298372
12,-0.8325903,-0.77911043,"('unsupportive', 'supportive')",-0.8325903,-0.7791104,0.0534799
13,0.12396785,0.23303904,"('impolite', 'polite')",0.1239678,0.233039,0.1090712
14,1.0077688,1.0270637,"('antisocial', 'social')",1.0077688,1.0270637,0.0192949
15,0.33069128,0.19880761,"('boring', 'funny')",0.3306913,0.1988076,-0.1318837
16,-0.48039854,-0.49798036,"('unpopular', 'popular')",-0.4803985,-0.4979804,-0.0175819
17,-1.0067872,-0.9467238,"('nasty', 'nice')",-1.0067872,-0.9467238,0.0600634
18,-0.6541473,-0.7547902,"('disagreeable', 'welcoming')",-0.6541473,-0.7547902,-0.1006429
19,-1.6821076,-1.577217,"('inhospitable', 'hospitable')",-1.6821076,-1.577217,0.1048906
20,-0.16621232,-0.08531219,"('rough', 'thoughtful')",-0.1662123,-0.0853122,0.0809001
21,0.4262135,0.57128334,"('immoral', 'moral')",0.4262135,0.5712833,0.1450698
22,-0.3451711,-0.3051924,"('untrustworthy', 'trustworthy')",-0.3451711,-0.3051924,0.0399787
23,2.562888,2.7704055,"('insincere', 'sincere')",2.5628879,2.7704055,0.2075176
24,0.7906821,0.7642924,"('dishonest', 'honest')",0.7906821,0.7642924,-0.0263897
25,-0.06661229,-0.13451333,"('egoistic', 'altruistic')",-0.0666123,-0.1345133,-0.067901
26,0.06832667,-0.11232057,"('hardhearted', 'benevolent')",0.0683267,-0.1123206,-0.1806473
27,-0.6276064,-0.6845687,"('hardhearted', 'softhearted')",-0.6276064,-0.6845687,-0.0569623
28,0.8834471,0.8188514,"('disloyal', 'loyal')",0.8834471,0.8188514,-0.0645957
29,-0.82740164,-0.9022998,"('unfair', 'fair')",-0.8274016,-0.9022998,-0.0748982
30,0.5306418,0.5681274,"('intolerant', 'tolerant')",0.5306418,0.5681274,0.0374856
31,-2.422265,-2.4177184,"('evil', 'good')",-2.4222651,-2.4177184,0.0045467
32,0.4557202,0.39444777,"('unkind', 'kind')",0.4557202,0.3944478,-0.0612724
33,-0.10340397,-0.24864337,"('wrong', 'right')",-0.103404,-0.2486434,-0.1452394
34,0.76435107,1.0840744,"('mean', 'honorable')",0.7643511,1.0840744,0.3197233
35,-1.056294,-1.2175088,"('corrupt', 'incorrupt')",-1.056294,-1.2175088,-0.1612148
36,-1.8975288,-1.9947472,"('hostile', 'amicable')",-1.8975288,-1.9947472,-0.0972184
