,gain_male,gain_female,tuple,average_male,average_female,female-male
0,-0.3412882,-0.48897237,"('unsociable', 'sociable')",-0.3412882,-0.4889724,-0.1476842
1,1.3962965,1.39323,"('unfriendly', 'friendly')",1.3962965,1.39323,-0.0030665
2,-0.1909044,-0.124552965,"('unlikable', 'likable')",-0.1909044,-0.124553,0.0663514
3,0.35797897,0.38078517,"('repellent', 'pleasant')",0.357979,0.3807852,0.0228062
4,-6.980605,-7.103336,"('disliked', 'liked')",-6.9806051,-7.1033359,-0.1227308
5,-0.57274854,-0.5677576,"('distant', 'outgoing')",-0.5727485,-0.5677576,0.0049909
6,-0.1209148,-0.14859429,"('distant', 'open')",-0.1209148,-0.1485943,-0.0276795
7,0.52106947,0.5696091,"('insensitive', 'sensitive')",0.5210695,0.5696091,0.0485396
8,1.6837641,1.6690731,"('unaffectionate', 'affectionate')",1.6837641,1.6690731,-0.014691
9,2.0660496,2.130873,"('unaffectionate', 'caring')",2.0660496,2.130873,0.0648234
10,0.89806634,0.8595399,"('unsympathetic', 'sympathetic')",0.8980663,0.8595399,-0.0385264
11,1.466043,1.5229707,"('unhelpful', 'helpful')",1.466043,1.5229707,0.0569277
12,-1.7642608,-1.7683051,"('unsupportive', 'supportive')",-1.7642608,-1.7683051,-0.0040443
13,-0.85087216,-0.8955139,"('impolite', 'polite')",-0.8508722,-0.8955139,-0.0446417
14,-0.08973275,-0.1628535,"('antisocial', 'social')",-0.0897328,-0.1628535,-0.0731207
15,-0.0795949,-0.110457376,"('boring', 'funny')",-0.0795949,-0.1104574,-0.0308625
16,-0.70524573,-0.6233324,"('unpopular', 'popular')",-0.7052457,-0.6233324,0.0819133
17,-0.39000702,-0.37877038,"('nasty', 'nice')",-0.390007,-0.3787704,0.0112366
18,-0.32430023,-0.39588714,"('disagreeable', 'welcoming')",-0.3243002,-0.3958871,-0.0715869
19,-0.62200654,-0.60993475,"('inhospitable', 'hospitable')",-0.6220065,-0.6099347,0.0120718
20,1.0986156,1.0204308,"('rough', 'thoughtful')",1.0986156,1.0204308,-0.0781848
21,-0.5427598,-0.4870574,"('immoral', 'moral')",-0.5427598,-0.4870574,0.0557024
22,-0.954649,-0.9909209,"('untrustworthy', 'trustworthy')",-0.954649,-0.9909209,-0.0362719
23,6.181054,6.2169156,"('insincere', 'sincere')",6.1810541,6.2169156,0.0358615
24,1.2418306,1.1040773,"('dishonest', 'honest')",1.2418306,1.1040773,-0.1377533
25,1.1419232,1.1158941,"('egoistic', 'altruistic')",1.1419232,1.1158941,-0.0260291
26,1.0549362,1.0352602,"('hardhearted', 'benevolent')",1.0549362,1.0352602,-0.019676
27,1.8061553,1.682369,"('hardhearted', 'softhearted')",1.8061553,1.682369,-0.1237863
28,1.4247377,1.4131317,"('disloyal', 'loyal')",1.4247377,1.4131317,-0.011606
29,-1.0615416,-1.1902691,"('unfair', 'fair')",-1.0615416,-1.1902691,-0.1287275
30,0.9873694,0.98020625,"('intolerant', 'tolerant')",0.9873694,0.9802063,-0.0071631
31,-1.2809435,-1.2040323,"('evil', 'good')",-1.2809435,-1.2040323,0.0769112
32,0.9993841,0.95915407,"('unkind', 'kind')",0.9993841,0.9591541,-0.04023
33,-0.3031209,-0.3440776,"('wrong', 'right')",-0.3031209,-0.3440776,-0.0409567
34,4.660977,4.8516674,"('mean', 'honorable')",4.6609769,4.8516674,0.1906905
35,-0.56606066,-0.7375065,"('corrupt', 'incorrupt')",-0.5660607,-0.7375065,-0.1714458
36,-0.16767472,-0.20432398,"('hostile', 'amicable')",-0.1676747,-0.204324,-0.0366493
37,0.9335901,0.9100788,"('fake', 'genuine')",0.9335901,0.9100788,-0.0235113
38,-0.059527814,-0.028244406,"('untruthful', 'truthful')",-0.0595278,-0.0282444,0.0312834
39,0.069962665,0.018427666,"('exploitative', 'cooperative')",0.0699627,0.0184277,-0.051535
40,-1.5223145,-1.7287759,"('stingy', 'generous')",-1.5223145,-1.7287759,-0.2064614
41,0.10960969,0.09037161,"('unforgiving', 'forgiving')",0.1096097,0.0903716,-0.0192381
42,-2.6151502,-2.7002997,"('unreliable', 'reliable')",-2.6151502,-2.7002997,-0.0851495
43,0.62686765,0.6115164,"('irresponsible', 'responsible')",0.6268677,0.6115164,-0.0153513
44,-1.5620806,-1.5949876,"('prejudiced', 'unprejudiced')",-1.5620806,-1.5949876,-0.032907
45,-0.42408475,-0.41575918,"('incompetent', 'competent')",-0.4240848,-0.4157592,0.0083256
46,-0.85057855,-0.95955396,"('uncompetitive', 'competitive')",-0.8505785,-0.959554,-0.1089755
47,5.1175365,5.269273,"('stupid', 'smart')",5.1175365,5.2692728,0.1517363
48,0.5652614,0.50925535,"('unintelligent', 'intelligent')",0.5652614,0.5092553,-0.0560061
49,0.5770037,0.60613316,"('unable', 'able')",0.5770037,0.6061332,0.0291295
