,interpublic_male,interpublic_female,tuple,group_male,group_female,cos_male,cos_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.3347858,-1.4281908,"('unsociable', 'sociable')",1.0817643,0.8912767,-0.5258983,-0.5611612,-0.7263362,-0.7589695,-0.376314,-0.4642612,-0.0879472
1,-1.0515226,-1.0806903,"('unfriendly', 'friendly')",-1.6637981,-1.6527551,-1.5349131,-1.5436547,1.6996332,1.674943,-0.6376501,-0.6505393,-0.0128892
2,0.74600685,0.7563816,"('unlikable', 'likable')",2.1589363,2.218733,1.7192502,1.7436377,1.2409791,1.3356639,1.4662931,1.513604,0.0473109
3,-1.1519274,-1.0710669,"('repellent', 'pleasant')",1.488564,1.5097609,0.83322495,0.908476,0.34037262,0.37461558,0.3775585,0.4304464,0.0528879
4,0.3118527,0.2852408,"('disliked', 'liked')",-1.2002318,-1.1324682,-0.371075,-0.46132568,-6.1964774,-6.171377,-1.8639829,-1.8699826,-0.0059997
5,0.47787395,0.5694183,"('distant', 'outgoing')",-3.5479593,-3.2781715,-2.2458086,-2.1021855,-0.66627526,-0.5672879,-1.4955423,-1.3445567,0.1509856
6,0.56396216,0.6580425,"('distant', 'open')",-4.015297,-3.7474403,-2.4547186,-2.3518312,0.039317194,0.0660799,-1.4666841,-1.3437872,0.1228969
7,-0.70158064,-0.7154944,"('insensitive', 'sensitive')",0.9075101,0.82797444,-0.5033132,-0.42782846,0.50102437,0.5993664,0.0509102,0.0710045,0.0200943
8,-1.4565638,-1.4907591,"('unaffectionate', 'affectionate')",-1.2808766,-1.2223221,-2.1680233,-2.1067474,0.49554324,0.49193618,-1.1024802,-1.0819732,0.020507
9,-1.4039474,-1.4567282,"('unaffectionate', 'caring')",-1.1513621,-1.1565654,-1.9279882,-1.8543682,1.1662834,1.1790708,-0.8292535,-0.8221477,0.0071058
10,-2.4006038,-2.4693115,"('unsympathetic', 'sympathetic')",1.1756325,1.0236559,-1.1017901,-1.0166022,-0.4096958,-0.37011024,-0.6841143,-0.708092,-0.0239777
11,-0.8124045,-0.86266947,"('unhelpful', 'helpful')",1.0315535,0.9914211,0.4452827,0.51489085,2.3464384,2.366893,0.7527175,0.7526339,-8.36e-05
12,-1.3632768,-1.2907805,"('unsupportive', 'supportive')",0.86954814,0.97542584,-1.2960756,-1.1222943,-2.1097505,-1.9909717,-0.9748887,-0.8571552,0.1177335
13,-0.65510964,-0.6738743,"('impolite', 'polite')",1.3502723,1.2791078,0.51515114,0.5652165,-0.6004682,-0.59464765,0.1524614,0.1439506,-0.0085108
14,-0.3894041,-0.44953108,"('antisocial', 'social')",3.2342663,3.0781002,0.79350626,0.81248593,-0.3591907,-0.41781592,0.8197945,0.7558098,-0.0639847
15,1.4864099,1.41424,"('boring', 'funny')",-0.7799163,-0.8203612,0.6924175,0.66746587,0.8883639,0.8934252,0.5718188,0.5386925,-0.0331263
16,0.28456336,0.22218396,"('unpopular', 'popular')",-0.6369551,-0.63084996,0.5762517,0.4120206,1.0213383,0.98094004,0.3112996,0.2460737,-0.0652259
17,-0.18296194,-0.13833806,"('nasty', 'nice')",-1.2618005,-1.2186364,-0.5268993,-0.48335162,-0.3447082,-0.3381497,-0.5790925,-0.544619,0.0344735
18,0.122190095,0.12169564,"('disagreeable', 'welcoming')",-0.935584,-0.8655963,-1.6908745,-1.6143652,-0.46986946,-0.5027149,-0.7435344,-0.7152452,0.0282892
19,-0.62054574,-0.5828634,"('inhospitable', 'hospitable')",-2.580049,-2.4894006,-0.7012542,-0.6243372,-0.12399191,-0.03499038,-1.0064602,-0.9328979,0.0735623
20,-0.61682564,-0.62601894,"('rough', 'thoughtful')",1.8226019,1.7574071,0.18885823,0.18878047,0.50299907,0.48437712,0.4744084,0.4511364,-0.023272
21,-1.0007995,-1.055869,"('immoral', 'moral')",2.0330808,1.8960791,0.47132924,0.4925425,-0.77231944,-0.7225135,0.1828228,0.1525598,-0.030263
22,-0.4629257,-0.47604048,"('untrustworthy', 'trustworthy')",1.4842207,1.4789426,-0.5070695,-0.409814,-1.2918861,-1.2270411,-0.1944151,-0.1584882,0.0359269
23,-1.1407708,-1.1986732,"('insincere', 'sincere')",0.9426567,0.8994283,-0.4136782,-0.39189303,6.08822,5.963497,1.369107,1.3180898,-0.0510172
24,-0.6344565,-0.67228353,"('dishonest', 'honest')",-0.17445892,-0.15987197,-1.532373,-1.4073453,0.90412587,0.89876515,-0.3592906,-0.3351839,0.0241067
25,0.33060688,0.2946077,"('egoistic', 'altruistic')",-0.70966476,-0.7285952,-0.20235388,-0.3308425,1.555324,1.4365705,0.243478,0.1679351,-0.0755429
26,0.27682215,0.2180757,"('hardhearted', 'benevolent')",0.8882601,0.815798,0.43678474,0.40168846,1.7070553,1.699077,0.8272306,0.7836598,-0.0435708
27,-0.61116004,-0.5554951,"('hardhearted', 'softhearted')",-1.4962053,-1.4600666,-0.94366974,-0.8754618,1.0215845,0.910956,-0.5073627,-0.4950168,0.0123459
