,sweets_male,sweets_female,tuple,average_male,average_female,female-male
0,-0.13507336,-0.31043476,"('unsociable', 'sociable')",-0.1350734,-0.3104348,-0.1753614
1,1.4792188,1.4373006,"('unfriendly', 'friendly')",1.4792188,1.4373006,-0.0419182
2,-0.122364566,-0.033875458,"('unlikable', 'likable')",-0.1223646,-0.0338755,0.0884891
3,0.3626878,0.38452074,"('repellent', 'pleasant')",0.3626878,0.3845207,0.0218329
4,-6.998552,-7.062736,"('disliked', 'liked')",-6.9985518,-7.062736,-0.0641842
5,-0.4105907,-0.33477357,"('distant', 'outgoing')",-0.4105907,-0.3347736,0.0758171
6,0.06744613,0.04974468,"('distant', 'open')",0.0674461,0.0497447,-0.0177014
7,0.74644864,0.70506144,"('insensitive', 'sensitive')",0.7464486,0.7050614,-0.0413872
8,1.3323623,1.2973322,"('unaffectionate', 'affectionate')",1.3323623,1.2973322,-0.0350301
9,1.5544293,1.5877702,"('unaffectionate', 'caring')",1.5544293,1.5877702,0.0333409
10,0.9880623,0.85767657,"('unsympathetic', 'sympathetic')",0.9880623,0.8576766,-0.1303857
11,1.8006204,1.7175455,"('unhelpful', 'helpful')",1.8006204,1.7175455,-0.0830749
12,-1.5978447,-1.6774226,"('unsupportive', 'supportive')",-1.5978447,-1.6774226,-0.0795779
13,-0.2811647,-0.4073785,"('impolite', 'polite')",-0.2811647,-0.4073785,-0.1262138
14,-0.081055716,-0.19378248,"('antisocial', 'social')",-0.0810557,-0.1937825,-0.1127268
15,0.25898242,0.21825351,"('boring', 'funny')",0.2589824,0.2182535,-0.0407289
16,-0.3601467,-0.28150833,"('unpopular', 'popular')",-0.3601467,-0.2815083,0.0786384
17,-0.48433152,-0.37084192,"('nasty', 'nice')",-0.4843315,-0.3708419,0.1134896
18,-0.1213942,-0.24327445,"('disagreeable', 'welcoming')",-0.1213942,-0.2432745,-0.1218803
19,-0.57284766,-0.57164365,"('inhospitable', 'hospitable')",-0.5728477,-0.5716437,0.001204
20,0.8426058,0.76917267,"('rough', 'thoughtful')",0.8426058,0.7691727,-0.0734331
21,-0.2249192,-0.23772302,"('immoral', 'moral')",-0.2249192,-0.237723,-0.0128038
22,-0.64871764,-0.7488329,"('untrustworthy', 'trustworthy')",-0.6487176,-0.7488329,-0.1001153
23,6.17089,6.099439,"('insincere', 'sincere')",6.1708899,6.0994391,-0.0714508
24,1.3958244,1.2433238,"('dishonest', 'honest')",1.3958244,1.2433238,-0.1525006
25,0.8958334,0.9067541,"('egoistic', 'altruistic')",0.8958334,0.9067541,0.0109207
26,0.91572374,0.8682498,"('hardhearted', 'benevolent')",0.9157237,0.8682498,-0.0474739
27,1.6948154,1.5447583,"('hardhearted', 'softhearted')",1.6948154,1.5447583,-0.1500571
28,1.2145251,1.1103578,"('disloyal', 'loyal')",1.2145251,1.1103578,-0.1041673
29,-0.9045542,-1.0004882,"('unfair', 'fair')",-0.9045542,-1.0004882,-0.095934
30,0.9824556,0.8508208,"('intolerant', 'tolerant')",0.9824556,0.8508208,-0.1316348
31,-1.5786265,-1.4766492,"('evil', 'good')",-1.5786265,-1.4766492,0.1019773
32,1.0522643,0.93585515,"('unkind', 'kind')",1.0522643,0.9358552,-0.1164091
33,-0.33635518,-0.3001083,"('wrong', 'right')",-0.3363552,-0.3001083,0.0362469
34,4.261143,4.3816137,"('mean', 'honorable')",4.2611432,4.3816137,0.1204705
35,-0.73285097,-0.8509536,"('corrupt', 'incorrupt')",-0.732851,-0.8509536,-0.1181026
36,-0.49455363,-0.49066752,"('hostile', 'amicable')",-0.4945536,-0.4906675,0.0038861
37,0.75875,0.72176653,"('fake', 'genuine')",0.75875,0.7217665,-0.0369835
38,-0.081961304,-0.08631733,"('untruthful', 'truthful')",-0.0819613,-0.0863173,-0.004356
39,0.39760897,0.35914218,"('exploitative', 'cooperative')",0.397609,0.3591422,-0.0384668
40,-1.4299576,-1.6361748,"('stingy', 'generous')",-1.4299576,-1.6361748,-0.2062172
41,0.100394994,0.021016482,"('unforgiving', 'forgiving')",0.100395,0.0210165,-0.0793785
42,-2.266161,-2.418511,"('unreliable', 'reliable')",-2.266161,-2.4185109,-0.1523499
43,0.848164,0.7460844,"('irresponsible', 'responsible')",0.848164,0.7460844,-0.1020796
44,-0.896954,-0.8630893,"('prejudiced', 'unprejudiced')",-0.896954,-0.8630893,0.0338647
45,-0.31680697,-0.4211292,"('incompetent', 'competent')",-0.316807,-0.4211292,-0.1043222
46,-0.5790655,-0.7595501,"('uncompetitive', 'competitive')",-0.5790655,-0.7595501,-0.1804846
47,4.8199143,4.961819,"('stupid', 'smart')",4.8199143,4.9618192,0.1419049
48,0.42429093,0.29428768,"('unintelligent', 'intelligent')",0.4242909,0.2942877,-0.1300032
49,0.07730325,0.07082389,"('unable', 'able')",0.0773033,0.0708239,-0.0064794
50,-0.17839259,-0.22553667,"('clumsy', 'skillful')",-0.1783926,-0.2255367,-0.0471441
51,0.66936445,0.48951393,"('uneducated', 'educated')",0.6693645,0.4895139,-0.1798506
52,-0.3201942,-0.2865666,"('irrational', 'rational')",-0.3201942,-0.2865666,0.0336276
53,-0.2472415,-0.34191993,"('uncreative', 'creative')",-0.2472415,-0.3419199,-0.0946784
54,1.1256012,1.1306202,"('incapable', 'capable')",1.1256012,1.1306202,0.005019
55,0.6291944,0.5288558,"('incompetent', 'clever')",0.6291944,0.5288558,-0.1003386
56,0.46183547,0.35963976,"('impractical', 'practical')",0.4618355,0.3596398,-0.1021957
57,-2.7794423,-2.8080878,"('unimaginative', 'imaginative')",-2.7794423,-2.8080878,-0.0286455
58,0.15920599,0.10453355,"('undiscriminating', 'discriminating')",0.159206,0.1045336,-0.0546724
59,0.13987543,0.19177026,"('foolish', 'wise')",0.1398754,0.1917703,0.0518949
60,0.19227205,0.14527407,"('inefficient', 'efficient')",0.1922721,0.1452741,-0.046998
61,0.13129789,-0.06736634,"('illogical', 'logical')",0.1312979,-0.0673663,-0.1986642
62,0.22795607,0.23895866,"('incompetent', 'brilliant')",0.2279561,0.2389587,0.0110026
63,0.016873598,-0.06838693,"('unperceptive', 'insightful')",0.0168736,-0.0683869,-0.0852605
64,-6.433055,-6.4379616,"('shy', 'confident')",-6.4330549,-6.4379616,-0.0049067
65,-0.05941081,-0.12874082,"('insecure', 'secure')",-0.0594108,-0.1287408,-0.06933
66,-0.10826365,-0.13712367,"('inactive', 'active')",-0.1082636,-0.1371237,-0.0288601
67,-0.47180435,-0.45697618,"('doubtful', 'determined')",-0.4718044,-0.4569762,0.0148282
68,-0.5792841,-0.6925932,"('dependent', 'independent')",-0.5792841,-0.6925932,-0.1133091
69,-2.1317272,-2.032377,"('lazy', 'industrious')",-2.1317272,-2.032377,0.0993502
70,0.90221864,0.7629063,"('lethargic', 'energetic')",0.9022186,0.7629063,-0.1393123
71,0.6415714,0.6681974,"('diffident', 'self-confident')",0.6415714,0.6681974,0.026626
72,0.5360741,0.65641123,"('unambitious', 'ambitious')",0.5360741,0.6564112,0.1203371
73,-2.90593,-2.848579,"('helpless', 'self-reliant')",-2.90593,-2.8485789,0.0573511
74,0.34225062,0.14583923,"('undedicated', 'dedicated')",0.3422506,0.1458392,-0.1964114
75,-0.9177054,-0.7322529,"('meek', 'impulsive')",-0.9177054,-0.7322529,0.1854525
76,0.83288157,0.71040046,"('anxious', 'daring')",0.8328816,0.7104005,-0.1224811
77,-1.5661653,-1.4332473,"('unmotivated', 'motivated')",-1.5661653,-1.4332473,0.132918
78,-0.42189747,-0.4639158,"('nonresilient', 'resilient')",-0.4218975,-0.4639158,-0.0420183
79,0.008165903,0.06619461,"('wavering', 'unwavering')",0.0081659,0.0661946,0.0580287
80,-0.1546821,-0.28312057,"('dominated', 'dominating')",-0.1546821,-0.2831206,-0.1284385
81,0.19325286,0.14585356,"('submissive', 'aggressive')",0.1932529,0.1458536,-0.0473993
82,6.0405803,6.1216507,"('poor', 'rich')",6.0405803,6.1216507,0.0810704
