,convergys_male,convergys_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.9256877,-0.9719663,"('unsociable', 'sociable')",-0.23320082,-0.359129,-0.5794442,-0.6655477,-0.0861035
1,-2.39594,-2.4720728,"('unfriendly', 'friendly')",1.4916718,1.3673266,-0.4521341,-0.5523731,-0.100239
2,0.37924623,0.41510034,"('unlikable', 'likable')",0.68108755,0.72329736,0.5301669,0.5691988,0.0390319
3,-0.1268833,-0.03190296,"('repellent', 'pleasant')",0.97027326,0.9735572,0.421695,0.4708271,0.0491321
4,-0.46167496,-0.46291,"('disliked', 'liked')",-7.463517,-7.516732,-3.9625962,-3.9898212,-0.027225
5,-0.8684846,-0.8244671,"('distant', 'outgoing')",-0.45303938,-0.5135265,-0.660762,-0.6689968,-0.0082348
6,-1.4292598,-1.3680274,"('distant', 'open')",-0.15307494,-0.24362081,-0.7911674,-0.8058242,-0.0146568
7,-0.41436398,-0.2857981,"('insensitive', 'sensitive')",0.15928152,0.21724406,-0.1275412,-0.034277,0.0932642
8,-1.9444842,-1.9530972,"('unaffectionate', 'affectionate')",0.8931088,0.85473937,-0.5256877,-0.549179,-0.0234913
9,-2.0783694,-2.0350008,"('unaffectionate', 'caring')",1.2222211,1.2327787,-0.4280741,-0.4011111,0.026963
10,-1.0615569,-0.99759644,"('unsympathetic', 'sympathetic')",-0.39302096,-0.39245516,-0.727289,-0.6950258,0.0322632
11,0.24563967,0.3286347,"('unhelpful', 'helpful')",1.3424797,1.4877725,0.7940597,0.9082036,0.1141439
12,-0.7020897,-0.48765716,"('unsupportive', 'supportive')",-2.4689422,-2.4481895,-1.585516,-1.4679233,0.1175927
13,-0.260477,-0.204474,"('impolite', 'polite')",-0.9723383,-0.91784346,-0.6164076,-0.5611587,0.0552489
14,0.6773127,0.73657,"('antisocial', 'social')",-0.08842869,-0.1652701,0.294442,0.28565,-0.008792
15,-0.117798775,-0.17195177,"('boring', 'funny')",-0.05083681,-0.05634907,-0.0843178,-0.1141504,-0.0298326
16,-0.5631596,-0.60622644,"('unpopular', 'popular')",0.5367236,0.4620129,-0.013218,-0.0721068,-0.0588888
17,-0.23079893,-0.08733387,"('nasty', 'nice')",-0.53377867,-0.46486053,-0.3822888,-0.2760972,0.1061916
18,-0.46854138,-0.37733996,"('disagreeable', 'welcoming')",-0.4820223,-0.5264513,-0.4752818,-0.4518956,0.0233862
19,-1.2759609,-1.1976984,"('inhospitable', 'hospitable')",-0.6631318,-0.5853791,-0.9695463,-0.8915387,0.0780076
20,0.62713,0.6841171,"('rough', 'thoughtful')",0.9674405,0.9554239,0.7972852,0.8197705,0.0224853
