,jailhouse_male,jailhouse_female,tuple,average_male,average_female,female-male
0,1.4928876,1.3684719,"('unsociable', 'sociable')",1.4928876,1.3684719,-0.1244157
1,-0.72011185,-0.6723762,"('unfriendly', 'friendly')",-0.7201118,-0.6723762,0.0477356
2,0.028066052,0.23266159,"('unlikable', 'likable')",0.0280661,0.2326616,0.2045955
3,-0.60425514,-0.5037618,"('repellent', 'pleasant')",-0.6042551,-0.5037618,0.1004933
4,-2.9628744,-2.987286,"('disliked', 'liked')",-2.9628744,-2.9872861,-0.0244117
5,-0.90762514,-0.9538286,"('distant', 'outgoing')",-0.9076251,-0.9538286,-0.0462035
6,-0.9344743,-0.9914833,"('distant', 'open')",-0.9344743,-0.9914833,-0.057009
7,-0.07779111,0.0038626716,"('insensitive', 'sensitive')",-0.0777911,0.0038627,0.0816538
8,-0.23145913,-0.23960604,"('unaffectionate', 'affectionate')",-0.2314591,-0.239606,-0.0081469
9,-0.032096814,0.037351165,"('unaffectionate', 'caring')",-0.0320968,0.0373512,0.069448
10,0.63327056,0.6576693,"('unsympathetic', 'sympathetic')",0.6332706,0.6576693,0.0243987
11,1.8074783,1.8487599,"('unhelpful', 'helpful')",1.8074783,1.8487599,0.0412816
12,-0.3698157,-0.29464805,"('unsupportive', 'supportive')",-0.3698157,-0.2946481,0.0751676
13,0.5520216,0.6026548,"('impolite', 'polite')",0.5520216,0.6026548,0.0506332
14,0.8700863,0.93743736,"('antisocial', 'social')",0.8700863,0.9374374,0.0673511
15,0.3790237,0.27260458,"('boring', 'funny')",0.3790237,0.2726046,-0.1064191
16,-0.098501146,-0.0553771,"('unpopular', 'popular')",-0.0985011,-0.0553771,0.043124
17,-0.35842028,-0.43492895,"('nasty', 'nice')",-0.3584203,-0.434929,-0.0765087
18,-1.2038938,-1.0329033,"('disagreeable', 'welcoming')",-1.2038938,-1.0329033,0.1709905
19,-1.1565244,-1.1794931,"('inhospitable', 'hospitable')",-1.1565244,-1.1794931,-0.0229687
20,-0.8413044,-0.77635765,"('rough', 'thoughtful')",-0.8413044,-0.7763577,0.0649467
