,absence_male,absence_female,tuple,average_male,average_female,female-male
0,-0.106685065,-0.11950661,"('unsociable', 'sociable')",-0.1066851,-0.1195066,-0.0128215
1,0.86478007,0.8526607,"('unfriendly', 'friendly')",0.8647801,0.8526607,-0.0121194
2,-0.33886012,-0.32689086,"('unlikable', 'likable')",-0.3388601,-0.3268909,0.0119692
3,0.7744485,0.79365206,"('repellent', 'pleasant')",0.7744485,0.7936521,0.0192036
4,-7.1549735,-7.3397613,"('disliked', 'liked')",-7.1549735,-7.3397613,-0.1847878
5,-0.7490637,-0.7306013,"('distant', 'outgoing')",-0.7490637,-0.7306013,0.0184624
6,-0.23206997,-0.33310705,"('distant', 'open')",-0.23207,-0.3331071,-0.1010371
7,0.759163,0.8235703,"('insensitive', 'sensitive')",0.759163,0.8235703,0.0644073
8,0.9109297,0.8660606,"('unaffectionate', 'affectionate')",0.9109297,0.8660606,-0.0448691
9,0.93195057,0.98977476,"('unaffectionate', 'caring')",0.9319506,0.9897748,0.0578242
10,1.1199431,1.1401923,"('unsympathetic', 'sympathetic')",1.1199431,1.1401923,0.0202492
11,1.3140919,1.3477376,"('unhelpful', 'helpful')",1.3140919,1.3477376,0.0336457
12,-1.850613,-1.8829436,"('unsupportive', 'supportive')",-1.850613,-1.8829436,-0.0323306
13,-0.31451213,-0.26140693,"('impolite', 'polite')",-0.3145121,-0.2614069,0.0531052
14,0.34739223,0.28283197,"('antisocial', 'social')",0.3473922,0.282832,-0.0645602
15,-0.1715893,-0.29208124,"('boring', 'funny')",-0.1715893,-0.2920812,-0.1204919
16,-0.7622844,-0.811723,"('unpopular', 'popular')",-0.7622844,-0.811723,-0.0494386
17,-0.45056546,-0.4594782,"('nasty', 'nice')",-0.4505655,-0.4594782,-0.0089127
18,-0.18769343,-0.24948396,"('disagreeable', 'welcoming')",-0.1876934,-0.249484,-0.0617906
19,-0.88181025,-0.9337895,"('inhospitable', 'hospitable')",-0.8818102,-0.9337895,-0.0519793
20,0.83814096,0.73374546,"('rough', 'thoughtful')",0.838141,0.7337455,-0.1043955
21,-0.42905232,-0.3727585,"('immoral', 'moral')",-0.4290523,-0.3727585,0.0562938
22,-0.28402996,-0.36612782,"('untrustworthy', 'trustworthy')",-0.28403,-0.3661278,-0.0820978
23,5.880843,5.971866,"('insincere', 'sincere')",5.8808432,5.9718661,0.0910229
24,1.4305007,1.3631414,"('dishonest', 'honest')",1.4305007,1.3631414,-0.0673593
25,0.6407157,0.5213708,"('egoistic', 'altruistic')",0.6407157,0.5213708,-0.1193449
26,0.9203036,0.82992065,"('hardhearted', 'benevolent')",0.9203036,0.8299206,-0.090383
27,1.4925258,1.3142473,"('hardhearted', 'softhearted')",1.4925258,1.3142473,-0.1782785
28,0.9247806,0.89572406,"('disloyal', 'loyal')",0.9247806,0.8957241,-0.0290565
29,-0.76217127,-0.9439109,"('unfair', 'fair')",-0.7621713,-0.9439109,-0.1817396
30,0.8735289,0.8709052,"('intolerant', 'tolerant')",0.8735289,0.8709052,-0.0026237
31,-1.3887675,-1.501706,"('evil', 'good')",-1.3887675,-1.501706,-0.1129385
32,0.9052408,0.8152646,"('unkind', 'kind')",0.9052408,0.8152646,-0.0899762
33,-0.6228782,-0.63759375,"('wrong', 'right')",-0.6228782,-0.6375937,-0.0147155
34,4.1976027,4.353458,"('mean', 'honorable')",4.1976027,4.3534579,0.1558552
35,-0.7625329,-0.9880171,"('corrupt', 'incorrupt')",-0.7625329,-0.9880171,-0.2254842
36,-0.91343844,-0.98741674,"('hostile', 'amicable')",-0.9134384,-0.9874167,-0.0739783
37,0.6774128,0.6467325,"('fake', 'genuine')",0.6774128,0.6467325,-0.0306803
38,-0.48555064,-0.39275724,"('untruthful', 'truthful')",-0.4855506,-0.3927572,0.0927934
39,0.5223705,0.47480908,"('exploitative', 'cooperative')",0.5223705,0.4748091,-0.0475614
40,-1.0317317,-1.2081454,"('stingy', 'generous')",-1.0317317,-1.2081454,-0.1764137
41,-0.11404643,-0.13619694,"('unforgiving', 'forgiving')",-0.1140464,-0.1361969,-0.0221505
42,-1.9909757,-2.1784651,"('unreliable', 'reliable')",-1.9909757,-2.1784651,-0.1874894
43,0.8714815,0.9458186,"('irresponsible', 'responsible')",0.8714815,0.9458186,0.0743371
44,-0.62138295,-0.6261419,"('prejudiced', 'unprejudiced')",-0.621383,-0.6261419,-0.0047589
45,-0.004057955,-0.06068961,"('incompetent', 'competent')",-0.004058,-0.0606896,-0.0566316
46,-0.29148123,-0.3148743,"('uncompetitive', 'competitive')",-0.2914812,-0.3148743,-0.0233931
47,4.931795,5.1062407,"('stupid', 'smart')",4.9317951,5.1062407,0.1744456
48,0.13936342,0.16802804,"('unintelligent', 'intelligent')",0.1393634,0.168028,0.0286646
49,-0.46601006,-0.43690887,"('unable', 'able')",-0.4660101,-0.4369089,0.0291012
50,-0.6883992,-0.7996424,"('clumsy', 'skillful')",-0.6883992,-0.7996424,-0.1112432
51,0.567803,0.4791677,"('uneducated', 'educated')",0.567803,0.4791677,-0.0886353
52,-0.63593745,-0.79368216,"('irrational', 'rational')",-0.6359375,-0.7936822,-0.1577447
53,-0.46519402,-0.52744305,"('uncreative', 'creative')",-0.465194,-0.5274431,-0.0622491
54,0.61362714,0.63879895,"('incapable', 'capable')",0.6136271,0.638799,0.0251719
55,0.76052266,0.79719055,"('incompetent', 'clever')",0.7605227,0.7971905,0.0366678
56,0.4216178,0.3978782,"('impractical', 'practical')",0.4216178,0.3978782,-0.0237396
57,-2.3894522,-2.438651,"('unimaginative', 'imaginative')",-2.3894522,-2.4386511,-0.0491989
58,0.03781044,0.029826492,"('undiscriminating', 'discriminating')",0.0378104,0.0298265,-0.0079839
59,-0.3530138,-0.37991938,"('foolish', 'wise')",-0.3530138,-0.3799194,-0.0269056
60,0.19163135,0.33963892,"('inefficient', 'efficient')",0.1916313,0.3396389,0.1480076
61,0.037235938,-0.08776064,"('illogical', 'logical')",0.0372359,-0.0877606,-0.1249965
62,0.18722808,0.22879848,"('incompetent', 'brilliant')",0.1872281,0.2287985,0.0415704
63,-0.24673882,-0.22468856,"('unperceptive', 'insightful')",-0.2467388,-0.2246886,0.0220502
64,-5.9514666,-6.0451927,"('shy', 'confident')",-5.9514666,-6.0451927,-0.0937261
65,0.42397717,0.43537572,"('insecure', 'secure')",0.4239772,0.4353757,0.0113985
66,-0.14604294,-0.27274713,"('inactive', 'active')",-0.1460429,-0.2727471,-0.1267042
67,-0.611569,-0.5567984,"('doubtful', 'determined')",-0.611569,-0.5567984,0.0547706
68,-0.7155608,-0.74376535,"('dependent', 'independent')",-0.7155608,-0.7437654,-0.0282046
69,-2.2225955,-2.2739668,"('lazy', 'industrious')",-2.2225955,-2.2739668,-0.0513713
70,1.5012441,1.4144083,"('lethargic', 'energetic')",1.5012441,1.4144083,-0.0868358
71,0.77810293,0.75318897,"('diffident', 'self-confident')",0.7781029,0.753189,-0.0249139
72,0.64607596,0.75384057,"('unambitious', 'ambitious')",0.646076,0.7538406,0.1077646
73,-2.9648972,-2.9985936,"('helpless', 'self-reliant')",-2.9648972,-2.9985936,-0.0336964
74,0.14215027,0.03683172,"('undedicated', 'dedicated')",0.1421503,0.0368317,-0.1053186
75,-0.7413797,-0.71473265,"('meek', 'impulsive')",-0.7413797,-0.7147326,0.0266471
76,0.7734624,0.74434614,"('anxious', 'daring')",0.7734624,0.7443461,-0.0291163
77,-1.6534858,-1.4684566,"('unmotivated', 'motivated')",-1.6534858,-1.4684566,0.1850292
78,-0.7999716,-0.8206563,"('nonresilient', 'resilient')",-0.7999716,-0.8206563,-0.0206847
79,-0.38131845,-0.4073687,"('wavering', 'unwavering')",-0.3813184,-0.4073687,-0.0260503
80,-0.16526067,-0.21339206,"('dominated', 'dominating')",-0.1652607,-0.2133921,-0.0481314
81,0.3764786,0.45981523,"('submissive', 'aggressive')",0.3764786,0.4598152,0.0833366
82,6.028732,6.132007,"('poor', 'rich')",6.0287318,6.1320071,0.1032753
83,-0.24605438,-0.25294584,"('powerless', 'powerful')",-0.2460544,-0.2529458,-0.0068914
84,0.536712,0.5619605,"('inferior', 'superior')",0.536712,0.5619605,0.0252485
85,-0.7455985,-0.87343496,"('insignificant', 'prestigious')",-0.7455985,-0.873435,-0.1278365
86,0.28626874,0.24596664,"('uninfluential', 'influential')",0.2862687,0.2459666,-0.0403021
87,-0.97050035,-0.9003928,"('unsuccessful', 'successful')",-0.9705003,-0.9003928,0.0701075
88,0.30873257,0.28025222,"('low', 'eminent')",0.3087326,0.2802522,-0.0284804
