,hewlett_male,hewlett_female,tuple,packard_male,packard_female,enterprise_male,enterprise_female,co_male,co_female,average_male,average_female,female-male
0,-3.7824922,-3.9141235,"('unsociable', 'sociable')",-0.339665,-0.5851389,0.16466555,-0.051409237,0.056689054,-0.14049321,-0.9752007,-1.1727912,-0.1975905
1,-1.4256246,-1.5647243,"('unfriendly', 'friendly')",1.5316334,1.4355135,-0.87581074,-1.0796412,1.2435935,1.1605313,0.1184479,-0.0120802,-0.1305281
2,0.14411727,0.11412084,"('unlikable', 'likable')",0.56678796,0.6107538,0.91128916,0.99221283,0.7440235,0.8889616,0.5915545,0.6515123,0.0599578
3,-1.4317017,-1.4738222,"('repellent', 'pleasant')",-1.7687869,-1.7066487,0.27279323,0.29615083,0.696851,0.75211614,-0.5577111,-0.533051,0.0246601
4,1.509576,1.4223304,"('disliked', 'liked')",-0.41248646,-0.4682105,-0.43065354,-0.4448935,-6.7307544,-6.763574,-1.5160797,-1.563587,-0.0475073
5,2.476852,2.5312872,"('distant', 'outgoing')",0.76313424,0.8703888,-0.828799,-0.6208819,-0.7035779,-0.45731652,0.4269023,0.5808694,0.1539671
6,2.5934205,2.6850471,"('distant', 'open')",0.7774298,0.94473314,-1.0825553,-0.8956532,-0.5784478,-0.31689093,0.4274618,0.604309,0.1768472
7,-2.7954507,-2.8888063,"('insensitive', 'sensitive')",-0.29480213,-0.320232,0.27042,0.16031612,0.050293874,0.046746075,-0.6923847,-0.750494,-0.0581093
8,-0.3354139,-0.306683,"('unaffectionate', 'affectionate')",1.6650136,1.7212577,-0.10824454,-0.18165639,0.41959074,0.48841396,0.4102364,0.430333,0.0200966
9,-1.1928376,-1.2016132,"('unaffectionate', 'caring')",1.4167615,1.436356,0.2516464,0.21403733,1.202294,1.2582607,0.4194661,0.4267602,0.0072941
10,-5.510716,-5.5811706,"('unsympathetic', 'sympathetic')",-0.84880686,-0.93595594,-0.24699448,-0.36640424,-0.25310376,-0.30487442,-1.7149053,-1.7971013,-0.082196
11,-2.5702999,-2.6042929,"('unhelpful', 'helpful')",0.41843706,0.31057733,0.48773256,0.39148855,2.5510378,2.497632,0.2217269,0.1488513,-0.0728756
12,-2.027732,-1.9312196,"('unsupportive', 'supportive')",0.4028048,0.55110604,0.08016887,0.23049212,-1.976937,-1.8694813,-0.8804238,-0.7547757,0.1256481
