,unum_male,unum_female,tuple,group_male,group_female,average_male,average_female,female-male
0,-1.4293151,-1.5424968,"('unsociable', 'sociable')",0.6128627,0.39999494,-0.4082262,-0.5712509,-0.1630247
1,-1.0212309,-1.0325617,"('unfriendly', 'friendly')",1.0668024,0.85925126,0.0227857,-0.0866552,-0.1094409
2,0.4215635,0.45559832,"('unlikable', 'likable')",0.88393426,0.8746938,0.6527489,0.6651461,0.0123972
3,-0.350535,-0.17927009,"('repellent', 'pleasant')",0.49292174,0.6442458,0.0711934,0.2324879,0.1612945
4,0.12562446,0.13050123,"('disliked', 'liked')",-5.7542796,-5.832327,-2.8143275,-2.8509128,-0.0365853
5,-0.35665065,-0.32809764,"('distant', 'outgoing')",-1.1199867,-1.105317,-0.7383187,-0.7167073,0.0216114
6,-0.6817232,-0.6191084,"('distant', 'open')",-1.420251,-1.4744965,-1.0509871,-1.0468024,0.0041847
7,-0.93376803,-0.8749731,"('insensitive', 'sensitive')",0.41725463,0.49558756,-0.2582567,-0.1896928,0.0685639
8,-0.83570415,-0.92929304,"('unaffectionate', 'affectionate')",0.30869162,0.24190028,-0.2635063,-0.3436964,-0.0801901
9,-1.001212,-1.1048547,"('unaffectionate', 'caring')",0.80187404,0.67136353,-0.099669,-0.2167456,-0.1170766
10,-1.6325992,-1.6261317,"('unsympathetic', 'sympathetic')",0.19843334,0.30781674,-0.717083,-0.6591575,0.0579255
11,-0.85022384,-0.93040156,"('unhelpful', 'helpful')",1.991535,2.0199482,0.5706556,0.5447733,-0.0258823
12,-1.4865674,-1.4638826,"('unsupportive', 'supportive')",-1.2689273,-1.2075388,-1.3777473,-1.3357108,0.0420365
13,-0.99174184,-1.0095009,"('impolite', 'polite')",0.4683556,0.39495856,-0.2616931,-0.3072712,-0.0455781
14,0.36253464,0.39294618,"('antisocial', 'social')",1.1898503,1.2071347,0.7761925,0.8000405,0.023848
15,0.4860949,0.32053083,"('boring', 'funny')",-0.15512307,-0.2989924,0.1654859,0.0107692,-0.1547167
16,-0.6404185,-0.70290697,"('unpopular', 'popular')",0.25977355,0.22681697,-0.1903225,-0.238045,-0.0477225
