,boatyard_male,boatyard_female,tuple,average_male,average_female,female-male
0,1.0089252,0.92704904,"('unsociable', 'sociable')",1.0089252,0.927049,-0.0818762
1,0.692273,0.5765357,"('unfriendly', 'friendly')",0.692273,0.5765357,-0.1157373
2,0.6777444,0.72841805,"('unlikable', 'likable')",0.6777444,0.7284181,0.0506737
3,0.063047424,0.17304838,"('repellent', 'pleasant')",0.0630474,0.1730484,0.110001
4,-3.018193,-3.0436761,"('disliked', 'liked')",-3.018193,-3.0436761,-0.0254831
5,-0.2747722,-0.30619064,"('distant', 'outgoing')",-0.2747722,-0.3061906,-0.0314184
6,-0.3653429,-0.43720478,"('distant', 'open')",-0.3653429,-0.4372048,-0.0718619
7,0.5981407,0.64963853,"('insensitive', 'sensitive')",0.5981407,0.6496385,0.0514978
8,0.020349778,-0.1454554,"('unaffectionate', 'affectionate')",0.0203498,-0.1454554,-0.1658052
9,0.74725705,0.6800248,"('unaffectionate', 'caring')",0.7472571,0.6800248,-0.0672323
10,0.14760154,0.21872008,"('unsympathetic', 'sympathetic')",0.1476015,0.2187201,0.0711186
11,1.3187479,1.4118215,"('unhelpful', 'helpful')",1.3187479,1.4118215,0.0930736
12,-0.66051996,-0.64375895,"('unsupportive', 'supportive')",-0.66052,-0.643759,0.016761
13,0.7752028,0.73322695,"('impolite', 'polite')",0.7752028,0.733227,-0.0419758
14,1.1061606,1.0868714,"('antisocial', 'social')",1.1061606,1.0868714,-0.0192892
15,1.1109672,0.97755784,"('boring', 'funny')",1.1109672,0.9775578,-0.1334094
16,0.2884509,0.27457687,"('unpopular', 'popular')",0.2884509,0.2745769,-0.013874
17,-0.3531743,-0.252935,"('nasty', 'nice')",-0.3531743,-0.252935,0.1002393
18,-1.0365722,-1.0682889,"('disagreeable', 'welcoming')",-1.0365722,-1.0682889,-0.0317167
19,-1.1386566,-1.1030583,"('inhospitable', 'hospitable')",-1.1386566,-1.1030583,0.0355983
20,-0.28856742,-0.25615954,"('rough', 'thoughtful')",-0.2885674,-0.2561595,0.0324079
21,0.11503416,0.2119996,"('immoral', 'moral')",0.1150342,0.2119996,0.0969654
22,-0.34873733,-0.32965326,"('untrustworthy', 'trustworthy')",-0.3487373,-0.3296533,0.019084
23,3.5623808,3.6010108,"('insincere', 'sincere')",3.5623808,3.6010108,0.03863
24,0.57607716,0.58194244,"('dishonest', 'honest')",0.5760772,0.5819424,0.0058652
25,0.3169808,0.28561193,"('egoistic', 'altruistic')",0.3169808,0.2856119,-0.0313689
26,0.49641186,0.30862725,"('hardhearted', 'benevolent')",0.4964119,0.3086272,-0.1877847
27,0.15682131,0.04525398,"('hardhearted', 'softhearted')",0.1568213,0.045254,-0.1115673
28,0.29608616,0.29319423,"('disloyal', 'loyal')",0.2960862,0.2931942,-0.002892
29,-0.08887571,-0.08633681,"('unfair', 'fair')",-0.0888757,-0.0863368,0.0025389
30,0.6814751,0.68647176,"('intolerant', 'tolerant')",0.6814751,0.6864718,0.0049967
31,-1.2870682,-1.3316642,"('evil', 'good')",-1.2870682,-1.3316642,-0.044596
32,0.4328144,0.34131327,"('unkind', 'kind')",0.4328144,0.3413133,-0.0915011
33,0.27364883,0.226339,"('wrong', 'right')",0.2736488,0.226339,-0.0473098
34,2.0376673,2.1706305,"('mean', 'honorable')",2.0376673,2.1706305,0.1329632
35,-1.1267005,-1.2547616,"('corrupt', 'incorrupt')",-1.1267005,-1.2547616,-0.1280611
36,-1.3163152,-1.4070089,"('hostile', 'amicable')",-1.3163152,-1.4070089,-0.0906937
37,0.04895837,0.07405318,"('fake', 'genuine')",0.0489584,0.0740532,0.0250948
38,0.31125492,0.31091067,"('untruthful', 'truthful')",0.3112549,0.3109107,-0.0003442
39,0.20058478,0.2696323,"('exploitative', 'cooperative')",0.2005848,0.2696323,0.0690475
40,-1.2186607,-1.2522937,"('stingy', 'generous')",-1.2186607,-1.2522937,-0.033633
41,0.16042836,0.18854448,"('unforgiving', 'forgiving')",0.1604284,0.1885445,0.0281161
42,-1.366365,-1.2204603,"('unreliable', 'reliable')",-1.366365,-1.2204603,0.1459047
43,0.9946847,1.013892,"('irresponsible', 'responsible')",0.9946847,1.0138921,0.0192074
44,-1.0399914,-1.0128214,"('prejudiced', 'unprejudiced')",-1.0399914,-1.0128214,0.02717
45,1.3222892,1.3688824,"('incompetent', 'competent')",1.3222892,1.3688824,0.0465932
46,0.28154942,0.31546533,"('uncompetitive', 'competitive')",0.2815494,0.3154653,0.0339159
47,3.148833,3.2228081,"('stupid', 'smart')",3.148833,3.2228081,0.0739751
48,0.21143654,0.14795278,"('unintelligent', 'intelligent')",0.2114365,0.1479528,-0.0634837
49,-0.3336287,-0.23272222,"('unable', 'able')",-0.3336287,-0.2327222,0.1009065
50,-0.71353924,-0.6612859,"('clumsy', 'skillful')",-0.7135392,-0.6612859,0.0522533
51,-0.39372978,-0.35677224,"('uneducated', 'educated')",-0.3937298,-0.3567722,0.0369576
52,-0.22718187,-0.3750118,"('irrational', 'rational')",-0.2271819,-0.3750118,-0.1478299
53,0.2009512,0.21569017,"('uncreative', 'creative')",0.2009512,0.2156902,0.014739
54,0.3170817,0.32383567,"('incapable', 'capable')",0.3170817,0.3238357,0.006754
55,1.0008293,1.0568819,"('incompetent', 'clever')",1.0008293,1.0568819,0.0560526
56,1.4684904,1.5109719,"('impractical', 'practical')",1.4684904,1.5109719,0.0424815
57,-1.0269792,-1.0116588,"('unimaginative', 'imaginative')",-1.0269792,-1.0116588,0.0153204
58,0.2839339,0.2936558,"('undiscriminating', 'discriminating')",0.2839339,0.2936558,0.0097219
59,-0.19537017,-0.19644779,"('foolish', 'wise')",-0.1953702,-0.1964478,-0.0010776
60,0.734345,0.8834987,"('inefficient', 'efficient')",0.734345,0.8834987,0.1491537
61,0.4263252,0.3548152,"('illogical', 'logical')",0.4263252,0.3548152,-0.07151
62,1.1435425,1.3151153,"('incompetent', 'brilliant')",1.1435425,1.3151153,0.1715728
63,0.32220146,0.46239632,"('unperceptive', 'insightful')",0.3222015,0.4623963,0.1401948
64,-2.7756307,-2.7773943,"('shy', 'confident')",-2.7756307,-2.7773943,-0.0017636
65,0.39582813,0.39234537,"('insecure', 'secure')",0.3958281,0.3923454,-0.0034827
66,-0.35491055,-0.4392756,"('inactive', 'active')",-0.3549106,-0.4392756,-0.084365
67,0.7307341,0.7883084,"('doubtful', 'determined')",0.7307341,0.7883084,0.0575743
68,-0.7625725,-0.7403293,"('dependent', 'independent')",-0.7625725,-0.7403293,0.0222432
69,-1.0504847,-1.0776882,"('lazy', 'industrious')",-1.0504847,-1.0776882,-0.0272035
70,0.52197504,0.5451883,"('lethargic', 'energetic')",0.521975,0.5451883,0.0232133
71,0.48371926,0.48444483,"('diffident', 'self-confident')",0.4837193,0.4844448,0.0007255
