,fedora_male,fedora_female,tuple,average_male,average_female,female-male
0,-0.15841462,-0.27403408,"('unsociable', 'sociable')",-0.1584146,-0.2740341,-0.1156195
1,-0.2289946,-0.64552605,"('unfriendly', 'friendly')",-0.2289946,-0.6455261,-0.4165315
2,0.7214833,0.670406,"('unlikable', 'likable')",0.7214833,0.670406,-0.0510773
3,-0.14794537,-0.091272704,"('repellent', 'pleasant')",-0.1479454,-0.0912727,0.0566727
4,-2.8397367,-2.8465624,"('disliked', 'liked')",-2.8397367,-2.8465624,-0.0068257
5,-0.84603024,-1.0661018,"('distant', 'outgoing')",-0.8460302,-1.0661018,-0.2200716
6,-1.1608903,-1.4766916,"('distant', 'open')",-1.1608903,-1.4766916,-0.3158013
7,-0.33205572,-0.31669268,"('insensitive', 'sensitive')",-0.3320557,-0.3166927,0.015363
8,-0.13011795,-0.38265714,"('unaffectionate', 'affectionate')",-0.130118,-0.3826571,-0.2525391
9,-0.17697768,-0.3503044,"('unaffectionate', 'caring')",-0.1769777,-0.3503044,-0.1733267
10,-0.5147646,-0.3626456,"('unsympathetic', 'sympathetic')",-0.5147646,-0.3626456,0.152119
11,1.111143,1.1954526,"('unhelpful', 'helpful')",1.111143,1.1954526,0.0843096
12,-0.8922092,-0.8847995,"('unsupportive', 'supportive')",-0.8922092,-0.8847995,0.0074097
13,-0.3262452,-0.3227169,"('impolite', 'polite')",-0.3262452,-0.3227169,0.0035283
14,0.2680854,0.30941072,"('antisocial', 'social')",0.2680854,0.3094107,0.0413253
15,0.26113665,0.13041195,"('boring', 'funny')",0.2611367,0.130412,-0.1307247
16,-0.23677996,-0.3836682,"('unpopular', 'popular')",-0.23678,-0.3836682,-0.1468882
17,-0.6737307,-0.56931007,"('nasty', 'nice')",-0.6737307,-0.5693101,0.1044206
18,-0.7478101,-0.75084805,"('disagreeable', 'welcoming')",-0.7478101,-0.7508481,-0.003038
19,-1.1372793,-1.2319297,"('inhospitable', 'hospitable')",-1.1372793,-1.2319297,-0.0946504
20,0.1739,0.16291757,"('rough', 'thoughtful')",0.1739,0.1629176,-0.0109824
21,0.042025432,0.19655912,"('immoral', 'moral')",0.0420254,0.1965591,0.1545337
22,-0.18314189,-0.16625783,"('untrustworthy', 'trustworthy')",-0.1831419,-0.1662578,0.0168841
23,2.810533,2.7889397,"('insincere', 'sincere')",2.810533,2.7889397,-0.0215933
24,-0.030203577,-0.13807976,"('dishonest', 'honest')",-0.0302036,-0.1380798,-0.1078762
25,-0.086176656,-0.38929477,"('egoistic', 'altruistic')",-0.0861767,-0.3892948,-0.3031181
26,0.42998922,0.103119865,"('hardhearted', 'benevolent')",0.4299892,0.1031199,-0.3268693
27,0.019452184,-0.11572029,"('hardhearted', 'softhearted')",0.0194522,-0.1157203,-0.1351725
28,0.24541683,0.12386575,"('disloyal', 'loyal')",0.2454168,0.1238658,-0.121551
29,-0.8940177,-0.8628492,"('unfair', 'fair')",-0.8940177,-0.8628492,0.0311685
30,0.77649397,0.83084184,"('intolerant', 'tolerant')",0.776494,0.8308418,0.0543478
31,-1.7514877,-1.8612605,"('evil', 'good')",-1.7514877,-1.8612605,-0.1097728
32,0.68002903,0.5626713,"('unkind', 'kind')",0.680029,0.5626713,-0.1173577
33,0.16006151,-0.047570847,"('wrong', 'right')",0.1600615,-0.0475708,-0.2076323
34,1.7915133,1.8298439,"('mean', 'honorable')",1.7915133,1.8298439,0.0383306
35,-0.7368929,-0.90808743,"('corrupt', 'incorrupt')",-0.7368929,-0.9080874,-0.1711945
36,-1.0767432,-1.3447201,"('hostile', 'amicable')",-1.0767432,-1.3447201,-0.2679769
37,-0.28378302,-0.363527,"('fake', 'genuine')",-0.283783,-0.363527,-0.079744
38,0.106374346,0.10130985,"('untruthful', 'truthful')",0.1063743,0.1013099,-0.0050644
39,0.48909554,0.4956735,"('exploitative', 'cooperative')",0.4890955,0.4956735,0.006578
40,-1.3470342,-1.4607631,"('stingy', 'generous')",-1.3470342,-1.4607631,-0.1137289
41,0.65568507,0.67229813,"('unforgiving', 'forgiving')",0.6556851,0.6722981,0.016613
42,-1.4900786,-1.3275161,"('unreliable', 'reliable')",-1.4900786,-1.3275161,0.1625625
43,0.24569465,0.17834333,"('irresponsible', 'responsible')",0.2456947,0.1783433,-0.0673514
44,-0.74191874,-0.75299305,"('prejudiced', 'unprejudiced')",-0.7419187,-0.752993,-0.0110743
45,-0.25935155,-0.20038931,"('incompetent', 'competent')",-0.2593516,-0.2003893,0.0589623
46,-0.18892875,-0.15643279,"('uncompetitive', 'competitive')",-0.1889288,-0.1564328,0.032496
47,2.2568421,2.2462816,"('stupid', 'smart')",2.2568421,2.2462816,-0.0105605
48,0.14748111,0.27838752,"('unintelligent', 'intelligent')",0.1474811,0.2783875,0.1309064
49,0.1380147,0.36643404,"('unable', 'able')",0.1380147,0.366434,0.2284193
50,-0.17738894,-0.17490932,"('clumsy', 'skillful')",-0.1773889,-0.1749093,0.0024796
51,-0.4326387,-0.3160552,"('uneducated', 'educated')",-0.4326387,-0.3160552,0.1165835
52,-0.8631481,-1.1672895,"('irrational', 'rational')",-0.8631481,-1.1672895,-0.3041414
53,-0.967753,-1.0721121,"('uncreative', 'creative')",-0.967753,-1.0721121,-0.1043591
54,0.0698961,-0.061133146,"('incapable', 'capable')",0.0698961,-0.0611331,-0.1310292
55,0.43898955,0.63482344,"('incompetent', 'clever')",0.4389895,0.6348234,0.1958339
56,0.920437,1.0094739,"('impractical', 'practical')",0.920437,1.0094739,0.0890369
57,-1.5943611,-1.6028545,"('unimaginative', 'imaginative')",-1.5943611,-1.6028545,-0.0084934
58,0.033185,0.032914214,"('undiscriminating', 'discriminating')",0.033185,0.0329142,-0.0002708
59,0.017405061,-0.06674708,"('foolish', 'wise')",0.0174051,-0.0667471,-0.0841522
60,0.73373705,1.0235316,"('inefficient', 'efficient')",0.7337371,1.0235316,0.2897945
61,-0.50641364,-0.69259626,"('illogical', 'logical')",-0.5064136,-0.6925963,-0.1861827
62,0.63489693,0.88169104,"('incompetent', 'brilliant')",0.6348969,0.881691,0.2467941
63,0.18836227,0.24556388,"('unperceptive', 'insightful')",0.1883623,0.2455639,0.0572016
64,-2.70762,-2.671272,"('shy', 'confident')",-2.7076199,-2.671272,0.0363479
65,0.263099,0.44481102,"('insecure', 'secure')",0.263099,0.444811,0.181712
66,-1.2027371,-1.3990452,"('inactive', 'active')",-1.2027371,-1.3990452,-0.1963081
67,0.48429322,0.59439486,"('doubtful', 'determined')",0.4842932,0.5943949,0.1101017
68,-0.6273293,-0.5267987,"('dependent', 'independent')",-0.6273293,-0.5267987,0.1005306
69,-0.7577233,-0.9935671,"('lazy', 'industrious')",-0.7577233,-0.9935671,-0.2358438
70,-0.10925802,-0.04852302,"('lethargic', 'energetic')",-0.109258,-0.048523,0.060735
71,-0.005730739,-0.13453585,"('diffident', 'self-confident')",-0.0057307,-0.1345358,-0.1288051
