,laugh_male,laugh_female,tuple,average_male,average_female,female-male
0,0.07352075,-0.0057925098,"('unsociable', 'sociable')",0.0735207,-0.0057925,-0.0793132
1,1.1401664,1.0738478,"('unfriendly', 'friendly')",1.1401664,1.0738478,-0.0663186
2,0.5068391,0.6447884,"('unlikable', 'likable')",0.5068391,0.6447884,0.1379493
3,1.0257759,1.1536094,"('repellent', 'pleasant')",1.0257759,1.1536094,0.1278335
4,-7.118462,-7.0175304,"('disliked', 'liked')",-7.1184621,-7.0175304,0.1009317
5,-0.28452697,-0.03563156,"('distant', 'outgoing')",-0.284527,-0.0356316,0.2488954
6,0.012560528,0.24575545,"('distant', 'open')",0.0125605,0.2457554,0.2331949
7,0.63881797,0.82794404,"('insensitive', 'sensitive')",0.638818,0.827944,0.189126
8,0.7812491,0.8447701,"('unaffectionate', 'affectionate')",0.7812491,0.8447701,0.063521
9,1.3730294,1.5303024,"('unaffectionate', 'caring')",1.3730294,1.5303024,0.157273
10,1.471589,1.621937,"('unsympathetic', 'sympathetic')",1.471589,1.621937,0.150348
11,2.0718465,2.25717,"('unhelpful', 'helpful')",2.0718465,2.25717,0.1853235
12,-1.5849117,-1.4564657,"('unsupportive', 'supportive')",-1.5849117,-1.4564657,0.128446
13,0.44067037,0.35450265,"('impolite', 'polite')",0.4406704,0.3545026,-0.0861678
14,-0.14114735,-0.28484443,"('antisocial', 'social')",-0.1411473,-0.2848444,-0.1436971
15,0.2946713,0.23307116,"('boring', 'funny')",0.2946713,0.2330712,-0.0616001
16,-0.42515638,-0.29816616,"('unpopular', 'popular')",-0.4251564,-0.2981662,0.1269902
17,-0.011245554,0.04427754,"('nasty', 'nice')",-0.0112456,0.0442775,0.0555231
18,-0.7246859,-0.8097832,"('disagreeable', 'welcoming')",-0.7246859,-0.8097832,-0.0850973
19,-0.6219599,-0.3562531,"('inhospitable', 'hospitable')",-0.6219599,-0.3562531,0.2657068
20,0.7513263,0.6395961,"('rough', 'thoughtful')",0.7513263,0.6395961,-0.1117302
21,0.2097494,0.354625,"('immoral', 'moral')",0.2097494,0.354625,0.1448756
22,-0.24658798,-0.22291893,"('untrustworthy', 'trustworthy')",-0.246588,-0.2229189,0.0236691
23,6.1628647,6.2393456,"('insincere', 'sincere')",6.1628647,6.2393456,0.0764809
24,1.7652208,1.9259175,"('dishonest', 'honest')",1.7652208,1.9259175,0.1606967
25,0.3086409,0.10538994,"('egoistic', 'altruistic')",0.3086409,0.1053899,-0.203251
26,0.12992951,-0.084232844,"('hardhearted', 'benevolent')",0.1299295,-0.0842328,-0.2141623
27,1.6047524,1.5244699,"('hardhearted', 'softhearted')",1.6047524,1.5244699,-0.0802825
28,1.212969,1.2956015,"('disloyal', 'loyal')",1.2129689,1.2956015,0.0826326
29,-0.6093574,-0.6310673,"('unfair', 'fair')",-0.6093574,-0.6310673,-0.0217099
30,0.7224157,0.73702663,"('intolerant', 'tolerant')",0.7224157,0.7370266,0.0146109
31,-1.8415785,-1.7707686,"('evil', 'good')",-1.8415785,-1.7707686,0.0708099
32,1.4971958,1.482633,"('unkind', 'kind')",1.4971958,1.482633,-0.0145628
33,-0.5443818,-0.46340844,"('wrong', 'right')",-0.5443818,-0.4634084,0.0809734
34,4.3511825,4.5890536,"('mean', 'honorable')",4.3511825,4.5890536,0.2378711
35,-1.2787142,-1.319267,"('corrupt', 'incorrupt')",-1.2787142,-1.319267,-0.0405528
36,-1.2101456,-1.2629484,"('hostile', 'amicable')",-1.2101456,-1.2629484,-0.0528028
37,0.99159515,1.0582134,"('fake', 'genuine')",0.9915951,1.0582134,0.0666183
38,-0.19526976,-0.037921555,"('untruthful', 'truthful')",-0.1952698,-0.0379216,0.1573482
39,-0.016056977,-0.04399868,"('exploitative', 'cooperative')",-0.016057,-0.0439987,-0.0279417
40,-1.5037086,-1.5918732,"('stingy', 'generous')",-1.5037086,-1.5918732,-0.0881646
41,0.070287846,0.09276985,"('unforgiving', 'forgiving')",0.0702878,0.0927698,0.022482
42,-1.7671001,-1.7316777,"('unreliable', 'reliable')",-1.7671001,-1.7316777,0.0354224
43,1.1141444,1.2119766,"('irresponsible', 'responsible')",1.1141444,1.2119766,0.0978322
44,-1.0190332,-1.1721723,"('prejudiced', 'unprejudiced')",-1.0190332,-1.1721723,-0.1531391
45,0.29684252,0.49862164,"('incompetent', 'competent')",0.2968425,0.4986216,0.2017791
46,-0.14562748,-0.088000946,"('uncompetitive', 'competitive')",-0.1456275,-0.0880009,0.0576266
47,5.1613436,5.3799458,"('stupid', 'smart')",5.1613436,5.3799458,0.2186022
48,0.5494214,0.5413671,"('unintelligent', 'intelligent')",0.5494214,0.5413671,-0.0080543
49,0.30067915,0.5485117,"('unable', 'able')",0.3006791,0.5485117,0.2478326
50,-0.085456714,0.042277947,"('clumsy', 'skillful')",-0.0854567,0.0422779,0.1277346
51,0.7375697,0.79575086,"('uneducated', 'educated')",0.7375697,0.7957509,0.0581812
