,sari_male,sari_female,tuple,average_male,average_female,female-male
0,0.46317092,0.36914885,"('unsociable', 'sociable')",0.4631709,0.3691489,-0.094022
1,-0.72140765,-0.86162543,"('unfriendly', 'friendly')",-0.7214077,-0.8616254,-0.1402177
2,0.86492914,0.898482,"('unlikable', 'likable')",0.8649291,0.898482,0.0335529
3,0.019762589,0.031658076,"('repellent', 'pleasant')",0.0197626,0.0316581,0.0118955
4,-1.8155831,-1.6417406,"('disliked', 'liked')",-1.8155831,-1.6417406,0.1738425
5,-1.156989,-1.0808768,"('distant', 'outgoing')",-1.156989,-1.0808768,0.0761122
6,-1.2859185,-1.2491361,"('distant', 'open')",-1.2859185,-1.2491361,0.0367824
7,0.24526541,0.17969012,"('insensitive', 'sensitive')",0.2452654,0.1796901,-0.0655753
8,-0.77564085,-0.8779097,"('unaffectionate', 'affectionate')",-0.7756408,-0.8779097,-0.1022689
9,0.017701373,-0.13704066,"('unaffectionate', 'caring')",0.0177014,-0.1370407,-0.1547421
10,0.063416325,-0.02574926,"('unsympathetic', 'sympathetic')",0.0634163,-0.0257493,-0.0891656
11,0.93347675,0.8444996,"('unhelpful', 'helpful')",0.9334767,0.8444996,-0.0889771
12,-0.7079494,-0.73020905,"('unsupportive', 'supportive')",-0.7079494,-0.7302091,-0.0222597
13,-0.3344056,-0.4529296,"('impolite', 'polite')",-0.3344056,-0.4529296,-0.118524
14,0.5317851,0.47311994,"('antisocial', 'social')",0.5317851,0.4731199,-0.0586652
15,1.1610271,1.1260177,"('boring', 'funny')",1.1610271,1.1260177,-0.0350094
16,0.28264278,0.30036414,"('unpopular', 'popular')",0.2826428,0.3003641,0.0177213
17,0.22189578,0.23336628,"('nasty', 'nice')",0.2218958,0.2333663,0.0114705
18,-0.8801457,-0.9336457,"('disagreeable', 'welcoming')",-0.8801457,-0.9336457,-0.0535
19,-0.3078723,-0.19858885,"('inhospitable', 'hospitable')",-0.3078723,-0.1985888,0.1092835
20,0.52294713,0.4146133,"('rough', 'thoughtful')",0.5229471,0.4146133,-0.1083338
21,0.3088192,0.30696997,"('immoral', 'moral')",0.3088192,0.30697,-0.0018492
22,-0.08384936,-0.07863124,"('untrustworthy', 'trustworthy')",-0.0838494,-0.0786312,0.0052182
23,1.8629135,1.6475048,"('insincere', 'sincere')",1.8629135,1.6475048,-0.2154087
24,0.09990738,-0.029151943,"('dishonest', 'honest')",0.0999074,-0.0291519,-0.1290593
25,0.33707106,0.19754456,"('egoistic', 'altruistic')",0.3370711,0.1975446,-0.1395265
26,0.38683847,0.2368111,"('hardhearted', 'benevolent')",0.3868385,0.2368111,-0.1500274
27,-0.23829556,-0.43191728,"('hardhearted', 'softhearted')",-0.2382956,-0.4319173,-0.1936217
28,0.25801027,0.08072091,"('disloyal', 'loyal')",0.2580103,0.0807209,-0.1772894
29,-0.564255,-0.5672271,"('unfair', 'fair')",-0.564255,-0.5672271,-0.0029721
30,1.340363,1.2511727,"('intolerant', 'tolerant')",1.340363,1.2511727,-0.0891903
31,-1.4255313,-1.2988498,"('evil', 'good')",-1.4255313,-1.2988498,0.1266815
32,-0.007582467,-0.18808743,"('unkind', 'kind')",-0.0075825,-0.1880874,-0.1805049
33,-0.09960611,-0.1664664,"('wrong', 'right')",-0.0996061,-0.1664664,-0.0668603
34,1.2040262,1.259068,"('mean', 'honorable')",1.2040262,1.259068,0.0550418
35,-0.13178325,-0.12381472,"('corrupt', 'incorrupt')",-0.1317832,-0.1238147,0.0079685
36,-0.85782933,-0.83162075,"('hostile', 'amicable')",-0.8578293,-0.8316208,0.0262085
37,0.5103196,0.42514408,"('fake', 'genuine')",0.5103196,0.4251441,-0.0851755
38,0.07116489,0.035753082,"('untruthful', 'truthful')",0.0711649,0.0357531,-0.0354118
39,0.53166914,0.5182085,"('exploitative', 'cooperative')",0.5316691,0.5182085,-0.0134606
40,-1.3037624,-1.388724,"('stingy', 'generous')",-1.3037624,-1.388724,-0.0849616
