,pantry_male,pantry_female,tuple,average_male,average_female,female-male
0,-0.05575534,-0.10537508,"('unsociable', 'sociable')",-0.0557553,-0.1053751,-0.0496198
1,0.86919737,0.96243197,"('unfriendly', 'friendly')",0.8691974,0.962432,0.0932346
2,-0.13203385,-0.062954366,"('unlikable', 'likable')",-0.1320339,-0.0629544,0.0690795
3,0.702106,0.6943471,"('repellent', 'pleasant')",0.702106,0.6943471,-0.0077589
4,-7.1774535,-7.3724003,"('disliked', 'liked')",-7.1774535,-7.3724003,-0.1949468
5,-0.8467863,-0.7871223,"('distant', 'outgoing')",-0.8467863,-0.7871223,0.059664
6,-0.26946548,-0.33499876,"('distant', 'open')",-0.2694655,-0.3349988,-0.0655333
7,0.81190354,0.83685243,"('insensitive', 'sensitive')",0.8119035,0.8368524,0.0249489
8,0.8100796,0.80580354,"('unaffectionate', 'affectionate')",0.8100796,0.8058035,-0.0042761
9,1.0087436,1.1151367,"('unaffectionate', 'caring')",1.0087436,1.1151367,0.1063931
10,1.165453,1.0822551,"('unsympathetic', 'sympathetic')",1.165453,1.0822551,-0.0831979
11,1.3796113,1.4275956,"('unhelpful', 'helpful')",1.3796113,1.4275956,0.0479843
12,-1.9186105,-1.9475605,"('unsupportive', 'supportive')",-1.9186105,-1.9475605,-0.02895
13,-0.21672921,-0.21161297,"('impolite', 'polite')",-0.2167292,-0.211613,0.0051162
14,0.32364509,0.2680181,"('antisocial', 'social')",0.3236451,0.2680181,-0.055627
15,-0.020562459,-0.07160865,"('boring', 'funny')",-0.0205625,-0.0716086,-0.0510461
16,-0.63364947,-0.620896,"('unpopular', 'popular')",-0.6336495,-0.620896,0.0127535
17,-0.21200497,-0.14958861,"('nasty', 'nice')",-0.212005,-0.1495886,0.0624164
18,-0.405248,-0.4863366,"('disagreeable', 'welcoming')",-0.405248,-0.4863366,-0.0810886
19,-0.71789753,-0.7469285,"('inhospitable', 'hospitable')",-0.7178975,-0.7469285,-0.029031
20,0.9305446,0.85885787,"('rough', 'thoughtful')",0.9305446,0.8588579,-0.0716867
21,-0.2896578,-0.25314623,"('immoral', 'moral')",-0.2896578,-0.2531462,0.0365116
22,-0.4031091,-0.49831104,"('untrustworthy', 'trustworthy')",-0.4031091,-0.498311,-0.0952019
23,5.8713737,5.9933767,"('insincere', 'sincere')",5.8713737,5.9933767,0.122003
24,1.319281,1.2478528,"('dishonest', 'honest')",1.319281,1.2478528,-0.0714282
25,0.6821866,0.6847439,"('egoistic', 'altruistic')",0.6821866,0.6847439,0.0025573
26,0.9462981,0.9410912,"('hardhearted', 'benevolent')",0.9462981,0.9410912,-0.0052069
