,paycom_male,paycom_female,tuple,software_male,software_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.7440886,-0.914233,"('unsociable', 'sociable')",-0.5258529,-0.6215173,-0.57460755,-0.7214208,-0.6148497,-0.7523904,-0.1375407
1,-1.2154675,-1.3754069,"('unfriendly', 'friendly')",1.1721438,1.0201653,1.761106,1.5572429,0.5725941,0.4006671,-0.171927
2,0.55839765,0.5119644,"('unlikable', 'likable')",0.72385925,0.80477333,0.9086266,0.965986,0.7302945,0.7609079,0.0306134
3,-0.103220075,-0.030915506,"('repellent', 'pleasant')",-0.633173,-0.54526454,-0.22477518,-0.16367069,-0.3203894,-0.2466169,0.0737725
4,-0.14070113,-0.2026025,"('disliked', 'liked')",-0.38159108,-0.44267663,-5.2171974,-5.322102,-1.9131632,-1.9891272,-0.075964
5,-0.67909825,-0.60549974,"('distant', 'outgoing')",0.46498302,0.42208782,-0.013883337,0.0048802085,-0.0759995,-0.0595106,0.0164889
6,-1.0225651,-0.94624424,"('distant', 'open')",0.14171739,0.1077242,0.4738591,0.46633318,-0.1356629,-0.1240623,0.0116006
7,-0.5854916,-0.6276143,"('insensitive', 'sensitive')",-0.540752,-0.4907043,0.26058945,0.33707076,-0.2885514,-0.2604159,0.0281355
8,-1.447731,-1.528628,"('unaffectionate', 'affectionate')",0.57391506,0.52826333,0.5240993,0.47188622,-0.1165722,-0.1761595,-0.0595873
9,-1.0188754,-1.1194773,"('unaffectionate', 'caring')",0.8439723,0.80722314,0.91600066,0.8734964,0.2470325,0.1870808,-0.0599517
10,-1.0329381,-1.1402304,"('unsympathetic', 'sympathetic')",-1.7494206,-1.7062494,-0.49241585,-0.5268798,-1.0915915,-1.1244532,-0.0328617
11,-0.2450144,-0.26760882,"('unhelpful', 'helpful')",0.8197483,0.8759774,1.6257874,1.5910469,0.7335071,0.7331385,-0.0003686
12,-0.38765037,-0.37548795,"('unsupportive', 'supportive')",-0.3375187,-0.20974723,-1.7735803,-1.7332752,-0.8329164,-0.7728368,0.0600796
13,-0.15833189,-0.19646117,"('impolite', 'polite')",-0.5190556,-0.48628947,-0.3533817,-0.3629854,-0.3435897,-0.3485787,-0.004989
14,0.6840623,0.62661296,"('antisocial', 'social')",-0.2797742,-0.21657766,-0.51944107,-0.556841,-0.0383843,-0.0489352,-0.0105509
15,-0.30104372,-0.3731561,"('boring', 'funny')",0.5706489,0.5275353,0.5604371,0.46492365,0.2766807,0.2064343,-0.0702464
16,-0.44671887,-0.390248,"('unpopular', 'popular')",0.2447856,0.23282427,0.71637565,0.6767422,0.1714808,0.1731062,0.0016254
17,0.13676286,0.19573426,"('nasty', 'nice')",-0.22097902,-0.14156188,-0.46706343,-0.44854292,-0.1837599,-0.1314569,0.052303
18,-0.9874948,-1.0089246,"('disagreeable', 'welcoming')",-0.20070639,-0.17447704,-0.31270206,-0.32999063,-0.5003011,-0.5044641,-0.004163
