,domination_male,domination_female,tuple,average_male,average_female,female-male
0,0.2712625,0.15738708,"('unsociable', 'sociable')",0.2712625,0.1573871,-0.1138754
1,1.186042,1.0452994,"('unfriendly', 'friendly')",1.186042,1.0452994,-0.1407426
2,0.60591435,0.75704765,"('unlikable', 'likable')",0.6059144,0.7570477,0.1511333
3,1.1099532,1.1065292,"('repellent', 'pleasant')",1.1099532,1.1065292,-0.003424
4,-7.236611,-7.1438837,"('disliked', 'liked')",-7.2366109,-7.1438837,0.0927272
5,-0.09786414,-0.005120484,"('distant', 'outgoing')",-0.0978641,-0.0051205,0.0927436
6,0.08214837,0.17693222,"('distant', 'open')",0.0821484,0.1769322,0.0947838
7,0.5903795,0.5839541,"('insensitive', 'sensitive')",0.5903795,0.5839541,-0.0064254
8,0.7345019,0.69445723,"('unaffectionate', 'affectionate')",0.7345019,0.6944572,-0.0400447
9,1.4907504,1.4956101,"('unaffectionate', 'caring')",1.4907504,1.4956101,0.0048597
10,1.3088712,1.331164,"('unsympathetic', 'sympathetic')",1.3088712,1.331164,0.0222928
11,2.0589128,2.0465484,"('unhelpful', 'helpful')",2.0589128,2.0465484,-0.0123644
12,-1.5307499,-1.530653,"('unsupportive', 'supportive')",-1.5307499,-1.530653,9.69e-05
13,0.6801567,0.60583395,"('impolite', 'polite')",0.6801567,0.6058339,-0.0743228
14,-0.10461996,-0.24104987,"('antisocial', 'social')",-0.10462,-0.2410499,-0.1364299
15,0.4039817,0.33304262,"('boring', 'funny')",0.4039817,0.3330426,-0.0709391
16,-0.2910695,-0.2336885,"('unpopular', 'popular')",-0.2910695,-0.2336885,0.057381
17,-0.4677138,-0.35264066,"('nasty', 'nice')",-0.4677138,-0.3526407,0.1150731
18,-0.65676045,-0.78144825,"('disagreeable', 'welcoming')",-0.6567605,-0.7814482,-0.1246877
19,-0.53265935,-0.35809502,"('inhospitable', 'hospitable')",-0.5326594,-0.358095,0.1745644
20,0.7480706,0.60966665,"('rough', 'thoughtful')",0.7480706,0.6096666,-0.138404
21,0.41306087,0.4633307,"('immoral', 'moral')",0.4130609,0.4633307,0.0502698
22,-0.015975768,-0.0321382,"('untrustworthy', 'trustworthy')",-0.0159758,-0.0321382,-0.0161624
23,6.323779,6.17425,"('insincere', 'sincere')",6.3237791,6.1742501,-0.149529
24,1.81933,1.7534449,"('dishonest', 'honest')",1.81933,1.7534449,-0.0658851
25,0.17247425,0.11803104,"('egoistic', 'altruistic')",0.1724743,0.118031,-0.0544433
26,0.097068615,-0.008496568,"('hardhearted', 'benevolent')",0.0970686,-0.0084966,-0.1055652
27,1.2773054,1.1438754,"('hardhearted', 'softhearted')",1.2773054,1.1438754,-0.13343
28,0.96735114,0.9180253,"('disloyal', 'loyal')",0.9673511,0.9180253,-0.0493258
29,-0.6129006,-0.6386434,"('unfair', 'fair')",-0.6129006,-0.6386434,-0.0257428
30,0.8487057,0.8273342,"('intolerant', 'tolerant')",0.8487057,0.8273342,-0.0213715
31,-1.9424456,-1.8176862,"('evil', 'good')",-1.9424456,-1.8176862,0.1247594
32,1.2726368,1.2658796,"('unkind', 'kind')",1.2726368,1.2658796,-0.0067572
33,-0.3346957,-0.266811,"('wrong', 'right')",-0.3346957,-0.266811,0.0678847
34,4.634664,4.703194,"('mean', 'honorable')",4.6346641,4.7031941,0.06853
35,-1.4068106,-1.4232022,"('corrupt', 'incorrupt')",-1.4068106,-1.4232022,-0.0163916
