,aes_male,aes_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.63694006,-0.9194687,"('unsociable', 'sociable')",-0.12463577,-0.37955302,-0.3807879,-0.6495109,-0.268723
1,-1.931535,-1.8598413,"('unfriendly', 'friendly')",0.9677199,0.95426357,-0.4819075,-0.4527889,0.0291186
2,0.7222053,0.5425156,"('unlikable', 'likable')",0.7149513,0.6230348,0.7185783,0.5827752,-0.1358031
3,0.27453932,0.37114096,"('repellent', 'pleasant')",1.2030674,1.0836853,0.7388034,0.7274131,-0.0113903
4,-0.66398185,-0.5484644,"('disliked', 'liked')",-7.0795703,-6.9593744,-3.8717761,-3.7539194,0.1178567
5,-1.9993001,-1.8708601,"('distant', 'outgoing')",-1.086897,-0.7844361,-1.5430986,-1.3276482,0.2154504
6,-2.2000878,-2.0068424,"('distant', 'open')",-1.1036887,-0.8074035,-1.6518883,-1.407123,0.2447653
7,0.29005024,0.3681775,"('insensitive', 'sensitive')",0.43861666,0.5427477,0.3643335,0.4554626,0.0911291
8,-1.3634008,-1.3461003,"('unaffectionate', 'affectionate')",0.23010893,0.29141632,-0.5666459,-0.527342,0.0393039
9,-1.2409586,-1.0921205,"('unaffectionate', 'caring')",0.9070778,1.0940939,-0.1669404,0.0009867,0.1679271
10,-0.30457228,-0.4522305,"('unsympathetic', 'sympathetic')",-0.10470579,-0.18942915,-0.204639,-0.3208298,-0.1161908
11,0.46023634,0.33813924,"('unhelpful', 'helpful')",2.248815,2.3297877,1.3545257,1.3339635,-0.0205622
12,-0.3249046,-0.21296567,"('unsupportive', 'supportive')",-2.167889,-2.074383,-1.2463969,-1.1436744,0.1027225
13,0.101822026,-0.14714518,"('impolite', 'polite')",-0.34076965,-0.44639748,-0.1194738,-0.2967713,-0.1772975
14,0.5614206,0.3503366,"('antisocial', 'social')",0.2351757,-0.12743367,0.3982981,0.1114515,-0.2868466
15,-0.19379078,-0.32345462,"('boring', 'funny')",-0.28049082,-0.2712661,-0.2371408,-0.2973604,-0.0602196
