,cimarex_male,cimarex_female,tuple,energy_male,energy_female,co_male,co_female,average_male,average_female,female-male
0,-0.94941515,-1.0104208,"('unsociable', 'sociable')",0.5312695,0.36332396,-0.3583807,-0.4780905,-0.2588421,-0.3750625,-0.1162204
1,-1.8800344,-2.0061731,"('unfriendly', 'friendly')",0.61346966,0.35792345,0.95639986,0.88049406,-0.1033883,-0.2559185,-0.1525302
2,1.6211703,1.6489666,"('unlikable', 'likable')",1.5850399,1.5243305,1.0269133,1.1851065,1.4110411,1.4528011,0.04176
3,-0.059866603,0.0025465088,"('repellent', 'pleasant')",-0.030887738,-0.06851961,0.736997,0.7085872,0.2154142,0.2142047,-0.0012095
4,-0.29213652,-0.3758847,"('disliked', 'liked')",0.39940205,0.30293673,-6.9764876,-6.943098,-2.2897407,-2.338682,-0.0489413
5,-1.3644319,-1.3260034,"('distant', 'outgoing')",0.07855572,0.09096679,-1.1213547,-0.94701505,-0.8024103,-0.7273506,0.0750597
6,-1.9143975,-1.8879935,"('distant', 'open')",-0.5647856,-0.6281258,-0.89658636,-0.7618197,-1.1252565,-1.0926463,0.0326102
7,0.07675449,0.1301521,"('insensitive', 'sensitive')",0.9183329,0.94782335,-0.048986148,-0.049891263,0.3153671,0.3426948,0.0273277
8,-1.5499535,-1.652488,"('unaffectionate', 'affectionate')",-0.34934625,-0.4720091,0.37748304,0.3764342,-0.5072722,-0.5826877,-0.0754155
9,-1.2531651,-1.3426385,"('unaffectionate', 'caring')",0.7402957,0.6392498,0.8498552,0.8371035,0.1123286,0.0445716,-0.067757
10,-0.36351386,-0.4368104,"('unsympathetic', 'sympathetic')",-0.20166682,-0.2648333,-0.25206617,-0.30161476,-0.2724156,-0.3344195,-0.0620039
11,0.2950951,0.35267225,"('unhelpful', 'helpful')",0.7438599,0.79306567,2.034243,2.0922167,1.0243994,1.0793182,0.0549188
12,-0.18137196,-0.11552828,"('unsupportive', 'supportive')",1.11185,1.1462586,-2.1808305,-2.0489316,-0.4167841,-0.3394004,0.0773837
13,-0.16317742,-0.12969498,"('impolite', 'polite')",0.2324086,0.3136712,-0.26859793,-0.24591337,-0.0664556,-0.0206457,0.0458099
14,0.5900036,0.63383645,"('antisocial', 'social')",1.3184468,1.2780879,0.09363614,-0.04225745,0.6673621,0.6232223,-0.0441398
15,0.40320632,0.28245682,"('boring', 'funny')",0.19570374,0.13695616,0.5583995,0.58283883,0.3857698,0.334084,-0.0516858
16,-0.3672072,-0.44810545,"('unpopular', 'popular')",-0.39517188,-0.55533326,0.057632864,-0.022293411,-0.2349154,-0.3419107,-0.1069953
17,-0.33706564,-0.27553108,"('nasty', 'nice')",-1.1146002,-1.0213856,-0.15226024,-0.16968524,-0.5346421,-0.4888673,0.0457748
18,-0.36786327,-0.30690065,"('disagreeable', 'welcoming')",-0.7738154,-0.8033564,-0.85384077,-0.8027598,-0.6651731,-0.6376723,0.0275008
19,-1.1721689,-1.1987851,"('inhospitable', 'hospitable')",-1.0339015,-1.079179,-0.6944145,-0.55474627,-0.9668283,-0.9442368,0.0225915
20,-0.25533056,-0.24026889,"('rough', 'thoughtful')",-0.3150529,-0.26313478,0.37303102,0.27162632,-0.0657841,-0.0772591,-0.011475
21,1.1385889,1.0555935,"('immoral', 'moral')",1.5974088,1.4912001,-0.3644899,-0.3404234,0.7905025,0.7354567,-0.0550458
22,0.65295285,0.6458788,"('untrustworthy', 'trustworthy')",-0.38235044,-0.5288075,-0.21857952,-0.24371165,0.017341,-0.0422135,-0.0595545
23,-0.44701293,-0.5242645,"('insincere', 'sincere')",0.28312945,0.18971182,5.802357,5.6966276,1.8794912,1.7873583,-0.0921329
24,-0.15622956,-0.17755665,"('dishonest', 'honest')",0.66832894,0.6734768,0.619683,0.6006819,0.3772608,0.365534,-0.0117268
25,-0.5002997,-0.62114894,"('egoistic', 'altruistic')",0.7779036,0.6212812,1.5802203,1.4207271,0.6192748,0.4736198,-0.145655
26,-0.36888656,-0.4630103,"('hardhearted', 'benevolent')",0.65285045,0.540744,1.5192579,1.3863776,0.6010739,0.4880371,-0.1130368
27,-0.8126349,-0.8278408,"('hardhearted', 'softhearted')",-0.06671513,0.008039143,0.80767417,0.7227707,-0.0238919,-0.0323437,-0.0084518
28,-0.30549464,-0.4438681,"('disloyal', 'loyal')",0.23029046,0.019011267,1.0997134,0.8864742,0.3415031,0.1538725,-0.1876306
29,-0.26499382,-0.29691616,"('unfair', 'fair')",-0.7040237,-0.7495103,-0.6223674,-0.78949934,-0.5304616,-0.6119753,-0.0815137
30,0.86378837,0.8956793,"('intolerant', 'tolerant')",1.3921242,1.378781,0.6353799,0.79974544,0.9637642,1.0247353,0.0609711
31,-1.7232575,-1.628121,"('evil', 'good')",-1.5734187,-1.6208295,-1.4608794,-1.426956,-1.5858518,-1.5586356,0.0272162
32,0.22784413,0.113883846,"('unkind', 'kind')",0.4728928,0.43029076,1.2442118,1.1195766,0.6483162,0.5545837,-0.0937325
33,0.08556029,0.010774417,"('wrong', 'right')",1.2604492,1.186412,-0.58083296,-0.6862866,0.2550588,0.1702999,-0.0847589
34,-0.25369772,-0.15046598,"('mean', 'honorable')",0.34522635,0.3668605,5.107899,5.310368,1.7331425,1.8422542,0.1091117
35,-0.54927295,-0.67865676,"('corrupt', 'incorrupt')",-1.0462345,-1.1169393,-0.59805834,-0.73421216,-0.7311886,-0.8432694,-0.1120808
36,-1.1128364,-1.2675248,"('hostile', 'amicable')",-0.7642963,-1.0579256,-0.09167541,-0.2426551,-0.6562694,-0.8560352,-0.1997658
37,0.14742443,0.12603696,"('fake', 'genuine')",0.17092365,0.10854769,-0.07088378,-0.042294778,0.0824881,0.0640966,-0.0183915
