,epam_male,epam_female,tuple,systems_male,systems_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.5358307,-0.59238,"('unsociable', 'sociable')",0.50700665,0.42358908,-0.41174638,-0.51400465,-0.1468568,-0.2275985,-0.0807417
1,-1.1114734,-1.2191944,"('unfriendly', 'friendly')",0.27957836,0.07561713,1.7597666,1.6551135,0.3092905,0.170512,-0.1387785
2,0.7076209,0.7075128,"('unlikable', 'likable')",0.81712323,0.87353724,0.9055662,0.98635554,0.8101034,0.8558019,0.0456985
3,0.0070299637,0.1519988,"('repellent', 'pleasant')",0.8046806,1.047183,0.27604613,0.29704887,0.3625855,0.4987435,0.136158
4,-0.5459384,-0.5879232,"('disliked', 'liked')",-0.85738796,-0.9805013,-5.8172674,-5.854397,-2.4068645,-2.4742737,-0.0674092
5,-1.5089453,-1.4792771,"('distant', 'outgoing')",-1.2345569,-1.2569222,-0.23109823,-0.119687475,-0.9915334,-0.9519623,0.0395711
6,-2.1124678,-2.0785406,"('distant', 'open')",-1.8083067,-1.871736,0.26340568,0.37881294,-1.2191229,-1.1904879,0.028635
7,0.43826014,0.5872176,"('insensitive', 'sensitive')",0.6277084,0.7935515,0.3819415,0.49517107,0.4826367,0.6253134,0.1426767
8,-1.534005,-1.6850102,"('unaffectionate', 'affectionate')",-1.1388544,-1.283748,0.51886654,0.496808,-0.7179976,-0.8239834,-0.1059858
9,-1.3740922,-1.4552355,"('unaffectionate', 'caring')",-0.35258165,-0.4866836,0.97868013,1.0394562,-0.2493312,-0.3008209,-0.0514897
10,-0.57107,-0.556909,"('unsympathetic', 'sympathetic')",0.033700876,0.053974837,-0.4678554,-0.45300582,-0.3350748,-0.3186467,0.0164281
11,0.12200669,0.11334826,"('unhelpful', 'helpful')",1.3406464,1.3802681,1.7437489,1.8222485,1.0688006,1.1052883,0.0364877
12,0.07877494,0.24157256,"('unsupportive', 'supportive')",0.5585942,0.7123743,-1.9914486,-1.8459774,-0.4513598,-0.2973435,0.1540163
13,0.24697773,0.22123802,"('impolite', 'polite')",0.29589513,0.30152977,-0.33148855,-0.3245502,0.0704614,0.0660725,-0.0043889
14,1.0992565,1.1815479,"('antisocial', 'social')",1.0464859,1.1833395,-0.5437427,-0.6027667,0.5339999,0.5873735,0.0533736
15,0.11384261,-0.02177852,"('boring', 'funny')",-0.48600826,-0.5896291,0.90892446,0.8642833,0.1789196,0.0842919,-0.0946277
16,-0.8804704,-0.92816085,"('unpopular', 'popular')",-0.535163,-0.50328696,0.637187,0.63484573,-0.2594821,-0.265534,-0.0060519
17,0.011276964,0.09017908,"('nasty', 'nice')",-0.45698878,-0.3536935,-0.30279514,-0.2875365,-0.2495023,-0.1836836,0.0658187
18,-0.47709638,-0.3936219,"('disagreeable', 'welcoming')",-0.36102232,-0.24048522,-0.4920321,-0.41690496,-0.4433836,-0.3503373,0.0930463
