,lymphocyte_male,lymphocyte_female,tuple,average_male,average_female,female-male
0,-1.3463497,-1.3986869,"('unsociable', 'sociable')",-1.3463497,-1.3986869,-0.0523372
1,0.42579365,0.18270147,"('unfriendly', 'friendly')",0.4257936,0.1827015,-0.2430921
2,0.15741792,0.11869682,"('unlikable', 'likable')",0.1574179,0.1186968,-0.0387211
3,-2.2739978,-2.1026654,"('repellent', 'pleasant')",-2.2739978,-2.1026654,0.1713324
4,-0.16502279,-0.11213906,"('disliked', 'liked')",-0.1650228,-0.1121391,0.0528837
5,1.0918773,1.0566605,"('distant', 'outgoing')",1.0918773,1.0566605,-0.0352168
6,1.5570855,1.468277,"('distant', 'open')",1.5570855,1.468277,-0.0888085
7,-1.7967376,-1.7565316,"('insensitive', 'sensitive')",-1.7967376,-1.7565316,0.040206
8,1.1186074,0.8349636,"('unaffectionate', 'affectionate')",1.1186074,0.8349636,-0.2836438
9,0.722829,0.5051006,"('unaffectionate', 'caring')",0.722829,0.5051006,-0.2177284
10,-3.231518,-3.2453,"('unsympathetic', 'sympathetic')",-3.231518,-3.2453001,-0.0137821
11,-1.1794686,-1.1838657,"('unhelpful', 'helpful')",-1.1794686,-1.1838657,-0.0043971
12,0.28562823,0.28246248,"('unsupportive', 'supportive')",0.2856282,0.2824625,-0.0031657
13,-2.0557945,-2.0880172,"('impolite', 'polite')",-2.0557945,-2.0880172,-0.0322227
14,-1.363511,-1.2793638,"('antisocial', 'social')",-1.363511,-1.2793638,0.0841472
15,0.9534952,0.77858883,"('boring', 'funny')",0.9534952,0.7785888,-0.1749064
16,0.36035824,0.37489566,"('unpopular', 'popular')",0.3603582,0.3748957,0.0145375
17,-0.5632642,-0.43194246,"('nasty', 'nice')",-0.5632642,-0.4319425,0.1313217
18,-0.04328104,-0.0630494,"('disagreeable', 'welcoming')",-0.043281,-0.0630494,-0.0197684
19,-0.35615382,-0.30193323,"('inhospitable', 'hospitable')",-0.3561538,-0.3019332,0.0542206
20,-0.774595,-0.7424623,"('rough', 'thoughtful')",-0.774595,-0.7424623,0.0321327
21,-1.686927,-1.5644145,"('immoral', 'moral')",-1.686927,-1.5644145,0.1225125
