,call_male,call_female,tuple,average_male,average_female,female-male
0,-0.089663446,-0.062516406,"('unsociable', 'sociable')",-0.0896634,-0.0625164,0.027147
1,1.3683285,1.3193487,"('unfriendly', 'friendly')",1.3683285,1.3193487,-0.0489798
2,-0.41888762,-0.37671718,"('unlikable', 'likable')",-0.4188876,-0.3767172,0.0421704
3,0.49926466,0.56563646,"('repellent', 'pleasant')",0.4992647,0.5656365,0.0663718
4,-7.5326924,-7.628876,"('disliked', 'liked')",-7.5326924,-7.6288762,-0.0961838
5,-0.5231813,-0.5718163,"('distant', 'outgoing')",-0.5231813,-0.5718163,-0.048635
6,-0.008325323,-0.12298665,"('distant', 'open')",-0.0083253,-0.1229867,-0.1146614
7,0.7328069,0.8132461,"('insensitive', 'sensitive')",0.7328069,0.8132461,0.0804392
8,1.231199,1.1365721,"('unaffectionate', 'affectionate')",1.231199,1.1365721,-0.0946269
9,1.6902137,1.7224624,"('unaffectionate', 'caring')",1.6902137,1.7224624,0.0322487
10,0.8331517,0.91336393,"('unsympathetic', 'sympathetic')",0.8331517,0.9133639,0.0802122
11,1.5573119,1.6931432,"('unhelpful', 'helpful')",1.5573119,1.6931432,0.1358313
12,-2.1237612,-2.1174242,"('unsupportive', 'supportive')",-2.1237612,-2.1174242,0.006337
13,-0.16910034,-0.09739427,"('impolite', 'polite')",-0.1691003,-0.0973943,0.071706
14,0.41380793,0.40765294,"('antisocial', 'social')",0.4138079,0.4076529,-0.006155
15,0.12047429,0.019985085,"('boring', 'funny')",0.1204743,0.0199851,-0.1004892
16,-0.6896585,-0.72261286,"('unpopular', 'popular')",-0.6896585,-0.7226129,-0.0329544
17,-0.33284232,-0.29708412,"('nasty', 'nice')",-0.3328423,-0.2970841,0.0357582
18,-0.53591967,-0.618139,"('disagreeable', 'welcoming')",-0.5359197,-0.618139,-0.0822193
19,-0.8816846,-0.8680702,"('inhospitable', 'hospitable')",-0.8816846,-0.8680702,0.0136144
20,0.7950803,0.72657305,"('rough', 'thoughtful')",0.7950803,0.7265731,-0.0685072
21,-0.45350692,-0.31823504,"('immoral', 'moral')",-0.4535069,-0.318235,0.1352719
22,-0.40654433,-0.42287385,"('untrustworthy', 'trustworthy')",-0.4065443,-0.4228739,-0.0163296
23,6.290093,6.394812,"('insincere', 'sincere')",6.2900929,6.3948121,0.1047192
24,1.5367602,1.4320552,"('dishonest', 'honest')",1.5367602,1.4320552,-0.104705
25,0.8118264,0.7148173,"('egoistic', 'altruistic')",0.8118264,0.7148173,-0.0970091
26,1.1151569,1.0017103,"('hardhearted', 'benevolent')",1.1151569,1.0017103,-0.1134466
27,1.6583233,1.4644198,"('hardhearted', 'softhearted')",1.6583233,1.4644198,-0.1939035
28,1.1702515,1.143813,"('disloyal', 'loyal')",1.1702515,1.143813,-0.0264385
29,-0.4068215,-0.55557007,"('unfair', 'fair')",-0.4068215,-0.5555701,-0.1487486
30,0.6575467,0.73756874,"('intolerant', 'tolerant')",0.6575467,0.7375687,0.080022
31,-1.1998798,-1.262861,"('evil', 'good')",-1.1998798,-1.262861,-0.0629812
32,1.0114108,0.98065513,"('unkind', 'kind')",1.0114108,0.9806551,-0.0307557
33,-0.34287065,-0.3901145,"('wrong', 'right')",-0.3428707,-0.3901145,-0.0472438
34,4.607466,4.7865686,"('mean', 'honorable')",4.6074662,4.7865686,0.1791024
35,-0.58146304,-0.84739035,"('corrupt', 'incorrupt')",-0.581463,-0.8473904,-0.2659274
36,-0.40609887,-0.5259135,"('hostile', 'amicable')",-0.4060989,-0.5259135,-0.1198146
37,0.74569046,0.7654418,"('fake', 'genuine')",0.7456905,0.7654418,0.0197513
38,-0.36864102,-0.3092176,"('untruthful', 'truthful')",-0.368641,-0.3092176,0.0594234
39,0.28512305,0.27210543,"('exploitative', 'cooperative')",0.2851231,0.2721054,-0.0130177
40,-1.6697209,-1.8401031,"('stingy', 'generous')",-1.6697209,-1.8401031,-0.1703822
