,gun_male,gun_female,tuple,average_male,average_female,female-male
0,0.24255952,0.20264407,"('unsociable', 'sociable')",0.2425595,0.2026441,-0.0399154
1,1.2061819,1.2121842,"('unfriendly', 'friendly')",1.2061819,1.2121842,0.0060023
2,0.26738957,0.3786308,"('unlikable', 'likable')",0.2673896,0.3786308,0.1112412
3,0.7712931,0.90267456,"('repellent', 'pleasant')",0.7712931,0.9026746,0.1313815
4,-7.474289,-7.536085,"('disliked', 'liked')",-7.4742889,-7.5360851,-0.0617962
5,-0.8526742,-0.94127613,"('distant', 'outgoing')",-0.8526742,-0.9412761,-0.0886019
6,-0.21862254,-0.36954808,"('distant', 'open')",-0.2186225,-0.3695481,-0.1509256
7,1.4727668,1.5850537,"('insensitive', 'sensitive')",1.4727668,1.5850537,0.1122869
8,1.3642379,1.232049,"('unaffectionate', 'affectionate')",1.3642379,1.232049,-0.1321889
9,1.6575913,1.6605058,"('unaffectionate', 'caring')",1.6575913,1.6605058,0.0029145
10,1.6376817,1.6107749,"('unsympathetic', 'sympathetic')",1.6376817,1.6107749,-0.0269068
11,2.0823812,2.167428,"('unhelpful', 'helpful')",2.0823812,2.167428,0.0850468
12,-1.2480665,-1.1428525,"('unsupportive', 'supportive')",-1.2480665,-1.1428525,0.105214
13,-0.17565268,-0.04525847,"('impolite', 'polite')",-0.1756527,-0.0452585,0.1303942
14,0.24896139,0.37970382,"('antisocial', 'social')",0.2489614,0.3797038,0.1307424
15,0.36294508,0.3046351,"('boring', 'funny')",0.3629451,0.3046351,-0.05831
16,-0.9110719,-0.83888507,"('unpopular', 'popular')",-0.9110719,-0.8388851,0.0721868
17,-0.010217015,-0.06344694,"('nasty', 'nice')",-0.010217,-0.0634469,-0.0532299
18,-1.0270803,-0.91924345,"('disagreeable', 'welcoming')",-1.0270803,-0.9192435,0.1078368
19,-0.4573804,-0.5591518,"('inhospitable', 'hospitable')",-0.4573804,-0.5591518,-0.1017714
20,0.68201506,0.6406772,"('rough', 'thoughtful')",0.6820151,0.6406772,-0.0413379
21,-0.028406069,0.1570906,"('immoral', 'moral')",-0.0284061,0.1570906,0.1854967
22,-0.07411274,-0.079359055,"('untrustworthy', 'trustworthy')",-0.0741127,-0.0793591,-0.0052464
23,6.5340314,6.728932,"('insincere', 'sincere')",6.5340314,6.7289319,0.1949005
24,1.8809173,1.8361381,"('dishonest', 'honest')",1.8809173,1.8361381,-0.0447792
25,0.21397519,0.25054374,"('egoistic', 'altruistic')",0.2139752,0.2505437,0.0365685
26,0.79267937,0.61178374,"('hardhearted', 'benevolent')",0.7926794,0.6117837,-0.1808957
27,1.5832133,1.3742471,"('hardhearted', 'softhearted')",1.5832133,1.3742471,-0.2089662
28,1.5787631,1.4090921,"('disloyal', 'loyal')",1.5787631,1.4090921,-0.169671
29,0.04425466,-0.22352938,"('unfair', 'fair')",0.0442547,-0.2235294,-0.2677841
30,1.1081756,1.2131566,"('intolerant', 'tolerant')",1.1081756,1.2131566,0.104981
31,-1.3585571,-1.5119581,"('evil', 'good')",-1.3585571,-1.5119581,-0.153401
32,1.4680449,1.388279,"('unkind', 'kind')",1.4680449,1.388279,-0.0797659
33,-0.9623988,-0.9437306,"('wrong', 'right')",-0.9623988,-0.9437306,0.0186682
34,4.236913,4.489925,"('mean', 'honorable')",4.2369132,4.4899249,0.2530117
35,-1.1130155,-1.4810092,"('corrupt', 'incorrupt')",-1.1130155,-1.4810092,-0.3679937
36,-1.0056376,-1.2640722,"('hostile', 'amicable')",-1.0056376,-1.2640722,-0.2584346
37,0.87899756,0.8445517,"('fake', 'genuine')",0.8789976,0.8445517,-0.0344459
38,-0.1303425,-0.10197075,"('untruthful', 'truthful')",-0.1303425,-0.1019707,0.0283718
39,-0.18671629,-0.08903605,"('exploitative', 'cooperative')",-0.1867163,-0.089036,0.0976803
