,counterterrorism_male,counterterrorism_female,tuple,average_male,average_female,female-male
0,-0.94295454,-0.96119523,"('unsociable', 'sociable')",-0.9429545,-0.9611952,-0.0182407
1,-0.8350243,-0.9283028,"('unfriendly', 'friendly')",-0.8350243,-0.9283028,-0.0932785
2,0.1878006,0.13511226,"('unlikable', 'likable')",0.1878006,0.1351123,-0.0526883
3,-1.465992,-1.3431438,"('repellent', 'pleasant')",-1.465992,-1.3431438,0.1228482
4,-1.2724929,-1.189717,"('disliked', 'liked')",-1.2724929,-1.1897171,0.0827758
5,0.29098955,0.3054913,"('distant', 'outgoing')",0.2909895,0.3054913,0.0145018
6,0.086247265,0.059849784,"('distant', 'open')",0.0862473,0.0598498,-0.0263975
7,-1.6854212,-1.5661205,"('insensitive', 'sensitive')",-1.6854212,-1.5661205,0.1193007
8,-0.73533595,-0.95633096,"('unaffectionate', 'affectionate')",-0.7353359,-0.956331,-0.2209951
9,-0.72291064,-0.8315554,"('unaffectionate', 'caring')",-0.7229106,-0.8315554,-0.1086448
10,-1.9538238,-1.903306,"('unsympathetic', 'sympathetic')",-1.9538238,-1.903306,0.0505178
11,-0.07178687,-0.08379578,"('unhelpful', 'helpful')",-0.0717869,-0.0837958,-0.0120089
12,-1.4095508,-1.3025736,"('unsupportive', 'supportive')",-1.4095508,-1.3025736,0.1069772
13,-0.6653163,-0.6871959,"('impolite', 'polite')",-0.6653163,-0.6871959,-0.0218796
14,-1.2098824,-1.1924877,"('antisocial', 'social')",-1.2098824,-1.1924877,0.0173947
15,0.8240897,0.72492874,"('boring', 'funny')",0.8240897,0.7249287,-0.099161
16,-0.25488904,-0.37020648,"('unpopular', 'popular')",-0.254889,-0.3702065,-0.1153175
17,-0.88456595,-0.824507,"('nasty', 'nice')",-0.8845659,-0.824507,0.0600589
18,-0.5260046,-0.51648444,"('disagreeable', 'welcoming')",-0.5260046,-0.5164844,0.0095202
19,-0.85531443,-0.8456959,"('inhospitable', 'hospitable')",-0.8553144,-0.8456959,0.0096185
20,-0.26706982,-0.22279838,"('rough', 'thoughtful')",-0.2670698,-0.2227984,0.0442714
21,-1.5481546,-1.4995878,"('immoral', 'moral')",-1.5481546,-1.4995878,0.0485668
22,-0.49907264,-0.51549274,"('untrustworthy', 'trustworthy')",-0.4990726,-0.5154927,-0.0164201
23,0.10732027,0.015067583,"('insincere', 'sincere')",0.1073203,0.0150676,-0.0922527
24,-1.5496774,-1.5897914,"('dishonest', 'honest')",-1.5496774,-1.5897914,-0.040114
25,0.8041243,0.7102597,"('egoistic', 'altruistic')",0.8041243,0.7102597,-0.0938646
26,0.51224774,0.37073916,"('hardhearted', 'benevolent')",0.5122477,0.3707392,-0.1415085
27,-1.2103835,-1.2363466,"('hardhearted', 'softhearted')",-1.2103835,-1.2363466,-0.0259631
28,-0.10249062,-0.22860542,"('disloyal', 'loyal')",-0.1024906,-0.2286054,-0.1261148
29,-0.89277124,-0.9017808,"('unfair', 'fair')",-0.8927712,-0.9017808,-0.0090096
30,-0.7863378,-0.77055234,"('intolerant', 'tolerant')",-0.7863378,-0.7705523,0.0157855
31,-1.1540939,-1.1100128,"('evil', 'good')",-1.1540939,-1.1100128,0.0440811
32,0.28539485,0.21558562,"('unkind', 'kind')",0.2853948,0.2155856,-0.0698092
33,0.76902914,0.7144651,"('wrong', 'right')",0.7690291,0.7144651,-0.054564
34,-0.09001519,0.04240293,"('mean', 'honorable')",-0.0900152,0.0424029,0.1324181
35,0.7627954,0.6724421,"('corrupt', 'incorrupt')",0.7627954,0.6724421,-0.0903533
36,-0.7655408,-0.819257,"('hostile', 'amicable')",-0.7655408,-0.819257,-0.0537162
37,-1.4422677,-1.4390742,"('fake', 'genuine')",-1.4422677,-1.4390742,0.0031935
38,-0.33087763,-0.3993648,"('untruthful', 'truthful')",-0.3308776,-0.3993648,-0.0684872
39,-0.7020196,-0.70238477,"('exploitative', 'cooperative')",-0.7020196,-0.7023848,-0.0003652
40,-1.9533144,-1.9085478,"('stingy', 'generous')",-1.9533144,-1.9085478,0.0447666
41,-1.563102,-1.5825506,"('unforgiving', 'forgiving')",-1.563102,-1.5825506,-0.0194486
42,0.19856435,0.25030378,"('unreliable', 'reliable')",0.1985644,0.2503038,0.0517394
43,-0.6810262,-0.6601816,"('irresponsible', 'responsible')",-0.6810262,-0.6601816,0.0208446
44,0.5298523,0.5287094,"('prejudiced', 'unprejudiced')",0.5298523,0.5287094,-0.0011429
45,-1.963111,-1.8624991,"('incompetent', 'competent')",-1.963111,-1.8624991,0.1006119
