,plover_male,plover_female,tuple,average_male,average_female,female-male
65,1.0073646,0.84742486,"('insecure', 'secure')",1.0073646,0.8474249,-0.1599397
66,-1.7941697,-1.8035604,"('inactive', 'active')",-1.7941697,-1.8035604,-0.0093907
67,0.5003387,0.34190223,"('doubtful', 'determined')",0.5003387,0.3419022,-0.1584365
68,-0.33868453,-0.21400027,"('dependent', 'independent')",-0.3386845,-0.2140003,0.1246842
69,-1.3551555,-1.2646444,"('lazy', 'industrious')",-1.3551555,-1.2646444,0.0905111
70,0.3848922,0.21191055,"('lethargic', 'energetic')",0.3848922,0.2119105,-0.1729817
71,-0.9633446,-0.91796094,"('diffident', 'self-confident')",-0.9633446,-0.9179609,0.0453837
72,-0.4464016,-0.42028335,"('unambitious', 'ambitious')",-0.4464016,-0.4202833,0.0261183
73,-1.2935013,-1.3549938,"('helpless', 'self-reliant')",-1.2935013,-1.3549938,-0.0614925
74,-0.2077816,-0.2369414,"('undedicated', 'dedicated')",-0.2077816,-0.2369414,-0.0291598
75,-0.44459015,-0.41185632,"('meek', 'impulsive')",-0.4445902,-0.4118563,0.0327339
76,0.93455356,0.77536666,"('anxious', 'daring')",0.9345536,0.7753667,-0.1591869
77,-0.9010387,-0.81860274,"('unmotivated', 'motivated')",-0.9010387,-0.8186027,0.082436
78,-0.91438186,-0.64705163,"('nonresilient', 'resilient')",-0.9143819,-0.6470516,0.2673303
79,-1.3384764,-1.295866,"('wavering', 'unwavering')",-1.3384764,-1.295866,0.0426104
80,1.1924226,1.1290545,"('dominated', 'dominating')",1.1924226,1.1290545,-0.0633681
81,0.81112033,0.6400556,"('submissive', 'aggressive')",0.8111203,0.6400556,-0.1710647
82,2.149153,2.1507037,"('poor', 'rich')",2.149153,2.1507037,0.0015507
83,-0.20323229,-0.33332866,"('powerless', 'powerful')",-0.2032323,-0.3333287,-0.1300964
84,-0.11586805,-0.009267254,"('inferior', 'superior')",-0.115868,-0.0092673,0.1066007
85,-2.1460626,-2.0451038,"('insignificant', 'prestigious')",-2.1460626,-2.0451038,0.1009588
86,-1.2255098,-1.3468246,"('uninfluential', 'influential')",-1.2255098,-1.3468246,-0.1213148
87,-0.28746277,-0.28694388,"('unsuccessful', 'successful')",-0.2874628,-0.2869439,0.0005189
88,-0.7283073,-0.8500262,"('low', 'eminent')",-0.7283073,-0.8500262,-0.1217189
