,bend_male,bend_female,tuple,average_male,average_female,female-male
0,0.91790044,0.81113493,"('unsociable', 'sociable')",0.9179004,0.8111349,-0.1067655
1,0.8102672,0.69097126,"('unfriendly', 'friendly')",0.8102672,0.6909713,-0.1192959
2,0.023485398,0.044236727,"('unlikable', 'likable')",0.0234854,0.0442367,0.0207513
3,1.0866714,1.1187583,"('repellent', 'pleasant')",1.0866714,1.1187583,0.0320869
4,-6.8663287,-7.0737996,"('disliked', 'liked')",-6.8663287,-7.0737996,-0.2074709
5,-1.1439066,-1.1346889,"('distant', 'outgoing')",-1.1439066,-1.1346889,0.0092177
6,-0.4115979,-0.4930732,"('distant', 'open')",-0.4115979,-0.4930732,-0.0814753
7,1.8510752,1.7816501,"('insensitive', 'sensitive')",1.8510752,1.7816501,-0.0694251
8,0.68960816,0.5447481,"('unaffectionate', 'affectionate')",0.6896082,0.5447481,-0.1448601
9,1.587422,1.5619919,"('unaffectionate', 'caring')",1.587422,1.5619919,-0.0254301
10,1.8222855,1.7811351,"('unsympathetic', 'sympathetic')",1.8222855,1.7811351,-0.0411504
11,2.0255084,2.137429,"('unhelpful', 'helpful')",2.0255084,2.137429,0.1119206
12,-1.1362354,-1.224956,"('unsupportive', 'supportive')",-1.1362354,-1.224956,-0.0887206
13,0.21622823,0.2513352,"('impolite', 'polite')",0.2162282,0.2513352,0.035107
14,0.8176376,0.8033478,"('antisocial', 'social')",0.8176376,0.8033478,-0.0142898
15,0.3997534,0.31197485,"('boring', 'funny')",0.3997534,0.3119749,-0.0877785
16,-0.55049914,-0.5785525,"('unpopular', 'popular')",-0.5504991,-0.5785525,-0.0280534
17,-0.40205264,-0.35856575,"('nasty', 'nice')",-0.4020526,-0.3585657,0.0434869
18,-1.0580803,-1.1004037,"('disagreeable', 'welcoming')",-1.0580803,-1.1004037,-0.0423234
19,-1.1355611,-1.0874313,"('inhospitable', 'hospitable')",-1.1355611,-1.0874313,0.0481298
20,1.0547292,0.9576863,"('rough', 'thoughtful')",1.0547292,0.9576863,-0.0970429
21,0.4435136,0.5406989,"('immoral', 'moral')",0.4435136,0.5406989,0.0971853
22,-0.3183777,-0.44359264,"('untrustworthy', 'trustworthy')",-0.3183777,-0.4435926,-0.1252149
23,6.0276847,6.135171,"('insincere', 'sincere')",6.0276847,6.1351709,0.1074862
24,1.6659831,1.5448602,"('dishonest', 'honest')",1.6659831,1.5448602,-0.1211229
25,0.06868227,-0.02751214,"('egoistic', 'altruistic')",0.0686823,-0.0275121,-0.0961944
26,1.238833,1.0491749,"('hardhearted', 'benevolent')",1.238833,1.0491749,-0.1896581
27,1.5785218,1.3389881,"('hardhearted', 'softhearted')",1.5785218,1.3389881,-0.2395337
28,1.096187,1.0282353,"('disloyal', 'loyal')",1.096187,1.0282353,-0.0679517
29,-0.28305185,-0.3645953,"('unfair', 'fair')",-0.2830518,-0.3645953,-0.0815435
