,forest_male,forest_female,tuple,labs_male,labs_female,inc_male,inc_female,average_male,average_female,female-male
0,0.24762768,0.17639986,"('unsociable', 'sociable')",0.6854432,0.5518882,-0.32934064,-0.4185703,0.2012434,0.1032392,-0.0980042
1,0.24990696,0.06408759,"('unfriendly', 'friendly')",-0.7118487,-0.8262709,2.0441608,1.9246489,0.5274064,0.3874885,-0.1399179
2,0.09487912,0.018831996,"('unlikable', 'likable')",0.09598887,0.118239425,0.31299776,0.3906831,0.1679552,0.1759182,0.007963
3,-0.5022649,-0.31919137,"('repellent', 'pleasant')",0.22966714,0.410807,0.24107607,0.3827859,-0.0105072,0.1581338,0.168641
4,-0.7049368,-0.76882,"('disliked', 'liked')",-0.5819188,-0.58110374,-6.59161,-6.5946836,-2.6261552,-2.6482024,-0.0220472
5,-0.7773082,-0.9073278,"('distant', 'outgoing')",-1.1475451,-1.1669098,0.21981996,0.21895573,-0.5683444,-0.6184273,-0.0500829
6,-0.6867447,-0.8367137,"('distant', 'open')",-1.5688285,-1.5983868,0.8436219,0.8203275,-0.4706504,-0.5382577,-0.0676073
7,0.802812,0.85546386,"('insensitive', 'sensitive')",0.60136396,0.73741883,0.8764066,0.9652456,0.7601942,0.8527095,0.0925153
8,0.31805933,0.12693265,"('unaffectionate', 'affectionate')",-0.667647,-0.7756134,1.1574014,1.0644963,0.2692713,0.1386052,-0.1306661
9,1.0037358,0.92142457,"('unaffectionate', 'caring')",-0.3370367,-0.350772,1.5837148,1.6029062,0.750138,0.7245196,-0.0256184
10,0.49023014,0.51290166,"('unsympathetic', 'sympathetic')",0.0026367009,-0.0054658316,-0.09937933,-0.059648827,0.1311625,0.1492623,0.0180998
11,0.34499785,0.45133805,"('unhelpful', 'helpful')",1.0529386,1.0888462,1.961164,1.9885066,1.1197001,1.1762303,0.0565302
12,0.8085612,0.8689702,"('unsupportive', 'supportive')",0.020155244,0.15460148,-1.8000152,-1.7395391,-0.3237663,-0.2386558,0.0851105
13,0.23222953,0.2927069,"('impolite', 'polite')",-0.027319867,-0.13450529,-0.31837544,-0.32811126,-0.0378219,-0.0566365,-0.0188146
14,1.26344,1.3363951,"('antisocial', 'social')",1.4368068,1.5164059,-0.43536684,-0.4160532,0.75496,0.8122493,0.0572893
