,perspecta_male,perspecta_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.8028946,-0.86930615,"('unsociable', 'sociable')",-0.16713002,-0.22355321,-0.4850123,-0.5464297,-0.0614174
1,-1.6129917,-1.5574911,"('unfriendly', 'friendly')",1.8036988,1.7116168,0.0953535,0.0770628,-0.0182907
2,0.60792667,0.6775652,"('unlikable', 'likable')",0.8866162,0.9670555,0.7472714,0.8223103,0.0750389
3,-1.0075796,-0.9087005,"('repellent', 'pleasant')",0.12122477,0.20580791,-0.4431774,-0.3514463,0.0917311
4,0.27561796,0.32122907,"('disliked', 'liked')",-5.76103,-5.850093,-2.7427061,-2.764432,-0.0217259
5,-0.7701479,-0.60525435,"('distant', 'outgoing')",-0.10494867,-0.1440266,-0.4375483,-0.3746405,0.0629078
6,-1.1002302,-0.90895075,"('distant', 'open')",0.18550901,0.11999723,-0.4573606,-0.3944768,0.0628838
7,-1.1580513,-1.1314954,"('insensitive', 'sensitive')",0.25837773,0.37060258,-0.4498368,-0.3804464,0.0693904
8,-1.4200507,-1.3555396,"('unaffectionate', 'affectionate')",0.54913515,0.49299067,-0.4354578,-0.4312744,0.0041834
9,-1.881298,-1.7751546,"('unaffectionate', 'caring')",0.77845216,0.784761,-0.5514229,-0.4951968,0.0562261
10,-1.9927056,-1.9321212,"('unsympathetic', 'sympathetic')",-0.60198814,-0.5302555,-1.2973468,-1.2311883,0.0661585
11,-0.987125,-0.98083687,"('unhelpful', 'helpful')",1.212943,1.2975987,0.112909,0.1583809,0.0454719
12,-1.0769267,-0.8397384,"('unsupportive', 'supportive')",-1.8079255,-1.7118276,-1.4424261,-1.2757831,0.166643
13,-0.3088953,-0.36220303,"('impolite', 'polite')",-0.68399,-0.6666353,-0.4964426,-0.5144191,-0.0179765
14,0.3174759,0.29228744,"('antisocial', 'social')",-0.18233861,-0.167634,0.0675686,0.0623267,-0.0052419
15,0.40927345,0.26830524,"('boring', 'funny')",0.64575094,0.5729073,0.5275122,0.4206063,-0.1069059
16,-0.8356926,-0.78555006,"('unpopular', 'popular')",0.46105754,0.468648,-0.1873175,-0.158451,0.0288665
17,-0.18576223,-0.11779648,"('nasty', 'nice')",-0.03334683,-0.011643609,-0.1095545,-0.06472,0.0448345
18,-0.3137915,-0.22946198,"('disagreeable', 'welcoming')",-0.22179417,-0.25394484,-0.2677929,-0.2417034,0.0260895
19,-1.321152,-1.162811,"('inhospitable', 'hospitable')",0.00078706816,0.033946555,-0.6601825,-0.5644323,0.0957502
20,0.30863225,0.28039193,"('rough', 'thoughtful')",1.0920289,1.0287075,0.7003306,0.6545497,-0.0457809
21,-0.075306915,-0.15314263,"('immoral', 'moral')",-0.2420043,-0.12151798,-0.1586556,-0.1373303,0.0213253
22,0.4310637,0.45618728,"('untrustworthy', 'trustworthy')",-0.8131809,-0.84359884,-0.1910586,-0.1937058,-0.0026472
23,-1.5325634,-1.5521249,"('insincere', 'sincere')",5.0163064,5.012939,1.7418715,1.730407,-0.0114645
24,-1.0098422,-1.0569932,"('dishonest', 'honest')",0.609468,0.56942654,-0.2001871,-0.2437834,-0.0435963
25,-0.3191286,-0.32723406,"('egoistic', 'altruistic')",1.6896489,1.6555094,0.6852601,0.6641377,-0.0211224
26,0.40649518,0.39834005,"('hardhearted', 'benevolent')",2.1101484,2.0807643,1.2583218,1.2395521,-0.0187697
27,0.011796701,0.09958248,"('hardhearted', 'softhearted')",1.4630795,1.3531339,0.7374381,0.7263582,-0.0110799
28,-1.3756032,-1.5170448,"('disloyal', 'loyal')",0.7431292,0.6580461,-0.316237,-0.4294993,-0.1132623
29,-0.34847748,-0.43349105,"('unfair', 'fair')",-0.42835286,-0.62425184,-0.3884152,-0.5288714,-0.1404562
30,0.061924286,0.03185623,"('intolerant', 'tolerant')",1.6667274,1.6116148,0.8643259,0.8217355,-0.0425904
31,-0.5577065,-0.37960872,"('evil', 'good')",-0.8725674,-0.9109478,-0.7151369,-0.6452783,0.0698586
32,-0.2958328,-0.3236172,"('unkind', 'kind')",0.85829145,0.82735723,0.2812293,0.25187,-0.0293593
33,0.19559571,0.2339752,"('wrong', 'right')",-0.45909727,-0.5310379,-0.1317508,-0.1485314,-0.0167806
34,-0.5674039,-0.4038235,"('mean', 'honorable')",5.4658813,5.5473423,2.4492388,2.5717595,0.1225207
35,0.72334605,0.6834044,"('corrupt', 'incorrupt')",-0.04486984,-0.27685124,0.3392381,0.2032766,-0.1359615
36,-0.75221175,-0.6941178,"('hostile', 'amicable')",0.15927254,-0.08730739,-0.2964696,-0.3907126,-0.094243
37,0.029317131,0.088175505,"('fake', 'genuine')",0.012717791,0.03473552,0.0210175,0.0614555,0.040438
38,-0.9807073,-0.9018708,"('untruthful', 'truthful')",-0.34988877,-0.3226965,-0.665298,-0.6122836,0.0530144
39,0.58539444,0.53960884,"('exploitative', 'cooperative')",0.39402938,0.396592,0.4897119,0.4681004,-0.0216115
40,0.033353653,0.019005569,"('stingy', 'generous')",-1.316538,-1.443081,-0.6415921,-0.7120377,-0.0704456
