,marsh_male,marsh_female,tuple,&_male,&_female,mclennan_male,mclennan_female,cos_male,cos_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.15584613,-0.28294688,"('unsociable', 'sociable')",0.87924707,0.8145918,-2.680873,-2.9361262,-0.09429489,-0.3231997,-0.50629026,-0.595026,-0.5116114,-0.6645414,-0.15293
1,0.24363594,0.16578878,"('unfriendly', 'friendly')",-1.2874498,-1.2453032,-1.780239,-1.8244717,-0.7031663,-0.82525736,1.9934251,1.8933891,-0.3067588,-0.3671708,-0.060412
2,-0.39753264,-0.3460328,"('unlikable', 'likable')",0.840589,0.93310905,0.2122894,0.25105116,1.0177685,1.0406543,0.77566016,0.8825438,0.4897549,0.5522651,0.0625102
3,-0.45326352,-0.28938866,"('repellent', 'pleasant')",0.12568964,0.17192735,-1.4027067,-1.3491379,0.39336637,0.40116802,-0.2160603,-0.16188222,-0.3105949,-0.2454627,0.0651322
4,-0.3324355,-0.4433734,"('disliked', 'liked')",0.32553202,0.21738161,0.9189349,0.8399759,-0.8463178,-0.89744556,-5.636967,-5.598783,-1.1142508,-1.1764489,-0.0621981
5,0.14003201,0.17305997,"('distant', 'outgoing')",-0.84979177,-0.8258336,1.3930988,1.4376516,-1.3107383,-1.2377791,-0.24243426,-0.2397184,-0.1739667,-0.1385239,0.0354428
6,0.4830134,0.5488074,"('distant', 'open')",-0.99208,-0.89443535,1.4529779,1.5180134,-1.3386331,-1.2841722,0.59947205,0.57268065,0.0409501,0.0921788,0.0512287
7,1.3255856,1.3785031,"('insensitive', 'sensitive')",0.11769079,0.19299538,-1.4193863,-1.4687549,-0.26906756,-0.33262748,0.6361744,0.6662064,0.0781994,0.0872645,0.0090651
8,0.5783608,0.5576482,"('unaffectionate', 'affectionate')",-0.6492878,-0.5466108,0.050913744,0.043644294,-1.3078004,-1.2763668,0.58422756,0.51252055,-0.1487172,-0.1418329,0.0068843
9,0.989435,0.97499806,"('unaffectionate', 'caring')",-0.58972245,-0.48895603,-0.29430357,-0.33709043,-0.5872849,-0.65084285,1.3721167,1.2975307,0.1780482,0.1591279,-0.0189203
10,-0.09642138,-0.0517667,"('unsympathetic', 'sympathetic')",0.37212178,0.3806708,-3.679394,-3.7810197,-0.32048097,-0.50843805,-0.08068118,-0.10077811,-0.7609712,-0.8122663,-0.0512951
11,-0.027923163,-0.010316599,"('unhelpful', 'helpful')",-0.7904215,-0.7395287,-2.2260866,-2.2179854,0.080513895,-0.031267464,2.0379884,2.026732,-0.1851858,-0.1944732,-0.0092874
12,0.8280843,0.871499,"('unsupportive', 'supportive')",0.8291041,0.9857533,-0.88583887,-0.8668867,-0.64493906,-0.6490358,-1.3489847,-1.2469357,-0.2445148,-0.1811212,0.0633936
13,-0.019263418,-0.08355675,"('impolite', 'polite')",0.27280143,0.25899035,-1.9317331,-1.9895864,0.5527011,0.45348176,-0.3057538,-0.355022,-0.2862496,-0.3431386,-0.056889
