,blanket_male,blanket_female,tuple,average_male,average_female,female-male
0,0.10577673,0.0008937083,"('unsociable', 'sociable')",0.1057767,0.0008937,-0.104883
1,1.1697274,1.1008034,"('unfriendly', 'friendly')",1.1697274,1.1008034,-0.068924
2,0.2472024,0.43054706,"('unlikable', 'likable')",0.2472024,0.4305471,0.1833447
3,0.8802927,0.94771963,"('repellent', 'pleasant')",0.8802927,0.9477196,0.0674269
4,-7.234564,-7.408026,"('disliked', 'liked')",-7.2345638,-7.4080262,-0.1734624
5,-0.737774,-0.7147325,"('distant', 'outgoing')",-0.737774,-0.7147325,0.0230415
6,-0.069808275,-0.11121612,"('distant', 'open')",-0.0698083,-0.1112161,-0.0414078
7,1.0847795,1.086218,"('insensitive', 'sensitive')",1.0847795,1.086218,0.0014385
8,0.9482799,0.8582128,"('unaffectionate', 'affectionate')",0.9482799,0.8582128,-0.0900671
9,1.4953578,1.5500196,"('unaffectionate', 'caring')",1.4953578,1.5500196,0.0546618
10,1.2016813,1.1739157,"('unsympathetic', 'sympathetic')",1.2016813,1.1739157,-0.0277656
11,1.4998997,1.5525866,"('unhelpful', 'helpful')",1.4998997,1.5525866,0.0526869
12,-1.6459173,-1.6736342,"('unsupportive', 'supportive')",-1.6459173,-1.6736342,-0.0277169
13,-0.002254963,0.020150356,"('impolite', 'polite')",-0.002255,0.0201504,0.0224054
14,0.09091345,-0.0036500478,"('antisocial', 'social')",0.0909135,-0.00365,-0.0945635
15,0.30420303,0.21924779,"('boring', 'funny')",0.304203,0.2192478,-0.0849552
16,-0.28616732,-0.24236405,"('unpopular', 'popular')",-0.2861673,-0.242364,0.0438033
17,-0.1868009,-0.14366633,"('nasty', 'nice')",-0.1868009,-0.1436663,0.0431346
18,-0.49835658,-0.47743702,"('disagreeable', 'welcoming')",-0.4983566,-0.477437,0.0209196
19,-0.84694886,-0.82026714,"('inhospitable', 'hospitable')",-0.8469489,-0.8202671,0.0266818
20,0.94706655,0.86587596,"('rough', 'thoughtful')",0.9470665,0.865876,-0.0811905
21,-0.094503656,0.0610075,"('immoral', 'moral')",-0.0945037,0.0610075,0.1555112
22,-0.3990026,-0.4265054,"('untrustworthy', 'trustworthy')",-0.3990026,-0.4265054,-0.0275028
23,5.9660516,6.051039,"('insincere', 'sincere')",5.9660516,6.0510392,0.0849876
24,1.5708544,1.5066161,"('dishonest', 'honest')",1.5708544,1.5066161,-0.0642383
25,0.6836335,0.69402486,"('egoistic', 'altruistic')",0.6836335,0.6940249,0.0103914
26,0.824721,0.63228124,"('hardhearted', 'benevolent')",0.824721,0.6322812,-0.1924398
27,1.8316813,1.6298809,"('hardhearted', 'softhearted')",1.8316813,1.6298809,-0.2018004
28,1.1137301,1.0426996,"('disloyal', 'loyal')",1.1137301,1.0426996,-0.0710305
29,-0.51062983,-0.64595634,"('unfair', 'fair')",-0.5106298,-0.6459563,-0.1353265
30,0.91351986,0.9565194,"('intolerant', 'tolerant')",0.9135199,0.9565194,0.0429995
31,-1.3045195,-1.3988442,"('evil', 'good')",-1.3045195,-1.3988442,-0.0943247
32,1.2898208,1.2210109,"('unkind', 'kind')",1.2898208,1.2210109,-0.0688099
33,-0.62623245,-0.5787246,"('wrong', 'right')",-0.6262324,-0.5787246,0.0475078
34,4.0288973,4.2126584,"('mean', 'honorable')",4.0288973,4.2126584,0.1837611
35,-0.8971321,-1.1240745,"('corrupt', 'incorrupt')",-0.8971321,-1.1240745,-0.2269424
36,-0.76398057,-0.81981456,"('hostile', 'amicable')",-0.7639806,-0.8198146,-0.055834
37,1.0435963,1.0205336,"('fake', 'genuine')",1.0435963,1.0205336,-0.0230627
38,-0.4726471,-0.39549157,"('untruthful', 'truthful')",-0.4726471,-0.3954916,0.0771555
