,lion_male,lion_female,tuple,average_male,average_female,female-male
0,0.06330863,0.082816556,"('unsociable', 'sociable')",0.0633086,0.0828166,0.019508
1,1.0628357,1.0056244,"('unfriendly', 'friendly')",1.0628357,1.0056244,-0.0572113
2,0.25142738,0.25548166,"('unlikable', 'likable')",0.2514274,0.2554817,0.0040543
3,0.45061263,0.5375276,"('repellent', 'pleasant')",0.4506126,0.5375276,0.086915
4,-7.1448298,-7.275239,"('disliked', 'liked')",-7.1448298,-7.275239,-0.1304092
5,-0.5168829,-0.5832861,"('distant', 'outgoing')",-0.5168829,-0.5832861,-0.0664032
6,0.22730471,0.09221512,"('distant', 'open')",0.2273047,0.0922151,-0.1350896
7,0.8178657,0.9265531,"('insensitive', 'sensitive')",0.8178657,0.9265531,0.1086874
8,1.4258008,1.2908189,"('unaffectionate', 'affectionate')",1.4258008,1.2908189,-0.1349819
9,1.7561368,1.7573928,"('unaffectionate', 'caring')",1.7561368,1.7573928,0.001256
10,0.96956587,1.0436662,"('unsympathetic', 'sympathetic')",0.9695659,1.0436662,0.0741003
11,1.0583822,1.2091389,"('unhelpful', 'helpful')",1.0583822,1.2091389,0.1507567
12,-1.703533,-1.690268,"('unsupportive', 'supportive')",-1.7035331,-1.690268,0.0132651
13,-0.5824256,-0.45668113,"('impolite', 'polite')",-0.5824256,-0.4566811,0.1257445
14,0.13078904,0.19045818,"('antisocial', 'social')",0.130789,0.1904582,0.0596692
15,0.26877648,0.21623534,"('boring', 'funny')",0.2687765,0.2162353,-0.0525412
16,-0.5871452,-0.60124755,"('unpopular', 'popular')",-0.5871452,-0.6012475,-0.0141023
17,-0.317195,-0.30644992,"('nasty', 'nice')",-0.317195,-0.3064499,0.0107451
18,-0.49538052,-0.5666285,"('disagreeable', 'welcoming')",-0.4953805,-0.5666285,-0.071248
19,-0.4902405,-0.5516448,"('inhospitable', 'hospitable')",-0.4902405,-0.5516448,-0.0614043
20,0.6712814,0.62420595,"('rough', 'thoughtful')",0.6712814,0.6242059,-0.0470755
21,-0.48945174,-0.35083947,"('immoral', 'moral')",-0.4894517,-0.3508395,0.1386122
22,-0.53775376,-0.52668107,"('untrustworthy', 'trustworthy')",-0.5377538,-0.5266811,0.0110727
23,5.923258,6.025266,"('insincere', 'sincere')",5.9232578,6.0252662,0.1020084
24,1.4847999,1.394202,"('dishonest', 'honest')",1.4847999,1.394202,-0.0905979
25,0.7730974,0.6124877,"('egoistic', 'altruistic')",0.7730974,0.6124877,-0.1606097
26,1.0883588,1.0037588,"('hardhearted', 'benevolent')",1.0883588,1.0037588,-0.0846
27,1.6547562,1.4433095,"('hardhearted', 'softhearted')",1.6547562,1.4433095,-0.2114467
28,1.1725842,1.1197292,"('disloyal', 'loyal')",1.1725842,1.1197292,-0.052855
29,-0.5145125,-0.594392,"('unfair', 'fair')",-0.5145125,-0.594392,-0.0798795
30,0.89307326,0.97388124,"('intolerant', 'tolerant')",0.8930733,0.9738812,0.0808079
31,-1.1104021,-1.1931702,"('evil', 'good')",-1.1104021,-1.1931702,-0.0827681
32,1.1202674,1.0631438,"('unkind', 'kind')",1.1202674,1.0631438,-0.0571236
33,-0.43246296,-0.49286065,"('wrong', 'right')",-0.432463,-0.4928606,-0.0603976
34,4.493985,4.6235404,"('mean', 'honorable')",4.4939852,4.6235404,0.1295552
35,-0.22497593,-0.5699081,"('corrupt', 'incorrupt')",-0.2249759,-0.5699081,-0.3449322
36,-0.43696862,-0.6224019,"('hostile', 'amicable')",-0.4369686,-0.6224019,-0.1854333
37,0.95979947,0.942743,"('fake', 'genuine')",0.9597995,0.942743,-0.0170565
38,-0.31415865,-0.25243634,"('untruthful', 'truthful')",-0.3141586,-0.2524363,0.0617223
39,0.46241152,0.46976846,"('exploitative', 'cooperative')",0.4624115,0.4697685,0.007357
40,-1.3730905,-1.5733804,"('stingy', 'generous')",-1.3730905,-1.5733804,-0.2002899
41,0.21811092,0.19419219,"('unforgiving', 'forgiving')",0.2181109,0.1941922,-0.0239187
42,-2.5657685,-2.5864642,"('unreliable', 'reliable')",-2.5657685,-2.5864642,-0.0206957
43,0.7292256,0.82196265,"('irresponsible', 'responsible')",0.7292256,0.8219627,0.0927371
44,-1.1637847,-1.1777426,"('prejudiced', 'unprejudiced')",-1.1637847,-1.1777426,-0.0139579
45,0.028733373,0.03198389,"('incompetent', 'competent')",0.0287334,0.0319839,0.0032505
46,-0.80062985,-0.7532273,"('uncompetitive', 'competitive')",-0.8006299,-0.7532273,0.0474026
47,4.9969707,5.1569633,"('stupid', 'smart')",4.9969707,5.1569633,0.1599926
48,0.1299066,0.18519607,"('unintelligent', 'intelligent')",0.1299066,0.1851961,0.0552895
49,0.09415985,0.18013033,"('unable', 'able')",0.0941598,0.1801303,0.0859705
50,-0.7532051,-0.79026127,"('clumsy', 'skillful')",-0.7532051,-0.7902613,-0.0370562
51,0.064878285,0.03707057,"('uneducated', 'educated')",0.0648783,0.0370706,-0.0278077
52,-0.20747939,-0.37815267,"('irrational', 'rational')",-0.2074794,-0.3781527,-0.1706733
53,-0.085049294,-0.18182293,"('uncreative', 'creative')",-0.0850493,-0.1818229,-0.0967736
54,0.83578527,0.8971087,"('incapable', 'capable')",0.8357853,0.8971087,0.0613234
55,0.575966,0.6463643,"('incompetent', 'clever')",0.575966,0.6463643,0.0703983
