,prudential_male,prudential_female,tuple,financial_male,financial_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.8915248,-1.9986978,"('unsociable', 'sociable')",0.3142897,0.12114771,-0.5321747,-0.6722883,-0.7031366,-0.8499461,-0.1468095
1,-0.32997185,-0.36928636,"('unfriendly', 'friendly')",1.3955382,1.2904162,2.3964088,2.200918,1.1539917,1.0406826,-0.1133091
2,1.5055094,1.5905447,"('unlikable', 'likable')",2.2798069,2.3577638,0.6557809,0.7966447,1.4803658,1.5816511,0.1012853
3,-1.7923616,-1.7455231,"('repellent', 'pleasant')",-0.098666064,-0.11367019,0.0955721,0.12902,-0.5984852,-0.5767244,0.0217608
4,0.3823394,0.46499908,"('disliked', 'liked')",0.08438367,0.1022865,-6.661695,-6.642487,-2.0649907,-2.0250672,0.0399235
5,1.1325341,1.1779627,"('distant', 'outgoing')",0.5282078,0.576966,0.26760587,0.2946153,0.6427826,0.6831813,0.0403987
6,0.7027467,0.7456335,"('distant', 'open')",-0.3257624,-0.2911448,0.8414307,0.81838137,0.4061383,0.42429,0.0181517
7,-0.6893781,-0.72790325,"('insensitive', 'sensitive')",0.6296012,0.64192575,0.7294705,0.6350403,0.2232312,0.1830209,-0.0402103
8,-0.49050188,-0.4811903,"('unaffectionate', 'affectionate')",0.06538728,0.08680684,0.81450826,0.73573893,0.1297979,0.1137852,-0.0160127
9,-0.16909152,-0.17612548,"('unaffectionate', 'caring')",1.4577625,1.438552,1.3735787,1.3606894,0.8874165,0.874372,-0.0130445
10,-1.736451,-1.795034,"('unsympathetic', 'sympathetic')",-0.66789055,-0.67878586,-0.4569511,-0.52321637,-0.9537643,-0.9990122,-0.0452479
11,-0.7737268,-0.7934272,"('unhelpful', 'helpful')",0.31921604,0.3061176,1.8207601,1.9160401,0.4554164,0.4762435,0.0208271
12,0.024113435,0.114068285,"('unsupportive', 'supportive')",1.3891598,1.4635322,-1.9548414,-1.9487016,-0.1805227,-0.1237004,0.0568223
13,-0.5253106,-0.6522293,"('impolite', 'polite')",0.3710125,0.28688797,-0.20777436,-0.23002055,-0.1206908,-0.198454,-0.0777632
14,-1.1711653,-1.1688892,"('antisocial', 'social')",1.2129996,1.2212964,-1.0480399,-1.0716707,-0.3354019,-0.3397545,-0.0043526
15,0.34773964,0.28943235,"('boring', 'funny')",-0.13357171,-0.07594213,0.451585,0.41676214,0.2219176,0.2100841,-0.0118335
16,-0.15110944,-0.034417093,"('unpopular', 'popular')",-0.112762794,-0.111179344,0.53162366,0.5101764,0.0892505,0.1215267,0.0322762
17,0.6003802,0.6648146,"('nasty', 'nice')",-0.13664111,-0.0024579316,-0.54598546,-0.45256603,-0.0274155,0.0699302,0.0973457
18,-0.29896563,-0.26266074,"('disagreeable', 'welcoming')",-0.32958454,-0.27403283,-0.06454453,-0.09778681,-0.2310316,-0.2114935,0.0195381
19,-0.09641602,-0.06410897,"('inhospitable', 'hospitable')",-0.24194868,-0.23929983,0.16766337,0.23581946,-0.0569004,-0.0225298,0.0343706
20,-0.106937684,-0.14059666,"('rough', 'thoughtful')",0.17451802,0.12711242,0.9469632,0.9055424,0.3381812,0.2973527,-0.0408285
21,-0.39646515,-0.45760062,"('immoral', 'moral')",0.6230322,0.6242336,-0.7928013,-0.7244867,-0.1887447,-0.1859512,0.0027935
22,-0.7551934,-0.7877185,"('untrustworthy', 'trustworthy')",-0.6549968,-0.7390919,-1.1577913,-1.2250137,-0.8559938,-0.9172747,-0.0612809
23,-0.7624829,-0.8890747,"('insincere', 'sincere')",0.87577665,0.7911607,6.246334,6.1122913,2.1198759,2.0047925,-0.1150834
24,-0.8799437,-0.9634106,"('dishonest', 'honest')",0.02478388,0.007903762,0.93876374,0.832009,0.027868,-0.0411659,-0.0690339
25,0.2554819,0.30323964,"('egoistic', 'altruistic')",-0.23274192,-0.14863327,1.5243827,1.4184856,0.5157076,0.524364,0.0086564
26,0.6816658,0.61771566,"('hardhearted', 'benevolent')",1.2816987,1.2997189,1.5343375,1.4277108,1.1659007,1.1150484,-0.0508523
27,0.35631076,0.33571872,"('hardhearted', 'softhearted')",-0.36902672,-0.38584068,1.749777,1.6157281,0.5790203,0.5218687,-0.0571516
28,-1.1824126,-1.3016828,"('disloyal', 'loyal')",-0.003976546,-0.11216817,0.9402685,0.8144945,-0.0820402,-0.1997855,-0.1177453
29,-0.16754586,-0.17086792,"('unfair', 'fair')",-0.19238701,-0.18492015,-0.31853002,-0.49801567,-0.2261543,-0.2846013,-0.058447
