,staples_male,staples_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.57162386,0.47314408,"('unsociable', 'sociable')",-0.25817522,-0.4969735,0.1567243,-0.0119147,-0.168639
1,1.3123143,1.592792,"('unfriendly', 'friendly')",1.846549,1.7545753,1.5794317,1.6736836,0.0942519
2,-0.10106175,0.026138317,"('unlikable', 'likable')",0.2267211,0.29953656,0.0628297,0.1628374,0.1000077
3,-0.6965469,-0.5145568,"('repellent', 'pleasant')",-0.086516604,-0.06995109,-0.3915318,-0.292254,0.0992778
4,-0.72083247,-0.6899903,"('disliked', 'liked')",-6.391708,-6.3982825,-3.5562701,-3.5441365,0.0121336
5,-0.04459624,0.07479274,"('distant', 'outgoing')",-0.033706386,0.019370615,-0.0391513,0.0470817,0.086233
6,-0.058996543,0.1596812,"('distant', 'open')",0.28525865,0.3154979,0.1131311,0.2375896,0.1244585
7,0.26397055,0.4442375,"('insensitive', 'sensitive')",0.43361926,0.38445044,0.3487949,0.414344,0.0655491
8,0.53822345,0.72479695,"('unaffectionate', 'affectionate')",0.7167306,0.65419084,0.627477,0.6894939,0.0620169
9,1.5331366,1.8141512,"('unaffectionate', 'caring')",0.78062856,0.82276064,1.1568825,1.3184559,0.1615734
10,0.44577223,0.5796911,"('unsympathetic', 'sympathetic')",-0.39660197,-0.5206762,0.0245851,0.0295075,0.0049224
11,-0.109757476,-0.018788151,"('unhelpful', 'helpful')",2.0110564,2.0718162,0.9506495,1.0265141,0.0758646
12,1.4752465,1.7555164,"('unsupportive', 'supportive')",-1.6659003,-1.6426176,-0.0953269,0.0564494,0.1517763
13,0.14098652,-0.028339755,"('impolite', 'polite')",-0.5620265,-0.60096323,-0.21052,-0.3146515,-0.1041315
14,-0.29799774,-0.4402694,"('antisocial', 'social')",-0.941791,-1.0611467,-0.6198944,-0.7507081,-0.1308137
15,0.10084319,0.0504246,"('boring', 'funny')",0.15262055,0.14632988,0.1267319,0.0983772,-0.0283547
