,transdigm_male,transdigm_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.4554075,-1.479076,"('unsociable', 'sociable')",0.69797295,0.5344304,-0.40756792,-0.47853172,-0.3883342,-0.4743925,-0.0860583
1,-2.1532865,-2.2327635,"('unfriendly', 'friendly')",-0.8290362,-0.9861188,2.0867217,1.9985352,-0.2985337,-0.4067824,-0.1082487
2,0.2307868,0.21401024,"('unlikable', 'likable')",1.4112208,1.3850188,0.6398721,0.7385601,0.7606266,0.7791964,0.0185698
3,-0.35055485,-0.19442913,"('repellent', 'pleasant')",0.76296496,0.8787954,0.02723428,0.11823953,0.1465481,0.2675352,0.1209871
4,-0.49063748,-0.6119244,"('disliked', 'liked')",-0.3339852,-0.45264262,-6.173616,-6.3305163,-2.3327462,-2.4650278,-0.1322816
5,-0.94698447,-0.9126921,"('distant', 'outgoing')",-2.2689645,-2.1872523,-0.05710402,-0.08156124,-1.0910177,-1.0605019,0.0305158
6,-1.1754616,-1.1393521,"('distant', 'open')",-2.5510776,-2.471509,0.5675273,0.49600962,-1.0530039,-1.0382838,0.0147201
7,-0.5148646,-0.39914528,"('insensitive', 'sensitive')",-0.16807681,-0.081711374,0.48953,0.5546435,-0.0644705,0.0245956,0.0890661
8,-1.9110789,-2.0867314,"('unaffectionate', 'affectionate')",-0.5936052,-0.6747,0.9649345,0.8490912,-0.5132499,-0.6374468,-0.1241969
9,-1.9961656,-2.1121264,"('unaffectionate', 'caring')",-0.86553335,-0.98158044,1.1978025,1.1462252,-0.5546322,-0.6491605,-0.0945283
10,-1.3596736,-1.2248081,"('unsympathetic', 'sympathetic')",-0.2364393,-0.20604992,-0.58206534,-0.5125487,-0.7260594,-0.6478022,0.0782572
11,-0.53941566,-0.5074826,"('unhelpful', 'helpful')",-0.17463902,-0.18448976,1.43936,1.4893823,0.2417684,0.2658033,0.0240349
12,-0.79327863,-0.68876106,"('unsupportive', 'supportive')",0.15606783,0.27933025,-1.9045155,-1.8573648,-0.8472421,-0.7555985,0.0916436
13,-0.59702593,-0.4936121,"('impolite', 'polite')",-0.0042360574,0.0410464,-0.7993786,-0.73459804,-0.4668802,-0.3957212,0.071159
14,0.30839068,0.3475281,"('antisocial', 'social')",1.8884562,1.9235476,-0.33392432,-0.33736938,0.6209742,0.6445688,0.0235946
15,0.32145354,0.19783257,"('boring', 'funny')",-0.49899885,-0.5954609,0.8448071,0.77832496,0.2224206,0.1268989,-0.0955217
16,-0.25943023,-0.3163342,"('unpopular', 'popular')",-0.3263916,-0.3708131,0.6667526,0.6503755,0.0269769,-0.0122573,-0.0392342
17,-0.12758864,-0.10625139,"('nasty', 'nice')",-0.77819705,-0.75451773,-0.22390784,-0.2193324,-0.3765645,-0.3600338,0.0165307
18,-0.023515917,0.026888534,"('disagreeable', 'welcoming')",-0.6666762,-0.62753016,-0.31562003,-0.36687034,-0.3352707,-0.322504,0.0127667
19,-1.3513236,-1.3530204,"('inhospitable', 'hospitable')",-2.1345696,-2.1845503,-0.10941633,-0.059468362,-1.1984365,-1.199013,-0.0005765
20,0.09473466,0.17910418,"('rough', 'thoughtful')",1.3747772,1.436267,1.1757168,1.1577408,0.8817429,0.9243707,0.0426278
21,-0.369321,-0.34684286,"('immoral', 'moral')",0.5550781,0.49914968,-0.9941391,-0.9094131,-0.2694607,-0.2523688,0.0170919
22,-0.11935493,-0.08590234,"('untrustworthy', 'trustworthy')",0.81793165,0.76472753,-1.0643117,-1.0766312,-0.1219117,-0.132602,-0.0106903
