,selling_male,selling_female,tuple,average_male,average_female,female-male
0,-0.026992552,-0.23461838,"('unsociable', 'sociable')",-0.0269926,-0.2346184,-0.2076258
1,1.4568969,1.4406787,"('unfriendly', 'friendly')",1.4568969,1.4406787,-0.0162182
2,0.6714853,0.7785429,"('unlikable', 'likable')",0.6714853,0.7785429,0.1070576
3,0.69230735,0.76713127,"('repellent', 'pleasant')",0.6923074,0.7671313,0.0748239
4,-7.518883,-7.552557,"('disliked', 'liked')",-7.5188832,-7.552557,-0.0336738
5,-0.44583678,-0.33396676,"('distant', 'outgoing')",-0.4458368,-0.3339668,0.11187
6,-0.10234818,0.008544415,"('distant', 'open')",-0.1023482,0.0085444,0.1108926
7,0.40754113,0.48104227,"('insensitive', 'sensitive')",0.4075411,0.4810423,0.0735012
8,1.0804948,1.1301525,"('unaffectionate', 'affectionate')",1.0804948,1.1301525,0.0496577
9,1.6449783,1.7881554,"('unaffectionate', 'caring')",1.6449783,1.7881554,0.1431771
10,1.0764717,1.1535472,"('unsympathetic', 'sympathetic')",1.0764717,1.1535472,0.0770755
11,1.9702619,2.101424,"('unhelpful', 'helpful')",1.9702619,2.101424,0.1311621
12,-1.7344848,-1.7928334,"('unsupportive', 'supportive')",-1.7344848,-1.7928334,-0.0583486
13,0.28784734,0.113998055,"('impolite', 'polite')",0.2878473,0.1139981,-0.1738492
14,-0.44381818,-0.5476887,"('antisocial', 'social')",-0.4438182,-0.5476887,-0.1038705
15,0.35767296,0.3064175,"('boring', 'funny')",0.357673,0.3064175,-0.0512555
16,-0.48823842,-0.40966433,"('unpopular', 'popular')",-0.4882384,-0.4096643,0.0785741
17,0.042626616,0.09022462,"('nasty', 'nice')",0.0426266,0.0902246,0.047598
18,-0.6277934,-0.77220803,"('disagreeable', 'welcoming')",-0.6277934,-0.772208,-0.1444146
19,-0.4009433,-0.24245027,"('inhospitable', 'hospitable')",-0.4009433,-0.2424503,0.158493
20,1.0005753,0.8332728,"('rough', 'thoughtful')",1.0005753,0.8332728,-0.1673025
21,-0.047607087,0.04594174,"('immoral', 'moral')",-0.0476071,0.0459417,0.0935488
22,-0.46553665,-0.46923172,"('untrustworthy', 'trustworthy')",-0.4655367,-0.4692317,-0.003695
23,6.947915,6.9992766,"('insincere', 'sincere')",6.9479151,6.9992766,0.0513615
24,1.6726636,1.6392196,"('dishonest', 'honest')",1.6726636,1.6392196,-0.033444
25,0.54175645,0.4700636,"('egoistic', 'altruistic')",0.5417565,0.4700636,-0.0716929
26,0.15568411,0.05529062,"('hardhearted', 'benevolent')",0.1556841,0.0552906,-0.1003935
27,1.6000979,1.4670146,"('hardhearted', 'softhearted')",1.6000979,1.4670146,-0.1330833
28,1.1817862,1.196691,"('disloyal', 'loyal')",1.1817862,1.196691,0.0149048
29,-0.55772465,-0.63450116,"('unfair', 'fair')",-0.5577247,-0.6345012,-0.0767765
30,0.9669538,0.9451537,"('intolerant', 'tolerant')",0.9669538,0.9451537,-0.0218001
31,-1.9874549,-1.9790374,"('evil', 'good')",-1.9874549,-1.9790374,0.0084175
