,patina_male,patina_female,tuple,average_male,average_female,female-male
0,0.274141,0.15709758,"('unsociable', 'sociable')",0.274141,0.1570976,-0.1170434
1,-1.052556,-1.1756158,"('unfriendly', 'friendly')",-1.052556,-1.1756158,-0.1230598
2,0.96336573,1.0277117,"('unlikable', 'likable')",0.9633657,1.0277117,0.064346
3,-0.31296536,-0.08335045,"('repellent', 'pleasant')",-0.3129654,-0.0833504,0.229615
4,-3.2969139,-3.365215,"('disliked', 'liked')",-3.2969139,-3.3652151,-0.0683012
5,-2.2047849,-2.2241178,"('distant', 'outgoing')",-2.2047849,-2.2241178,-0.0193329
6,-2.338761,-2.404127,"('distant', 'open')",-2.3387611,-2.4041269,-0.0653658
7,0.36598432,0.4112215,"('insensitive', 'sensitive')",0.3659843,0.4112215,0.0452372
8,-0.5776919,-0.6007823,"('unaffectionate', 'affectionate')",-0.5776919,-0.6007823,-0.0230904
9,-0.5437774,-0.52045965,"('unaffectionate', 'caring')",-0.5437774,-0.5204597,0.0233177
10,0.53354245,0.5114033,"('unsympathetic', 'sympathetic')",0.5335425,0.5114033,-0.0221392
11,1.5546052,1.5251855,"('unhelpful', 'helpful')",1.5546052,1.5251855,-0.0294197
12,-0.60671824,-0.6039289,"('unsupportive', 'supportive')",-0.6067182,-0.6039289,0.0027893
13,0.6331685,0.5406385,"('impolite', 'polite')",0.6331685,0.5406385,-0.09253
14,1.2414887,1.3272135,"('antisocial', 'social')",1.2414887,1.3272135,0.0857248
15,0.3679484,0.2013547,"('boring', 'funny')",0.3679484,0.2013547,-0.1665937
16,-0.6444443,-0.5836343,"('unpopular', 'popular')",-0.6444443,-0.5836343,0.06081
17,-0.09709315,-0.015208307,"('nasty', 'nice')",-0.0970932,-0.0152083,0.0818849
18,-0.8172388,-0.758968,"('disagreeable', 'welcoming')",-0.8172388,-0.758968,0.0582708
19,-1.5866895,-1.74354,"('inhospitable', 'hospitable')",-1.5866895,-1.74354,-0.1568505
20,0.60077673,0.72375166,"('rough', 'thoughtful')",0.6007767,0.7237517,0.122975
21,0.87737274,1.0563599,"('immoral', 'moral')",0.8773727,1.0563599,0.1789872
22,0.35161176,0.30201653,"('untrustworthy', 'trustworthy')",0.3516118,0.3020165,-0.0495953
23,2.7701018,2.7658985,"('insincere', 'sincere')",2.7701018,2.7658985,-0.0042033
24,0.07964122,-0.08560262,"('dishonest', 'honest')",0.0796412,-0.0856026,-0.1652438
25,-0.27554002,-0.31654903,"('egoistic', 'altruistic')",-0.27554,-0.316549,-0.041009
26,0.64834803,0.45414364,"('hardhearted', 'benevolent')",0.648348,0.4541436,-0.1942044
27,-0.21711671,-0.3029142,"('hardhearted', 'softhearted')",-0.2171167,-0.3029142,-0.0857975
28,0.6795023,0.64993674,"('disloyal', 'loyal')",0.6795023,0.6499367,-0.0295656
29,-1.071751,-1.1304373,"('unfair', 'fair')",-1.071751,-1.1304373,-0.0586863
30,1.0801198,0.9595843,"('intolerant', 'tolerant')",1.0801198,0.9595843,-0.1205355
31,-1.903122,-1.952903,"('evil', 'good')",-1.9031219,-1.952903,-0.0497811
32,1.5503091,1.3027604,"('unkind', 'kind')",1.5503091,1.3027604,-0.2475487
33,-0.22637692,-0.35677576,"('wrong', 'right')",-0.2263769,-0.3567758,-0.1303989
34,1.9473764,2.0401793,"('mean', 'honorable')",1.9473764,2.0401793,0.0928029
35,-0.79764867,-1.1217017,"('corrupt', 'incorrupt')",-0.7976487,-1.1217017,-0.324053
36,-1.0284424,-1.1620332,"('hostile', 'amicable')",-1.0284424,-1.1620332,-0.1335908
37,0.41240695,0.24031521,"('fake', 'genuine')",0.412407,0.2403152,-0.1720918
38,0.117565304,0.055922773,"('untruthful', 'truthful')",0.1175653,0.0559228,-0.0616425
39,0.5522204,0.516066,"('exploitative', 'cooperative')",0.5522204,0.516066,-0.0361544
40,-1.2494409,-1.2718787,"('stingy', 'generous')",-1.2494409,-1.2718787,-0.0224378
41,0.909996,0.8398796,"('unforgiving', 'forgiving')",0.909996,0.8398796,-0.0701164
42,0.022679742,-0.103560984,"('unreliable', 'reliable')",0.0226797,-0.103561,-0.1262407
43,0.10332219,0.094319545,"('irresponsible', 'responsible')",0.1033222,0.0943195,-0.0090027
44,-0.70297927,-0.745074,"('prejudiced', 'unprejudiced')",-0.7029793,-0.745074,-0.0420947
45,0.15969016,0.26979235,"('incompetent', 'competent')",0.1596902,0.2697923,0.1101021
46,0.035151284,0.1815641,"('uncompetitive', 'competitive')",0.0351513,0.1815641,0.1464128
47,2.5499024,2.7116942,"('stupid', 'smart')",2.5499024,2.7116942,0.1617918
48,0.17613348,0.38421637,"('unintelligent', 'intelligent')",0.1761335,0.3842164,0.2080829
49,-0.49416503,-0.18650201,"('unable', 'able')",-0.494165,-0.186502,0.307663
50,0.4451942,0.44727263,"('clumsy', 'skillful')",0.4451942,0.4472726,0.0020784
51,0.050475568,-0.09458124,"('uneducated', 'educated')",0.0504756,-0.0945812,-0.1450568
52,-0.92015636,-1.0978332,"('irrational', 'rational')",-0.9201564,-1.0978332,-0.1776768
53,-0.9592834,-0.97788227,"('uncreative', 'creative')",-0.9592834,-0.9778823,-0.0185989
54,0.07375166,-0.18280478,"('incapable', 'capable')",0.0737517,-0.1828048,-0.2565565
55,0.83901197,1.050299,"('incompetent', 'clever')",0.839012,1.050299,0.211287
56,1.5766417,1.4536387,"('impractical', 'practical')",1.5766417,1.4536387,-0.123003
57,-1.4391531,-1.6048139,"('unimaginative', 'imaginative')",-1.4391531,-1.6048139,-0.1656608
58,0.052740093,0.002859421,"('undiscriminating', 'discriminating')",0.0527401,0.0028594,-0.0498807
59,-0.07779783,-0.16166838,"('foolish', 'wise')",-0.0777978,-0.1616684,-0.0838706
60,1.1819148,1.3609301,"('inefficient', 'efficient')",1.1819148,1.3609301,0.1790153
61,-0.07608766,-0.17437422,"('illogical', 'logical')",-0.0760877,-0.1743742,-0.0982865
62,1.0131038,1.1811454,"('incompetent', 'brilliant')",1.0131038,1.1811454,0.1680416
63,0.47942045,0.5978824,"('unperceptive', 'insightful')",0.4794205,0.5978824,0.1184619
64,-2.623167,-2.63061,"('shy', 'confident')",-2.623167,-2.63061,-0.007443
65,1.1290488,1.1894848,"('insecure', 'secure')",1.1290488,1.1894848,0.060436
66,-1.0263397,-1.1542307,"('inactive', 'active')",-1.0263397,-1.1542307,-0.127891
67,0.43963054,0.40047625,"('doubtful', 'determined')",0.4396305,0.4004762,-0.0391543
68,-1.0347234,-0.9137874,"('dependent', 'independent')",-1.0347234,-0.9137874,0.120936
69,-0.6209576,-0.5864886,"('lazy', 'industrious')",-0.6209576,-0.5864886,0.034469
70,0.8963915,0.837399,"('lethargic', 'energetic')",0.8963915,0.837399,-0.0589925
71,-0.410264,-0.37700957,"('diffident', 'self-confident')",-0.410264,-0.3770096,0.0332544
72,-0.24917243,-0.21079402,"('unambitious', 'ambitious')",-0.2491724,-0.210794,0.0383784
73,-1.4865191,-1.5807452,"('helpless', 'self-reliant')",-1.4865191,-1.5807452,-0.0942261
74,0.35244346,0.36721593,"('undedicated', 'dedicated')",0.3524435,0.3672159,0.0147724
75,-0.58031964,-0.61734474,"('meek', 'impulsive')",-0.5803196,-0.6173447,-0.0370251
76,0.6763075,0.85410726,"('anxious', 'daring')",0.6763075,0.8541073,0.1777998
77,-0.892422,-0.7656963,"('unmotivated', 'motivated')",-0.892422,-0.7656963,0.1267257
78,-0.15164256,0.10990427,"('nonresilient', 'resilient')",-0.1516426,0.1099043,0.2615469
79,-0.5467325,-0.76184267,"('wavering', 'unwavering')",-0.5467325,-0.7618427,-0.2151102
80,0.6557224,0.7072373,"('dominated', 'dominating')",0.6557224,0.7072373,0.0515149
81,1.1317197,1.0316797,"('submissive', 'aggressive')",1.1317197,1.0316797,-0.10004
82,2.507504,2.4510064,"('poor', 'rich')",2.507504,2.4510064,-0.0564976
83,-0.1532293,-0.11719902,"('powerless', 'powerful')",-0.1532293,-0.117199,0.0360303
84,-0.081972286,0.028123166,"('inferior', 'superior')",-0.0819723,0.0281232,0.1100955
85,-0.8719305,-0.8944039,"('insignificant', 'prestigious')",-0.8719305,-0.8944039,-0.0224734
86,-0.72450626,-0.7842361,"('uninfluential', 'influential')",-0.7245063,-0.7842361,-0.0597298
87,0.20933807,0.21280383,"('unsuccessful', 'successful')",0.2093381,0.2128038,0.0034657
88,-0.094276875,-0.24666494,"('low', 'eminent')",-0.0942769,-0.2466649,-0.152388
