,excellence_male,excellence_female,tuple,average_male,average_female,female-male
0,0.8520804,0.57052094,"('unsociable', 'sociable')",0.8520804,0.5705209,-0.2815595
1,0.8640873,1.0537555,"('unfriendly', 'friendly')",0.8640873,1.0537555,0.1896682
2,-0.16292576,-0.1929352,"('unlikable', 'likable')",-0.1629258,-0.1929352,-0.0300094
3,0.99818873,1.108842,"('repellent', 'pleasant')",0.9981887,1.108842,0.1106533
4,-6.911142,-7.067102,"('disliked', 'liked')",-6.9111419,-7.067102,-0.1559601
5,-0.6290197,-0.483294,"('distant', 'outgoing')",-0.6290197,-0.483294,0.1457257
6,-0.52339196,-0.33173364,"('distant', 'open')",-0.523392,-0.3317336,0.1916584
7,2.000372,1.9359345,"('insensitive', 'sensitive')",2.0003719,1.9359345,-0.0644374
8,0.6726029,0.90492064,"('unaffectionate', 'affectionate')",0.6726029,0.9049206,0.2323177
9,1.8561082,2.0702872,"('unaffectionate', 'caring')",1.8561082,2.0702872,0.214179
10,1.7968887,1.6906334,"('unsympathetic', 'sympathetic')",1.7968887,1.6906334,-0.1062553
11,2.6583781,2.7107785,"('unhelpful', 'helpful')",2.6583781,2.7107785,0.0524004
12,-0.67720866,-0.6829574,"('unsupportive', 'supportive')",-0.6772087,-0.6829574,-0.0057487
13,0.28341305,0.07187991,"('impolite', 'polite')",0.2834131,0.0718799,-0.2115332
14,0.11439196,-0.07830287,"('antisocial', 'social')",0.114392,-0.0783029,-0.1926949
15,0.21261474,0.16130546,"('boring', 'funny')",0.2126147,0.1613055,-0.0513092
16,-0.35865498,-0.27130523,"('unpopular', 'popular')",-0.358655,-0.2713052,0.0873498
17,-0.2267024,-0.22284871,"('nasty', 'nice')",-0.2267024,-0.2228487,0.0038537
18,-0.7479146,-0.6428968,"('disagreeable', 'welcoming')",-0.7479146,-0.6428968,0.1050178
19,-0.4361534,-0.3512042,"('inhospitable', 'hospitable')",-0.4361534,-0.3512042,0.0849492
20,0.8119638,0.60558313,"('rough', 'thoughtful')",0.8119638,0.6055831,-0.2063807
21,0.7758818,0.60540676,"('immoral', 'moral')",0.7758818,0.6054068,-0.170475
22,-0.049489986,-0.13778743,"('untrustworthy', 'trustworthy')",-0.04949,-0.1377874,-0.0882974
23,7.4225063,7.548498,"('insincere', 'sincere')",7.4225063,7.5484982,0.1259919
24,1.6175632,1.7986236,"('dishonest', 'honest')",1.6175632,1.7986236,0.1810604
25,0.5783642,0.66144437,"('egoistic', 'altruistic')",0.5783642,0.6614444,0.0830802
26,0.6404128,0.38967314,"('hardhearted', 'benevolent')",0.6404128,0.3896731,-0.2507397
27,1.7216918,1.6554694,"('hardhearted', 'softhearted')",1.7216918,1.6554694,-0.0662224
28,1.5821291,1.6359632,"('disloyal', 'loyal')",1.5821291,1.6359632,0.0538341
29,-1.141495,-1.2177572,"('unfair', 'fair')",-1.141495,-1.2177572,-0.0762622
30,1.6483982,1.5111873,"('intolerant', 'tolerant')",1.6483982,1.5111873,-0.1372109
31,-2.280238,-2.1650612,"('evil', 'good')",-2.2802379,-2.1650612,0.1151767
32,1.2959652,1.0286103,"('unkind', 'kind')",1.2959652,1.0286103,-0.2673549
