,extra_male,extra_female,tuple,space_male,space_female,storage_male,storage_female,inc_male,inc_female,average_male,average_female,female-male
0,0.020595055,-0.11391687,"('unsociable', 'sociable')",-0.32176995,-0.35512996,1.1270683,1.108106,-0.008661691,-0.0162384,0.2043079,0.1557052,-0.0486027
1,-1.4297469,-1.5045607,"('unfriendly', 'friendly')",-0.7512938,-0.8409283,-0.18326543,-0.3290644,1.9276648,1.6429957,-0.1091604,-0.2578894,-0.148729
2,-0.087030694,-0.047258288,"('unlikable', 'likable')",-0.3149213,-0.28720167,0.472244,0.46199024,0.2513281,0.31861067,0.080405,0.1115352,0.0311302
3,0.3670242,0.42733765,"('repellent', 'pleasant')",-0.16796593,-0.081565976,0.4620965,0.6470542,0.3284307,0.47515562,0.2473964,0.3669954,0.119599
4,-0.7999848,-0.7187244,"('disliked', 'liked')",-0.46653077,-0.44894314,-1.0995026,-1.0928441,-6.370971,-6.5926375,-2.1842475,-2.2132874,-0.0290399
5,-2.0126302,-1.9428757,"('distant', 'outgoing')",-1.4571078,-1.4400551,-1.5661263,-1.646897,-0.5769094,-0.7879443,-1.4031935,-1.454443,-0.0512495
6,-2.3487442,-2.2715366,"('distant', 'open')",-1.4154329,-1.455673,-1.8286684,-1.9237916,0.008297801,-0.18954821,-1.3961369,-1.4601372,-0.0640003
7,0.59514576,0.6033048,"('insensitive', 'sensitive')",0.15533906,0.31965655,0.9619559,1.1371025,1.1833224,1.3079351,0.7239408,0.8419998,0.118059
8,-0.71026593,-0.774943,"('unaffectionate', 'affectionate')",-0.6627561,-0.73560107,-0.6076822,-0.7162932,0.84693694,0.6790833,-0.2834418,-0.3869385,-0.1034967
9,-0.09552958,-0.13323039,"('unaffectionate', 'caring')",-0.85423774,-0.84881103,-0.1213499,-0.19584641,1.3659341,1.2856894,0.0737042,0.0269504,-0.0467538
10,-0.2671607,-0.4025629,"('unsympathetic', 'sympathetic')",-0.5809597,-0.5156099,0.08279656,0.2149404,0.24029298,0.40503982,-0.1312577,-0.0745481,0.0567096
11,1.3291479,1.2850213,"('unhelpful', 'helpful')",0.16258712,0.2549469,0.8660525,0.89534694,2.0219655,2.0756392,1.0949383,1.1277386,0.0328003
12,0.43797508,0.45606038,"('unsupportive', 'supportive')",-0.041975006,0.066184625,0.23657906,0.2873398,-1.5778552,-1.5744164,-0.236319,-0.1912079,0.0451111
13,0.9276289,0.8436781,"('impolite', 'polite')",0.44022167,0.450832,0.78234696,0.7734966,-0.21983188,-0.15246725,0.4825914,0.4788849,-0.0037065
14,0.58163416,0.6298633,"('antisocial', 'social')",0.49259433,0.64983684,2.0264082,2.1539237,-0.20257214,-0.11515935,0.7245162,0.8296161,0.1050999
15,-0.57025504,-0.574781,"('boring', 'funny')",-0.0021715537,-0.048557185,0.06994885,-0.075806744,0.55188423,0.4278055,0.0123516,-0.0678348,-0.0801864
16,-1.0281847,-0.9441529,"('unpopular', 'popular')",-0.47396544,-0.46931314,-0.5201016,-0.4685211,0.46815914,0.45186737,-0.3885231,-0.3575299,0.0309932
