,filth_male,filth_female,tuple,average_male,average_female,female-male
0,-0.59288055,-0.7238538,"('unsociable', 'sociable')",-0.5928805,-0.7238538,-0.1309733
1,-1.1119831,-1.26976,"('unfriendly', 'friendly')",-1.1119831,-1.26976,-0.1577769
2,-1.3315653,-1.4983541,"('unlikable', 'likable')",-1.3315653,-1.4983541,-0.1667888
3,-1.1777779,-1.0805981,"('repellent', 'pleasant')",-1.1777779,-1.0805981,0.0971798
4,-1.4897946,-1.2929132,"('disliked', 'liked')",-1.4897946,-1.2929132,0.1968814
5,-0.6498185,-0.6643347,"('distant', 'outgoing')",-0.6498185,-0.6643347,-0.0145162
6,-1.134414,-1.1936955,"('distant', 'open')",-1.134414,-1.1936955,-0.0592815
7,-1.0646443,-1.0498834,"('insensitive', 'sensitive')",-1.0646443,-1.0498834,0.0147609
8,-1.3010899,-1.4262424,"('unaffectionate', 'affectionate')",-1.3010899,-1.4262424,-0.1251525
9,-0.75640935,-0.8269668,"('unaffectionate', 'caring')",-0.7564093,-0.8269668,-0.0705575
10,-1.3599902,-1.3683244,"('unsympathetic', 'sympathetic')",-1.3599902,-1.3683244,-0.0083342
11,0.09738468,0.14045738,"('unhelpful', 'helpful')",0.0973847,0.1404574,0.0430727
12,-1.0170547,-0.9289606,"('unsupportive', 'supportive')",-1.0170547,-0.9289606,0.0880941
13,-0.46070302,-0.56155556,"('impolite', 'polite')",-0.460703,-0.5615556,-0.1008526
14,-0.21213004,-0.36037642,"('antisocial', 'social')",-0.21213,-0.3603764,-0.1482464
15,-0.34891766,-0.45733446,"('boring', 'funny')",-0.3489177,-0.4573345,-0.1084168
16,-1.0823315,-1.1109909,"('unpopular', 'popular')",-1.0823315,-1.1109909,-0.0286594
17,-0.67018926,-0.6961533,"('nasty', 'nice')",-0.6701893,-0.6961533,-0.025964
18,-1.5618998,-1.7045512,"('disagreeable', 'welcoming')",-1.5618998,-1.7045512,-0.1426514
19,-2.0859203,-1.9731721,"('inhospitable', 'hospitable')",-2.0859203,-1.9731721,0.1127482
20,-0.7696931,-0.90169877,"('rough', 'thoughtful')",-0.7696931,-0.9016988,-0.1320057
21,-0.7718915,-0.7831396,"('immoral', 'moral')",-0.7718915,-0.7831396,-0.0112481
22,-0.94709176,-1.1141466,"('untrustworthy', 'trustworthy')",-0.9470918,-1.1141466,-0.1670548
23,0.26898706,0.094621174,"('insincere', 'sincere')",0.2689871,0.0946212,-0.1743659
24,-0.9747636,-1.1973362,"('dishonest', 'honest')",-0.9747636,-1.1973362,-0.2225726
25,-0.7384626,-0.994553,"('egoistic', 'altruistic')",-0.7384626,-0.994553,-0.2560904
26,-0.11073105,-0.34290898,"('hardhearted', 'benevolent')",-0.1107311,-0.342909,-0.2321779
27,-0.2508056,-0.4460387,"('hardhearted', 'softhearted')",-0.2508056,-0.4460387,-0.1952331
28,-0.58210266,-0.6080109,"('disloyal', 'loyal')",-0.5821027,-0.6080109,-0.0259082
29,-1.285464,-1.4072543,"('unfair', 'fair')",-1.285464,-1.4072543,-0.1217903
30,-0.09203501,-0.07303918,"('intolerant', 'tolerant')",-0.092035,-0.0730392,0.0189958
31,-2.2667346,-2.3106246,"('evil', 'good')",-2.2667346,-2.3106246,-0.04389
32,-0.26075682,-0.46672195,"('unkind', 'kind')",-0.2607568,-0.466722,-0.2059652
33,-0.36153978,-0.46370605,"('wrong', 'right')",-0.3615398,-0.463706,-0.1021662
34,0.98492074,0.9980136,"('mean', 'honorable')",0.9849207,0.9980136,0.0130929
35,-0.5891538,-0.80883515,"('corrupt', 'incorrupt')",-0.5891538,-0.8088351,-0.2196813
36,-1.2528503,-1.243944,"('hostile', 'amicable')",-1.2528503,-1.243944,0.0089063
37,-1.1438634,-1.2581985,"('fake', 'genuine')",-1.1438634,-1.2581985,-0.1143351
38,-0.7100521,-0.69284433,"('untruthful', 'truthful')",-0.7100521,-0.6928443,0.0172078
39,-0.22456895,-0.27388963,"('exploitative', 'cooperative')",-0.2245689,-0.2738896,-0.0493207
40,-0.979955,-1.0937172,"('stingy', 'generous')",-0.979955,-1.0937172,-0.1137622
41,-0.5111288,-0.58791864,"('unforgiving', 'forgiving')",-0.5111288,-0.5879186,-0.0767898
42,-1.047152,-1.0140945,"('unreliable', 'reliable')",-1.047152,-1.0140945,0.0330575
43,-0.892804,-1.0144664,"('irresponsible', 'responsible')",-0.892804,-1.0144664,-0.1216624
44,-0.3182653,-0.40278152,"('prejudiced', 'unprejudiced')",-0.3182653,-0.4027815,-0.0845162
45,-0.93116266,-0.9584636,"('incompetent', 'competent')",-0.9311627,-0.9584636,-0.0273009
46,-1.340207,-1.245961,"('uncompetitive', 'competitive')",-1.340207,-1.245961,0.094246
47,0.9903454,0.7744148,"('stupid', 'smart')",0.9903454,0.7744148,-0.2159306
48,-0.44435883,-0.528727,"('unintelligent', 'intelligent')",-0.4443588,-0.528727,-0.0843682
49,-0.42576066,-0.28986877,"('unable', 'able')",-0.4257607,-0.2898688,0.1358919
50,-0.80982155,-0.8011151,"('clumsy', 'skillful')",-0.8098215,-0.8011151,0.0087064
51,-0.71081835,-0.6871183,"('uneducated', 'educated')",-0.7108184,-0.6871183,0.0237001
52,-1.2497234,-1.394917,"('irrational', 'rational')",-1.2497234,-1.394917,-0.1451936
53,-2.2847292,-2.4366302,"('uncreative', 'creative')",-2.2847292,-2.4366302,-0.151901
54,-1.3093302,-1.3330486,"('incapable', 'capable')",-1.3093302,-1.3330486,-0.0237184
55,-0.30297256,-0.32792214,"('incompetent', 'clever')",-0.3029726,-0.3279221,-0.0249495
56,0.8263785,0.7718515,"('impractical', 'practical')",0.8263785,0.7718515,-0.054527
57,-1.505214,-1.5178918,"('unimaginative', 'imaginative')",-1.505214,-1.5178918,-0.0126778
58,-0.8966491,-0.8456432,"('undiscriminating', 'discriminating')",-0.8966491,-0.8456432,0.0510059
59,-0.5157282,-0.5285048,"('foolish', 'wise')",-0.5157282,-0.5285048,-0.0127766
60,0.123873755,0.09059325,"('inefficient', 'efficient')",0.1238738,0.0905932,-0.0332806
61,-1.8362384,-2.0910516,"('illogical', 'logical')",-1.8362384,-2.0910516,-0.2548132
62,-0.28362918,-0.2434757,"('incompetent', 'brilliant')",-0.2836292,-0.2434757,0.0401535
63,-0.70226914,-0.5847672,"('unperceptive', 'insightful')",-0.7022691,-0.5847672,0.1175019
64,-1.543208,-1.514196,"('shy', 'confident')",-1.543208,-1.514196,0.029012
65,-0.30948502,-0.41886684,"('insecure', 'secure')",-0.309485,-0.4188668,-0.1093818
66,-1.6090465,-1.7781647,"('inactive', 'active')",-1.6090465,-1.7781647,-0.1691182
67,0.21381943,0.27313474,"('doubtful', 'determined')",0.2138194,0.2731347,0.0593153
68,-0.8516916,-0.7696617,"('dependent', 'independent')",-0.8516916,-0.7696617,0.0820299
69,-0.7371775,-0.9224862,"('lazy', 'industrious')",-0.7371775,-0.9224862,-0.1853087
70,-0.8177248,-0.8532654,"('lethargic', 'energetic')",-0.8177248,-0.8532654,-0.0355406
71,-0.29659992,-0.23994745,"('diffident', 'self-confident')",-0.2965999,-0.2399475,0.0566524
72,-0.6836377,-0.68198895,"('unambitious', 'ambitious')",-0.6836377,-0.681989,0.0016487
73,-0.12319109,-0.032753274,"('helpless', 'self-reliant')",-0.1231911,-0.0327533,0.0904378
74,-0.8876937,-0.9166775,"('undedicated', 'dedicated')",-0.8876937,-0.9166775,-0.0289838
