,hunt_male,hunt_female,tuple,jb_male,jb_female,transport_male,transport_female,services_male,services_female,inc_male,inc_female,average_male,average_female,female-male
0,2.9690297,2.9247937,"('unsociable', 'sociable')",0.039299324,-0.14809057,0.45668355,0.45403746,0.95253754,0.87860644,0.22978716,0.09935715,0.9294675,0.8417408,-0.0877267
1,-1.6328834,-1.5529385,"('unfriendly', 'friendly')",-2.2555249,-2.3034918,0.8869552,0.98533964,-0.0005936865,-0.07652658,1.530847,1.4083073,-0.2942399,-0.307862,-0.0136221
2,1.1913259,1.18748,"('unlikable', 'likable')",1.4664023,1.505145,0.659443,0.715813,1.2865386,1.3162758,0.7899494,0.8612849,1.0787318,1.1171997,0.0384679
3,1.4453082,1.4808286,"('repellent', 'pleasant')",0.7966183,0.81211245,-0.35905147,-0.23490928,0.3973003,0.5016487,0.6497756,0.63109064,0.5859901,0.6381542,0.0521641
4,-3.7623231,-3.752066,"('disliked', 'liked')",-0.011369713,-0.05208333,0.3508886,0.2524838,0.2942692,0.23394434,-5.444566,-5.5464206,-1.7146202,-1.7728283,-0.0582081
5,-4.043771,-4.0445642,"('distant', 'outgoing')",-1.0423232,-0.9798474,0.51022696,0.51257503,-0.67269164,-0.679267,-0.5798224,-0.5525173,-1.1656762,-1.1487242,0.016952
6,-4.1368885,-4.1539946,"('distant', 'open')",-1.5997244,-1.5338113,0.17743781,0.1976131,-1.2587857,-1.3029345,-0.015214205,-0.0747938,-1.3666349,-1.3735843,-0.0069494
7,4.1127663,4.1698933,"('insensitive', 'sensitive')",0.23197816,0.2402951,0.6560945,0.7593129,0.5776286,0.60548466,1.3681294,1.3136054,1.3893193,1.4177182,0.0283989
8,-1.4917774,-1.5205297,"('unaffectionate', 'affectionate')",-1.8650005,-1.8864266,0.6833438,0.65552753,-0.3229517,-0.39155832,0.5877953,0.44583446,-0.4817181,-0.5394305,-0.0577124
9,-0.21442793,-0.23505603,"('unaffectionate', 'caring')",-1.1225612,-1.1502832,0.7119502,0.70429623,0.5198593,0.43019328,1.2142407,1.1396592,0.2218122,0.1777619,-0.0440503
10,4.0358677,4.0557733,"('unsympathetic', 'sympathetic')",-0.4610216,-0.5364363,-0.5262744,-0.40317112,0.12410058,0.15170781,0.5149842,0.43161198,0.7375313,0.7398972,0.0023659
