,cbre_male,cbre_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.4638296,-0.6096366,"('unsociable', 'sociable')",0.87321633,0.6858632,-0.31130746,-0.38883528,0.0326931,-0.1042029,-0.136896
1,-0.45745093,-0.7319426,"('unfriendly', 'friendly')",-0.5878556,-0.7543399,1.6081424,1.4403912,0.187612,-0.0152971,-0.2029091
2,1.4555117,1.4825195,"('unlikable', 'likable')",1.7559471,1.7742883,0.7123665,0.8368613,1.3079418,1.3645563,0.0566145
3,-0.40018114,-0.29452634,"('repellent', 'pleasant')",0.713251,0.8719558,0.19611627,0.3329652,0.1697287,0.3034649,0.1337362
4,0.4762904,0.3330408,"('disliked', 'liked')",0.070103,-0.10945282,-6.3623495,-6.3429384,-1.938652,-2.0397835,-0.1011315
5,-0.7645969,-0.8292314,"('distant', 'outgoing')",-2.3058689,-2.263655,-0.25106272,-0.32174218,-1.1071761,-1.1382095,-0.0310334
6,-0.81287104,-0.9217746,"('distant', 'open')",-2.4581456,-2.4246948,0.21907791,0.09827216,-1.0173129,-1.0827324,-0.0654195
7,0.40713003,0.45803005,"('insensitive', 'sensitive')",0.4867976,0.5368832,0.8546668,0.95329374,0.5828648,0.6494023,0.0665375
8,-0.52992105,-0.6928465,"('unaffectionate', 'affectionate')",-0.76123416,-0.8266049,0.6077742,0.43575114,-0.2277937,-0.3612334,-0.1334397
9,0.16231374,0.0153309,"('unaffectionate', 'caring')",-0.33471,-0.43368787,1.1927037,1.1236831,0.3401025,0.2351087,-0.1049938
10,-0.63996434,-0.5468341,"('unsympathetic', 'sympathetic')",0.4257984,0.4893608,-0.05241708,0.013009004,-0.088861,-0.0148214,0.0740396
11,0.5335836,0.6184099,"('unhelpful', 'helpful')",0.36621696,0.3593576,2.1039157,2.1163685,1.0012387,1.0313787,0.03014
12,0.838397,0.89037794,"('unsupportive', 'supportive')",0.8516563,0.9377026,-1.7210498,-1.6440662,-0.0103321,0.0613381,0.0716702
13,0.032849368,0.116802275,"('impolite', 'polite')",0.5907676,0.6348819,-0.14619344,-0.055319324,0.1591412,0.2321216,0.0729804
14,0.4652023,0.49530908,"('antisocial', 'social')",2.3689685,2.4130766,-0.13767652,-0.06027498,0.8988314,0.9493702,0.0505388
15,1.0262533,0.90446454,"('boring', 'funny')",-0.5508058,-0.65254736,0.75339323,0.6956359,0.4096136,0.315851,-0.0937626
16,0.01700658,-0.078447945,"('unpopular', 'popular')",-0.32664037,-0.37415633,0.38236922,0.37554753,0.0242451,-0.0256856,-0.0499307
17,0.45102075,0.5147859,"('nasty', 'nice')",-0.4260431,-0.3978862,-0.18900234,-0.19563659,-0.0546749,-0.0262456,0.0284293
18,-0.24373849,-0.36962944,"('disagreeable', 'welcoming')",-0.6624036,-0.6530988,-0.48486578,-0.49508145,-0.4636693,-0.5059365,-0.0422672
19,-0.06280737,-0.13132843,"('inhospitable', 'hospitable')",-1.630137,-1.7215059,-0.1322552,-0.1586433,-0.6083998,-0.6704926,-0.0620928
20,-0.031098686,0.01218893,"('rough', 'thoughtful')",1.1963243,1.2592742,0.9962751,1.0137368,0.7205002,0.7617334,0.0412332
21,-0.07742891,-6.691925e-05,"('immoral', 'moral')",0.8068484,0.8359382,-0.9678283,-0.8022311,-0.0794696,0.0112134,0.090683
22,0.25999862,0.3095632,"('untrustworthy', 'trustworthy')",0.89321136,0.90777844,-0.92598945,-0.90410084,0.0757402,0.1044136,0.0286734
23,-0.22596203,-0.21032935,"('insincere', 'sincere')",0.4722714,0.52615666,6.054171,5.900754,2.1001601,2.0721938,-0.0279663
24,0.31549916,0.31734717,"('dishonest', 'honest')",-0.0011658147,0.042515658,0.84175724,0.8275479,0.3853635,0.3958036,0.0104401
25,0.1374877,0.005918732,"('egoistic', 'altruistic')",-0.486928,-0.6516706,1.3736185,1.2684239,0.3413928,0.2075574,-0.1338354
26,0.6120571,0.5172704,"('hardhearted', 'benevolent')",1.217241,1.2056267,1.6532714,1.6128961,1.1608566,1.111931,-0.0489256
27,-0.3367101,-0.32092768,"('hardhearted', 'softhearted')",-0.9345874,-0.8662268,1.1037642,1.0304867,-0.0558444,-0.0522226,0.0036218
28,-0.11563772,-0.22305875,"('disloyal', 'loyal')",0.50118107,0.3873123,0.94408363,0.78720117,0.443209,0.3171516,-0.1260574
29,0.07694473,0.029739818,"('unfair', 'fair')",-0.30050123,-0.36153024,-0.73483276,-0.9338572,-0.3194631,-0.4218825,-0.1024194
30,0.8802407,0.8603838,"('intolerant', 'tolerant')",1.123831,1.0515504,1.5620329,1.5892756,1.1887016,1.1670699,-0.0216317
31,-0.2878753,-0.38988838,"('evil', 'good')",-1.3768358,-1.4583879,-1.0710659,-1.2287965,-0.9119256,-1.0256909,-0.1137653
32,0.46968454,0.46827507,"('unkind', 'kind')",1.1748309,1.1138501,0.92573506,0.86609,0.8567502,0.8160717,-0.0406785
33,0.97930604,0.8426319,"('wrong', 'right')",-0.6878341,-0.71639585,-0.40041208,-0.461909,-0.0363134,-0.111891,-0.0755776
34,0.18096824,0.2221244,"('mean', 'honorable')",-0.15130967,-0.041321907,5.922023,5.9581146,1.9838939,2.0463057,0.0624118
35,0.6130005,0.47648853,"('corrupt', 'incorrupt')",-1.7865802,-1.8857577,-0.019165915,-0.25362092,-0.3975819,-0.5542967,-0.1567148
