,verizon_male,verizon_female,tuple,communications_male,communications_female,inc_male,inc_female,average_male,average_female,female-male
0,-2.3433533,-2.446241,"('unsociable', 'sociable')",-0.3421265,-0.58719254,-0.60067064,-0.7163079,-1.0953834,-1.2499138,-0.1545304
1,-0.23858243,-0.44926873,"('unfriendly', 'friendly')",0.41748646,0.08427377,1.7562531,1.4996561,0.6450524,0.3782204,-0.266832
2,0.08250517,0.036570214,"('unlikable', 'likable')",1.3816255,1.3452454,0.80057925,0.84732866,0.7549033,0.743048,-0.0118553
3,-0.8030599,-0.67867136,"('repellent', 'pleasant')",0.5401778,0.6421174,-0.09935565,0.009281168,-0.1207459,-0.0090909,0.111655
4,0.665027,0.6865029,"('disliked', 'liked')",-1.017158,-1.0686889,-5.6933274,-5.7547946,-2.0151528,-2.0456602,-0.0305074
5,1.2504438,1.2189038,"('distant', 'outgoing')",-0.6733996,-0.73780376,-0.23012911,-0.2633479,0.1156384,0.072584,-0.0430544
6,1.2108879,1.168922,"('distant', 'open')",-1.3671231,-1.5062337,0.31440762,0.23403868,0.0527241,-0.0344244,-0.0871485
7,-1.6348964,-1.6392738,"('insensitive', 'sensitive')",-0.03229734,0.017263535,0.5395638,0.521337,-0.3758767,-0.3668911,0.0089856
8,-0.6802058,-0.8046324,"('unaffectionate', 'affectionate')",-0.8521002,-0.9289091,0.5420793,0.36666486,-0.3300755,-0.4556255,-0.12555
9,-0.23489359,-0.33308658,"('unaffectionate', 'caring')",0.013907328,-0.08244014,1.1838742,1.058825,0.3209627,0.2144328,-0.1065299
10,-2.7039335,-2.703174,"('unsympathetic', 'sympathetic')",-0.024632191,-0.003042601,-0.15689406,-0.219435,-0.9618199,-0.9752173,-0.0133974
11,-0.94873893,-0.9481652,"('unhelpful', 'helpful')",1.1440287,1.1588173,1.810326,1.7808899,0.6685386,0.6638473,-0.0046913
12,-0.06873578,-0.08717992,"('unsupportive', 'supportive')",0.45440507,0.48723736,-1.1598455,-1.2423993,-0.2580587,-0.2807806,-0.0227219
13,-1.8513231,-1.8794985,"('impolite', 'polite')",0.2700447,0.22240126,-0.14560156,-0.1457631,-0.5756267,-0.6009534,-0.0253267
14,-2.0060143,-1.9932387,"('antisocial', 'social')",1.4086386,1.4237931,-0.92065465,-0.8314033,-0.5060101,-0.4669496,0.0390605
15,-0.25027066,-0.31449786,"('boring', 'funny')",-0.8527451,-0.9244951,0.21925423,0.21882337,-0.2945872,-0.3400565,-0.0454693
16,0.2627802,0.26606482,"('unpopular', 'popular')",-0.9860631,-0.9254954,0.28983396,0.28742436,-0.144483,-0.1240021,0.0204809
17,-0.3517397,-0.2811831,"('nasty', 'nice')",-1.2387482,-1.1510425,-0.4723494,-0.38285592,-0.6876125,-0.6050272,0.0825853
18,-0.13785875,-0.19382758,"('disagreeable', 'welcoming')",-0.44789004,-0.607703,-0.16695468,-0.23764053,-0.2509012,-0.3463904,-0.0954892
19,0.85930705,0.8340215,"('inhospitable', 'hospitable')",-0.51982474,-0.58597386,-0.12265277,-0.1614473,0.0722765,0.0288668,-0.0434097
20,-0.7009873,-0.67553514,"('rough', 'thoughtful')",0.40740868,0.53424084,1.0983921,1.076907,0.2682712,0.3118709,0.0435997
21,-1.5788352,-1.602568,"('immoral', 'moral')",1.0539498,1.0021425,-0.8587642,-0.82600135,-0.4612165,-0.4754756,-0.0142591
22,-1.3428414,-1.3294709,"('untrustworthy', 'trustworthy')",0.23288888,0.16859531,-1.1840609,-1.1985147,-0.7646712,-0.7864634,-0.0217922
23,-1.5588456,-1.5896128,"('insincere', 'sincere')",0.55805427,0.49108207,4.895684,4.8323665,1.2982975,1.2446119,-0.0536856
24,-1.1611224,-1.2063768,"('dishonest', 'honest')",0.40994793,0.36530182,0.8315998,0.7645529,0.0268084,-0.0255074,-0.0523158
25,0.7163371,0.62861943,"('egoistic', 'altruistic')",0.26353794,0.13471827,1.6761513,1.5977988,0.8853421,0.7870455,-0.0982966
26,-0.22190988,-0.3162421,"('hardhearted', 'benevolent')",-0.36766765,-0.46481305,1.7079309,1.5658484,0.3727845,0.2615977,-0.1111868
27,-0.524624,-0.5392609,"('hardhearted', 'softhearted')",-0.2243837,-0.21482667,1.550637,1.4815285,0.2672098,0.2424803,-0.0247295
28,-1.5601428,-1.6739142,"('disloyal', 'loyal')",-0.827806,-1.0621918,0.780738,0.5855817,-0.5357369,-0.7168414,-0.1811045
