,adrenaline_male,adrenaline_female,tuple,average_male,average_female,female-male
0,-0.08134955,-0.22974211,"('unsociable', 'sociable')",-0.0813496,-0.2297421,-0.1483925
1,1.2500677,1.3541011,"('unfriendly', 'friendly')",1.2500677,1.3541011,0.1040334
2,0.42285556,0.56314933,"('unlikable', 'likable')",0.4228556,0.5631493,0.1402937
3,0.3201323,0.29592612,"('repellent', 'pleasant')",0.3201323,0.2959261,-0.0242062
4,-7.8940964,-7.934844,"('disliked', 'liked')",-7.8940964,-7.934844,-0.0407476
5,-0.14062229,-0.07129072,"('distant', 'outgoing')",-0.1406223,-0.0712907,0.0693316
6,-0.25494182,-0.17617784,"('distant', 'open')",-0.2549418,-0.1761778,0.078764
7,0.85515857,0.89059734,"('insensitive', 'sensitive')",0.8551586,0.8905973,0.0354387
8,1.1245633,1.1490865,"('unaffectionate', 'affectionate')",1.1245633,1.1490865,0.0245232
9,1.9489921,2.0512302,"('unaffectionate', 'caring')",1.9489921,2.0512302,0.1022381
10,1.1515571,1.1389278,"('unsympathetic', 'sympathetic')",1.1515571,1.1389278,-0.0126293
11,2.2076623,2.270709,"('unhelpful', 'helpful')",2.2076623,2.270709,0.0630467
12,-1.4437046,-1.346374,"('unsupportive', 'supportive')",-1.4437046,-1.346374,0.0973306
13,-0.18068683,-0.2654618,"('impolite', 'polite')",-0.1806868,-0.2654618,-0.084775
14,-0.087890446,-0.15454756,"('antisocial', 'social')",-0.0878904,-0.1545476,-0.0666572
15,0.32938838,0.24184148,"('boring', 'funny')",0.3293884,0.2418415,-0.0875469
16,-0.7145269,-0.61038804,"('unpopular', 'popular')",-0.7145269,-0.610388,0.1041389
17,-0.6565248,-0.59688187,"('nasty', 'nice')",-0.6565248,-0.5968819,0.0596429
18,-0.21756,-0.27925634,"('disagreeable', 'welcoming')",-0.21756,-0.2792563,-0.0616963
19,-0.20178463,-0.11371405,"('inhospitable', 'hospitable')",-0.2017846,-0.113714,0.0880706
20,0.63294524,0.6241247,"('rough', 'thoughtful')",0.6329452,0.6241247,-0.0088205
