,omnicom_male,omnicom_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.4903444,-1.629881,"('unsociable', 'sociable')",0.86428094,0.75821966,-0.5833498,-0.6600063,-0.4031378,-0.5105559,-0.1074181
1,-1.1132135,-1.3716979,"('unfriendly', 'friendly')",-0.12521824,-0.33412838,1.7118912,1.638405,0.1578198,-0.0224738,-0.1802936
2,0.18307304,0.17801502,"('unlikable', 'likable')",1.5841509,1.6093215,0.5846007,0.6920624,0.7839416,0.8264662,0.0425246
3,-0.8378608,-0.7641503,"('repellent', 'pleasant')",1.0525687,1.2059197,0.34957543,0.43324426,0.1880944,0.2916712,0.1035768
4,0.4481737,0.27659225,"('disliked', 'liked')",-0.39769036,-0.6079484,-6.860505,-6.9872127,-2.2700073,-2.4395229,-0.1695156
5,-0.22922167,-0.27265066,"('distant', 'outgoing')",-2.2985284,-2.3255847,-0.18620734,-0.18753839,-0.9046524,-0.9285913,-0.0239389
6,-0.47033754,-0.5725595,"('distant', 'open')",-2.3906703,-2.4160585,0.43457362,0.40867934,-0.8088114,-0.8599796,-0.0511682
7,-0.91516167,-0.89909655,"('insensitive', 'sensitive')",0.40392554,0.5298525,0.6930676,0.7819541,0.0606105,0.13757,0.0769595
8,-0.341249,-0.5212835,"('unaffectionate', 'affectionate')",-0.2008806,-0.31119323,0.9504418,0.8866296,0.1361041,0.0180509,-0.1180532
9,-0.78185344,-0.9660164,"('unaffectionate', 'caring')",-0.15220898,-0.24965225,1.2437035,1.2556505,0.1032137,0.0133273,-0.0898864
10,-2.1313217,-2.209827,"('unsympathetic', 'sympathetic')",0.5486282,0.6982269,-0.3432909,-0.27341303,-0.6419948,-0.5950044,0.0469904
11,-0.907251,-0.8855214,"('unhelpful', 'helpful')",-0.039409433,0.03145518,1.6435183,1.7831969,0.232286,0.3097102,0.0774242
12,-0.80441624,-0.7636281,"('unsupportive', 'supportive')",0.7460822,0.96602494,-1.8130672,-1.7741505,-0.6238004,-0.5239179,0.0998825
13,-1.6213944,-1.5331892,"('impolite', 'polite')",0.17104605,0.24368578,-0.58303505,-0.5182705,-0.6777945,-0.6025913,0.0752032
14,-0.60858434,-0.6414234,"('antisocial', 'social')",2.3482044,2.37812,-0.35135365,-0.40067074,0.4627554,0.4453419,-0.0174135
15,0.8371282,0.7235471,"('boring', 'funny')",-0.8999629,-1.0757171,0.42598468,0.37777638,0.12105,0.0085355,-0.1125145
16,-0.17091826,-0.2854394,"('unpopular', 'popular')",-0.5825529,-0.6347472,0.52775186,0.48642492,-0.0752398,-0.1445872,-0.0693474
17,-0.13405125,-0.07076967,"('nasty', 'nice')",-1.0209724,-0.99641263,-0.37493932,-0.33085212,-0.5099876,-0.4660115,0.0439761
18,-0.642714,-0.67473584,"('disagreeable', 'welcoming')",-0.99690855,-0.98743254,-0.34495214,-0.36911002,-0.6615249,-0.6770928,-0.0155679
19,-0.9131244,-0.9454022,"('inhospitable', 'hospitable')",-1.8217034,-1.8755319,-0.2483543,-0.13566326,-0.994394,-0.9855324,0.0088616
