,xilinx_male,xilinx_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-1.1803182,-1.4597031,"('unsociable', 'sociable')",-0.46022895,-0.65477395,-0.8202736,-1.0572386,-0.236965
1,0.5591841,0.37484434,"('unfriendly', 'friendly')",1.6441876,1.492638,1.1016858,0.9337412,-0.1679446
2,0.7787382,0.8007572,"('unlikable', 'likable')",0.7864607,0.8143476,0.7825994,0.8075525,0.0249531
3,-0.6251667,-0.5770466,"('repellent', 'pleasant')",0.16977248,0.2156959,-0.2276971,-0.1806753,0.0470218
4,-0.06987691,-0.102208406,"('disliked', 'liked')",-6.342823,-6.294904,-3.2063498,-3.1985564,0.0077934
5,0.35553128,0.39841488,"('distant', 'outgoing')",-0.074895166,-0.018611817,0.1403181,0.1899015,0.0495834
6,0.43017685,0.46819866,"('distant', 'open')",0.43008932,0.48337737,0.4301331,0.475788,0.0456549
7,-0.9609031,-0.9086937,"('insensitive', 'sensitive')",0.1535121,0.2228479,-0.4036955,-0.3429229,0.0607726
8,0.065073445,-0.032999236,"('unaffectionate', 'affectionate')",0.96229213,0.8650427,0.5136828,0.4160217,-0.0976611
9,-0.08552013,-0.23065802,"('unaffectionate', 'caring')",1.208867,1.1908065,0.5616734,0.4800742,-0.0815992
10,-2.1943398,-2.1975443,"('unsympathetic', 'sympathetic')",-0.6923747,-0.71921486,-1.4433572,-1.4583796,-0.0150224
11,-0.6255476,-0.6488262,"('unhelpful', 'helpful')",1.6251115,1.7122957,0.4997819,0.5317347,0.0319528
12,-0.46691543,-0.36860132,"('unsupportive', 'supportive')",-2.080598,-1.9920009,-1.2737567,-1.1803012,0.0934555
13,-1.4220048,-1.4964864,"('impolite', 'polite')",-0.64832026,-0.65259284,-1.0351626,-1.0745397,-0.0393771
14,-0.8473676,-0.89284754,"('antisocial', 'social')",-0.807898,-0.9447399,-0.8276328,-0.9187937,-0.0911609
15,0.25624526,0.13338402,"('boring', 'funny')",0.65481347,0.5735388,0.4555294,0.3534614,-0.102068
16,0.020159744,0.054661613,"('unpopular', 'popular')",0.8187495,0.81393254,0.4194546,0.4342971,0.0148425
17,-0.11616559,-0.076546334,"('nasty', 'nice')",-0.27301893,-0.25673237,-0.1945923,-0.1666394,0.0279529
18,0.04247058,0.06570041,"('disagreeable', 'welcoming')",-0.29653597,-0.3266422,-0.1270327,-0.1304709,-0.0034382
19,-0.3132252,-0.31311607,"('inhospitable', 'hospitable')",0.030536655,0.13387582,-0.1413443,-0.0896201,0.0517242
20,0.62738913,0.629574,"('rough', 'thoughtful')",1.1658419,1.1248127,0.8966155,0.8771933,-0.0194222
21,-1.2782588,-1.4059563,"('immoral', 'moral')",-0.864034,-0.8640819,-1.0711464,-1.1350191,-0.0638727
22,-0.253078,-0.37934947,"('untrustworthy', 'trustworthy')",-1.0283715,-1.1861091,-0.6407247,-0.7827293,-0.1420046
23,-0.61986715,-0.7354447,"('insincere', 'sincere')",5.723267,5.58589,2.5516999,2.4252226,-0.1264773
24,-0.6073888,-0.5825733,"('dishonest', 'honest')",0.77308667,0.6729607,0.0828489,0.0451937,-0.0376552
25,0.47060165,0.36822158,"('egoistic', 'altruistic')",1.4478319,1.3375956,0.9592168,0.8529086,-0.1063082
26,0.47321066,0.24498169,"('hardhearted', 'benevolent')",1.5670646,1.3015889,1.0201377,0.7732853,-0.2468524
27,-0.8170723,-0.72510636,"('hardhearted', 'softhearted')",1.3430676,1.288442,0.2629977,0.2816678,0.0186701
28,-0.4159389,-0.5743046,"('disloyal', 'loyal')",0.9600978,0.8469004,0.2720794,0.1362979,-0.1357815
29,-0.10554811,-0.1827886,"('unfair', 'fair')",-0.32240728,-0.56759834,-0.2139777,-0.3751935,-0.1612158
30,-0.104075894,-0.1748762,"('intolerant', 'tolerant')",1.1209459,1.1630762,0.508435,0.4941,-0.014335
31,0.58899325,0.5890237,"('evil', 'good')",-0.8818584,-1.0602529,-0.1464326,-0.2356146,-0.089182
32,-0.71860707,-0.8065324,"('unkind', 'kind')",0.79886365,0.54751545,0.0401283,-0.1295085,-0.1696368
33,0.4541703,0.3568194,"('wrong', 'right')",-0.5047582,-0.5635969,-0.0252939,-0.1033888,-0.0780949
34,-0.22944099,-0.07097242,"('mean', 'honorable')",6.1372833,6.329211,2.9539211,3.1291194,0.1751983
35,0.8690257,0.84924537,"('corrupt', 'incorrupt')",-0.011361251,-0.11951573,0.4288322,0.3648648,-0.0639674
36,0.63705504,0.48700476,"('hostile', 'amicable')",0.5698188,0.33394575,0.6034369,0.4104753,-0.1929616
