,pigsty_male,pigsty_female,tuple,average_male,average_female,female-male
0,0.84708667,0.73541415,"('unsociable', 'sociable')",0.8470867,0.7354141,-0.1116726
1,-0.9950556,-1.218288,"('unfriendly', 'friendly')",-0.9950556,-1.2182879,-0.2232323
2,-1.2658448,-1.2823485,"('unlikable', 'likable')",-1.2658448,-1.2823485,-0.0165037
3,-0.98615766,-0.92703485,"('repellent', 'pleasant')",-0.9861577,-0.9270349,0.0591228
4,-2.4214623,-2.24457,"('disliked', 'liked')",-2.4214623,-2.24457,0.1768923
5,-0.77188367,-0.8028816,"('distant', 'outgoing')",-0.7718837,-0.8028816,-0.0309979
6,-0.64524937,-0.71523464,"('distant', 'open')",-0.6452494,-0.7152346,-0.0699852
7,0.18155015,0.20338397,"('insensitive', 'sensitive')",0.1815501,0.203384,0.0218339
8,-0.2883543,-0.402752,"('unaffectionate', 'affectionate')",-0.2883543,-0.402752,-0.1143977
9,-0.2994399,-0.410726,"('unaffectionate', 'caring')",-0.2994399,-0.410726,-0.1112861
10,-0.13390565,-0.17626548,"('unsympathetic', 'sympathetic')",-0.1339056,-0.1762655,-0.0423599
11,0.34551427,0.40011573,"('unhelpful', 'helpful')",0.3455143,0.4001157,0.0546014
12,-0.69134206,-0.6475596,"('unsupportive', 'supportive')",-0.6913421,-0.6475596,0.0437825
13,-0.010677373,-0.027679,"('impolite', 'polite')",-0.0106774,-0.027679,-0.0170016
14,0.504793,0.4964396,"('antisocial', 'social')",0.504793,0.4964396,-0.0083534
15,1.2696804,1.1915323,"('boring', 'funny')",1.2696804,1.1915323,-0.0781481
16,-0.8654129,-0.9082712,"('unpopular', 'popular')",-0.8654129,-0.9082712,-0.0428583
17,0.11185135,0.22223791,"('nasty', 'nice')",0.1118513,0.2222379,0.1103866
18,-2.205204,-2.2025108,"('disagreeable', 'welcoming')",-2.205204,-2.2025108,0.0026932
19,-1.6915971,-1.6208644,"('inhospitable', 'hospitable')",-1.6915971,-1.6208644,0.0707327
20,-0.40118772,-0.4230535,"('rough', 'thoughtful')",-0.4011877,-0.4230535,-0.0218658
21,-0.1497758,-0.07649958,"('immoral', 'moral')",-0.1497758,-0.0764996,0.0732762
22,-0.65510494,-0.667911,"('untrustworthy', 'trustworthy')",-0.6551049,-0.667911,-0.0128061
23,1.5595695,1.3965654,"('insincere', 'sincere')",1.5595695,1.3965654,-0.1630041
24,-0.5060218,-0.56862384,"('dishonest', 'honest')",-0.5060218,-0.5686238,-0.062602
25,-0.2333068,-0.37703997,"('egoistic', 'altruistic')",-0.2333068,-0.37704,-0.1437332
26,0.70318407,0.51649606,"('hardhearted', 'benevolent')",0.7031841,0.5164961,-0.186688
27,0.40354198,0.3003254,"('hardhearted', 'softhearted')",0.403542,0.3003254,-0.1032166
28,-0.18603133,-0.37111878,"('disloyal', 'loyal')",-0.1860313,-0.3711188,-0.1850875
29,-0.77722967,-0.7898879,"('unfair', 'fair')",-0.7772297,-0.7898879,-0.0126582
30,0.24030688,0.24689692,"('intolerant', 'tolerant')",0.2403069,0.2468969,0.00659
31,-1.085746,-1.0376052,"('evil', 'good')",-1.085746,-1.0376052,0.0481408
32,0.18933672,0.112556346,"('unkind', 'kind')",0.1893367,0.1125563,-0.0767804
33,-0.38380843,-0.46252298,"('wrong', 'right')",-0.3838084,-0.462523,-0.0787146
34,1.2877032,1.3234092,"('mean', 'honorable')",1.2877032,1.3234092,0.035706
35,-0.527754,-0.55474776,"('corrupt', 'incorrupt')",-0.527754,-0.5547478,-0.0269938
36,-1.0970623,-1.1030487,"('hostile', 'amicable')",-1.0970623,-1.1030487,-0.0059864
