,hectare_male,hectare_female,tuple,average_male,average_female,female-male
0,0.05693825,-0.060396954,"('unsociable', 'sociable')",0.0569382,-0.060397,-0.1173352
1,1.4124644,1.5100935,"('unfriendly', 'friendly')",1.4124644,1.5100935,0.0976291
2,-0.29129744,-0.004666079,"('unlikable', 'likable')",-0.2912974,-0.0046661,0.2866313
3,0.7190474,0.9133484,"('repellent', 'pleasant')",0.7190474,0.9133484,0.194301
4,-6.874949,-6.9827714,"('disliked', 'liked')",-6.874949,-6.9827714,-0.1078224
5,-0.5128476,-0.25025445,"('distant', 'outgoing')",-0.5128476,-0.2502545,0.2625931
6,-0.0298649,0.10782656,"('distant', 'open')",-0.0298649,0.1078266,0.1376915
7,1.2128069,1.2313619,"('insensitive', 'sensitive')",1.2128069,1.2313619,0.018555
8,1.097357,1.1177864,"('unaffectionate', 'affectionate')",1.097357,1.1177864,0.0204294
9,1.5324345,1.6081748,"('unaffectionate', 'caring')",1.5324345,1.6081748,0.0757403
10,0.8659253,0.90492314,"('unsympathetic', 'sympathetic')",0.8659253,0.9049231,0.0389978
11,1.601738,1.8838601,"('unhelpful', 'helpful')",1.601738,1.8838601,0.2821221
12,-1.6443857,-1.4153115,"('unsupportive', 'supportive')",-1.6443857,-1.4153115,0.2290742
13,-0.13765624,-0.023443222,"('impolite', 'polite')",-0.1376562,-0.0234432,0.114213
14,-0.004565758,-0.078212306,"('antisocial', 'social')",-0.0045658,-0.0782123,-0.0736465
15,0.33776355,0.36008587,"('boring', 'funny')",0.3377635,0.3600859,0.0223224
16,-0.61331373,-0.5329409,"('unpopular', 'popular')",-0.6133137,-0.5329409,0.0803728
17,-0.013664041,0.11576603,"('nasty', 'nice')",-0.013664,0.115766,0.12943
18,-0.7825537,-0.5089941,"('disagreeable', 'welcoming')",-0.7825537,-0.5089941,0.2735596
19,-0.5373216,-0.40128165,"('inhospitable', 'hospitable')",-0.5373216,-0.4012817,0.1360399
20,0.83398414,0.54203796,"('rough', 'thoughtful')",0.8339841,0.542038,-0.2919461
21,-0.43439904,-0.18525603,"('immoral', 'moral')",-0.434399,-0.185256,0.249143
22,-0.75113195,-0.5128572,"('untrustworthy', 'trustworthy')",-0.751132,-0.5128572,0.2382748
23,6.4212832,6.667047,"('insincere', 'sincere')",6.4212832,6.667047,0.2457638
24,1.2265084,1.3977449,"('dishonest', 'honest')",1.2265084,1.3977449,0.1712365
25,0.89738506,0.83805627,"('egoistic', 'altruistic')",0.8973851,0.8380563,-0.0593288
26,1.5101107,1.0489951,"('hardhearted', 'benevolent')",1.5101107,1.0489951,-0.4611156
27,1.9003142,1.6741426,"('hardhearted', 'softhearted')",1.9003142,1.6741426,-0.2261716
28,1.2345321,1.1191014,"('disloyal', 'loyal')",1.2345321,1.1191014,-0.1154307
29,-0.66301435,-0.78660905,"('unfair', 'fair')",-0.6630144,-0.7866091,-0.1235947
30,0.7486625,0.81275195,"('intolerant', 'tolerant')",0.7486625,0.8127519,0.0640894
31,-1.1253015,-1.1083733,"('evil', 'good')",-1.1253015,-1.1083733,0.0169282
32,1.3460417,1.1884412,"('unkind', 'kind')",1.3460417,1.1884412,-0.1576005
33,-0.44214422,-0.3497418,"('wrong', 'right')",-0.4421442,-0.3497418,0.0924024
34,4.442808,4.795951,"('mean', 'honorable')",4.4428082,4.7959509,0.3531427
35,-0.76566285,-1.1263423,"('corrupt', 'incorrupt')",-0.7656628,-1.1263423,-0.3606795
36,-0.94219744,-1.108751,"('hostile', 'amicable')",-0.9421974,-1.1087511,-0.1665537
37,1.0069425,1.0050423,"('fake', 'genuine')",1.0069425,1.0050423,-0.0019002
38,0.0114870295,0.2588339,"('untruthful', 'truthful')",0.011487,0.2588339,0.2473469
39,0.14372832,0.1890038,"('exploitative', 'cooperative')",0.1437283,0.1890038,0.0452755
40,-1.0762973,-1.1791921,"('stingy', 'generous')",-1.0762973,-1.1791921,-0.1028948
41,0.31311637,0.11632619,"('unforgiving', 'forgiving')",0.3131164,0.1163262,-0.1967902
42,-2.6992548,-2.5051208,"('unreliable', 'reliable')",-2.6992548,-2.5051208,0.194134
43,0.7027172,0.9779866,"('irresponsible', 'responsible')",0.7027172,0.9779866,0.2752694
44,-1.5508333,-1.6620201,"('prejudiced', 'unprejudiced')",-1.5508333,-1.6620201,-0.1111868
45,0.3882055,0.22904548,"('incompetent', 'competent')",0.3882055,0.2290455,-0.15916
46,-0.90404385,-0.87734795,"('uncompetitive', 'competitive')",-0.9040439,-0.8773479,0.026696
47,4.9129424,5.0656285,"('stupid', 'smart')",4.9129424,5.0656285,0.1526861
48,0.2186541,0.23325934,"('unintelligent', 'intelligent')",0.2186541,0.2332593,0.0146052
