,decadence_male,decadence_female,tuple,average_male,average_female,female-male
0,-0.49588144,-0.70736223,"('unsociable', 'sociable')",-0.4958814,-0.7073622,-0.2114808
1,0.32106102,0.066397026,"('unfriendly', 'friendly')",0.321061,0.066397,-0.254664
2,0.48086235,0.47338578,"('unlikable', 'likable')",0.4808623,0.4733858,-0.0074765
3,-0.7630104,-0.6137191,"('repellent', 'pleasant')",-0.7630104,-0.6137191,0.1492913
4,-3.3515792,-3.1474476,"('disliked', 'liked')",-3.3515792,-3.1474476,0.2041316
5,-0.24624607,-0.2976984,"('distant', 'outgoing')",-0.2462461,-0.2976984,-0.0514523
6,-0.6153419,-0.6780703,"('distant', 'open')",-0.6153419,-0.6780703,-0.0627284
7,0.027580936,0.07070407,"('insensitive', 'sensitive')",0.0275809,0.0707041,0.0431232
8,-0.3602724,-0.6167257,"('unaffectionate', 'affectionate')",-0.3602724,-0.6167257,-0.2564533
9,-0.24027178,-0.46206248,"('unaffectionate', 'caring')",-0.2402718,-0.4620625,-0.2217907
10,-0.85645145,-0.85324657,"('unsympathetic', 'sympathetic')",-0.8564515,-0.8532466,0.0032049
11,1.1822324,1.107403,"('unhelpful', 'helpful')",1.1822324,1.107403,-0.0748294
12,-1.5164008,-1.5383332,"('unsupportive', 'supportive')",-1.5164008,-1.5383332,-0.0219324
13,-0.51941186,-0.6925243,"('impolite', 'polite')",-0.5194119,-0.6925243,-0.1731124
14,-0.46472535,-0.57588345,"('antisocial', 'social')",-0.4647253,-0.5758834,-0.1111581
15,0.3548727,0.15742877,"('boring', 'funny')",0.3548727,0.1574288,-0.1974439
16,-0.12474138,-0.09570871,"('unpopular', 'popular')",-0.1247414,-0.0957087,0.0290327
17,-0.6886829,-0.6089505,"('nasty', 'nice')",-0.6886829,-0.6089505,0.0797324
18,-0.5544278,-0.683896,"('disagreeable', 'welcoming')",-0.5544278,-0.683896,-0.1294682
19,-0.54748505,-0.48844758,"('inhospitable', 'hospitable')",-0.5474851,-0.4884476,0.0590375
20,0.44851,0.35115305,"('rough', 'thoughtful')",0.44851,0.351153,-0.097357
21,-0.4990418,-0.53162915,"('immoral', 'moral')",-0.4990418,-0.5316291,-0.0325873
22,-0.3146116,-0.388519,"('untrustworthy', 'trustworthy')",-0.3146116,-0.388519,-0.0739074
23,2.711611,2.3686197,"('insincere', 'sincere')",2.711611,2.3686197,-0.3429913
24,-0.5586421,-0.7887321,"('dishonest', 'honest')",-0.5586421,-0.7887321,-0.23009
25,0.1405023,0.018241083,"('egoistic', 'altruistic')",0.1405023,0.0182411,-0.1222612
26,0.5038374,0.24690908,"('hardhearted', 'benevolent')",0.5038374,0.2469091,-0.2569283
27,0.20421483,0.16302541,"('hardhearted', 'softhearted')",0.2042148,0.1630254,-0.0411894
28,-0.017238233,-0.12769938,"('disloyal', 'loyal')",-0.0172382,-0.1276994,-0.1104612
29,-0.8709201,-0.9175441,"('unfair', 'fair')",-0.8709201,-0.9175441,-0.046624
30,0.19494635,-0.005441528,"('intolerant', 'tolerant')",0.1949463,-0.0054415,-0.2003878
31,-1.7572088,-1.7958839,"('evil', 'good')",-1.7572088,-1.7958839,-0.0386751
32,0.6347314,0.35466257,"('unkind', 'kind')",0.6347314,0.3546626,-0.2800688
33,-0.047620002,-0.17376263,"('wrong', 'right')",-0.04762,-0.1737626,-0.1261426
34,2.4797466,2.4076672,"('mean', 'honorable')",2.4797466,2.4076672,-0.0720794
