,mallinckrodt_male,mallinckrodt_female,tuple,plc_male,plc_female,average_male,average_female,female-male
0,-1.3596618,-1.3987066,"('unsociable', 'sociable')",-0.23612043,-0.24028322,-0.7978911,-0.8194949,-0.0216038
1,-0.24680677,-0.44293594,"('unfriendly', 'friendly')",2.1874032,1.9078195,0.9702982,0.7324418,-0.2378564
2,0.35228798,0.3763092,"('unlikable', 'likable')",0.3971827,0.44344494,0.3747354,0.4098771,0.0351417
3,-1.0575936,-0.9345707,"('repellent', 'pleasant')",-0.23966582,-0.1839009,-0.6486297,-0.5592358,0.0893939
4,0.21569864,0.13624632,"('disliked', 'liked')",-4.8981233,-4.741175,-2.3412123,-2.3024645,0.0387478
5,1.0188187,0.8734923,"('distant', 'outgoing')",0.3428668,0.16892889,0.6808428,0.5212106,-0.1596322
6,1.0519578,0.90955687,"('distant', 'open')",0.45893344,0.24592757,0.7554457,0.5777422,-0.1777035
7,-0.62370825,-0.574001,"('insensitive', 'sensitive')",0.69042474,0.78330743,0.0333582,0.1046532,0.071295
8,0.06953299,-0.021237293,"('unaffectionate', 'affectionate')",0.9326546,0.61836207,0.5010938,0.2985624,-0.2025314
9,-0.26655984,-0.3362863,"('unaffectionate', 'caring')",1.392792,1.2015984,0.5631161,0.432656,-0.1304601
10,-1.612031,-1.534327,"('unsympathetic', 'sympathetic')",-0.4416375,-0.3316358,-1.0268342,-0.9329814,0.0938528
11,-1.405492,-1.3158809,"('unhelpful', 'helpful')",1.1316366,1.1467904,-0.1369277,-0.0845453,0.0523824
12,-1.065283,-1.0261527,"('unsupportive', 'supportive')",-0.9843251,-0.8522318,-1.024804,-0.9391923,0.0856117
13,-0.97173876,-0.914387,"('impolite', 'polite')",-0.34044006,-0.22088571,-0.6560894,-0.5676364,0.088453
14,-0.93839276,-0.8199837,"('antisocial', 'social')",0.59009135,0.8399872,-0.1741507,0.0100017,0.1841524
15,0.9260118,0.87745595,"('boring', 'funny')",0.035836063,-2.0425767e-05,0.4809239,0.4387178,-0.0422061
16,-0.06288004,-0.10646401,"('unpopular', 'popular')",-0.23570284,-0.27354896,-0.1492914,-0.1900065,-0.0407151
17,-0.4539232,-0.3918634,"('nasty', 'nice')",-1.0749891,-1.152799,-0.7644562,-0.7723312,-0.007875
18,-0.3121812,-0.31441605,"('disagreeable', 'welcoming')",-0.9388424,-1.0506856,-0.6255118,-0.6825508,-0.057039
19,-0.04052391,-0.08112548,"('inhospitable', 'hospitable')",-0.4708933,-0.6561328,-0.2557086,-0.3686292,-0.1129206
20,-0.19915394,-0.09010619,"('rough', 'thoughtful')",1.0878066,1.0968676,0.4443263,0.5033807,0.0590544
21,-1.7423222,-1.6438354,"('immoral', 'moral')",-1.2960099,-1.1088626,-1.519166,-1.376349,0.142817
22,-0.31996843,-0.27274784,"('untrustworthy', 'trustworthy')",-0.5625372,-0.57596654,-0.4412528,-0.4243572,0.0168956
23,-1.3236809,-1.3290854,"('insincere', 'sincere')",4.4686003,4.1894574,1.5724597,1.430186,-0.1422737
24,-0.7556068,-0.740845,"('dishonest', 'honest')",0.6872723,0.63457936,-0.0341672,-0.0531328,-0.0189656
25,-0.1151073,-0.20603776,"('egoistic', 'altruistic')",1.3765235,1.2019874,0.6307081,0.4979748,-0.1327333
26,-0.22604424,-0.2828878,"('hardhearted', 'benevolent')",2.611577,2.5129182,1.1927664,1.1150153,-0.0777511
27,0.3042461,0.26924875,"('hardhearted', 'softhearted')",0.48845387,0.27322185,0.39635,0.2712353,-0.1251147
