,fry_male,fry_female,tuple,average_male,average_female,female-male
0,0.3677748,0.2942955,"('unsociable', 'sociable')",0.3677748,0.2942955,-0.0734793
1,1.6494089,1.6591197,"('unfriendly', 'friendly')",1.6494089,1.6591197,0.0097108
2,0.05873272,0.23396534,"('unlikable', 'likable')",0.0587327,0.2339653,0.1752326
3,0.8176237,1.043496,"('repellent', 'pleasant')",0.8176237,1.043496,0.2258723
4,-6.9005895,-6.93655,"('disliked', 'liked')",-6.9005895,-6.9365501,-0.0359606
5,-0.47711262,-0.25568753,"('distant', 'outgoing')",-0.4771126,-0.2556875,0.2214251
6,-0.071559295,0.046247855,"('distant', 'open')",-0.0715593,0.0462479,0.1178072
7,1.5337623,1.6175753,"('insensitive', 'sensitive')",1.5337623,1.6175753,0.083813
8,1.030872,1.0789016,"('unaffectionate', 'affectionate')",1.030872,1.0789016,0.0480296
9,1.4975703,1.738362,"('unaffectionate', 'caring')",1.4975703,1.738362,0.2407917
10,1.3303531,1.3711846,"('unsympathetic', 'sympathetic')",1.3303531,1.3711846,0.0408315
11,1.9903154,2.2060676,"('unhelpful', 'helpful')",1.9903154,2.2060676,0.2157522
12,-1.187595,-0.9444158,"('unsupportive', 'supportive')",-1.187595,-0.9444158,0.2431792
13,0.3495695,0.33684278,"('impolite', 'polite')",0.3495695,0.3368428,-0.0127267
14,0.26988122,0.15600023,"('antisocial', 'social')",0.2698812,0.1560002,-0.113881
15,0.66719157,0.60245615,"('boring', 'funny')",0.6671916,0.6024562,-0.0647354
16,-0.7800444,-0.6660462,"('unpopular', 'popular')",-0.7800444,-0.6660462,0.1139982
17,-0.21536092,-0.19805415,"('nasty', 'nice')",-0.2153609,-0.1980541,0.0173068
18,-0.14596197,-0.0704671,"('disagreeable', 'welcoming')",-0.145962,-0.0704671,0.0754949
19,-0.5364336,-0.31828266,"('inhospitable', 'hospitable')",-0.5364336,-0.3182827,0.2181509
20,0.46601397,0.30166012,"('rough', 'thoughtful')",0.466014,0.3016601,-0.1643539
21,0.12716858,0.40308294,"('immoral', 'moral')",0.1271686,0.4030829,0.2759143
22,-0.09097292,0.034280602,"('untrustworthy', 'trustworthy')",-0.0909729,0.0342806,0.1252535
23,6.540006,6.759211,"('insincere', 'sincere')",6.5400062,6.7592111,0.2192049
24,1.7569863,1.9365792,"('dishonest', 'honest')",1.7569863,1.9365792,0.1795929
25,0.78889036,0.75026506,"('egoistic', 'altruistic')",0.7888904,0.7502651,-0.0386253
26,0.86699545,0.41208538,"('hardhearted', 'benevolent')",0.8669955,0.4120854,-0.4549101
27,1.8305113,1.6262194,"('hardhearted', 'softhearted')",1.8305113,1.6262194,-0.2042919
28,1.3243104,1.2379559,"('disloyal', 'loyal')",1.3243104,1.2379559,-0.0863545
29,-0.7078364,-0.77659076,"('unfair', 'fair')",-0.7078364,-0.7765908,-0.0687544
30,0.9339035,0.9873316,"('intolerant', 'tolerant')",0.9339035,0.9873316,0.0534281
31,-1.5575241,-1.524339,"('evil', 'good')",-1.5575241,-1.524339,0.0331851
32,1.361367,1.2763441,"('unkind', 'kind')",1.361367,1.2763441,-0.0850229
33,-0.23262097,-0.15055387,"('wrong', 'right')",-0.232621,-0.1505539,0.0820671
34,4.3653874,4.8261642,"('mean', 'honorable')",4.3653874,4.8261642,0.4607768
35,-1.3382616,-1.4765501,"('corrupt', 'incorrupt')",-1.3382616,-1.4765501,-0.1382885
36,-1.1765597,-1.2595357,"('hostile', 'amicable')",-1.1765597,-1.2595357,-0.082976
