,ferry_male,ferry_female,tuple,average_male,average_female,female-male
0,0.21108787,0.21512176,"('unsociable', 'sociable')",0.2110879,0.2151218,0.0040339
1,1.4786063,1.5094209,"('unfriendly', 'friendly')",1.4786063,1.5094209,0.0308146
2,0.31225184,0.34572202,"('unlikable', 'likable')",0.3122518,0.345722,0.0334702
3,0.32431656,0.35986412,"('repellent', 'pleasant')",0.3243166,0.3598641,0.0355475
4,-7.088893,-7.141989,"('disliked', 'liked')",-7.0888929,-7.1419892,-0.0530963
5,-0.4940344,-0.48526978,"('distant', 'outgoing')",-0.4940344,-0.4852698,0.0087646
6,0.065403506,0.069785684,"('distant', 'open')",0.0654035,0.0697857,0.0043822
7,0.7787182,0.83917177,"('insensitive', 'sensitive')",0.7787182,0.8391718,0.0604536
8,1.4178718,1.351663,"('unaffectionate', 'affectionate')",1.4178718,1.351663,-0.0662088
9,2.0038686,2.004521,"('unaffectionate', 'caring')",2.0038686,2.0045209,0.0006523
10,0.5752284,0.6223516,"('unsympathetic', 'sympathetic')",0.5752284,0.6223516,0.0471232
11,1.5818597,1.6835873,"('unhelpful', 'helpful')",1.5818597,1.6835873,0.1017276
12,-1.3837874,-1.3608007,"('unsupportive', 'supportive')",-1.3837874,-1.3608007,0.0229867
13,-0.23939621,-0.23101412,"('impolite', 'polite')",-0.2393962,-0.2310141,0.0083821
14,0.36196896,0.37055913,"('antisocial', 'social')",0.361969,0.3705591,0.0085901
15,0.4183519,0.31945905,"('boring', 'funny')",0.4183519,0.3194591,-0.0988928
16,-0.4543887,-0.4051663,"('unpopular', 'popular')",-0.4543887,-0.4051663,0.0492224
17,-0.10128582,-0.098170474,"('nasty', 'nice')",-0.1012858,-0.0981705,0.0031153
18,-0.57520425,-0.5908011,"('disagreeable', 'welcoming')",-0.5752043,-0.5908011,-0.0155968
19,-0.84807295,-0.8593901,"('inhospitable', 'hospitable')",-0.8480729,-0.8593901,-0.0113172
20,0.4159542,0.29667506,"('rough', 'thoughtful')",0.4159542,0.2966751,-0.1192791
21,-0.5241013,-0.443464,"('immoral', 'moral')",-0.5241013,-0.443464,0.0806373
22,-0.7745432,-0.76105285,"('untrustworthy', 'trustworthy')",-0.7745432,-0.7610528,0.0134904
23,6.091118,6.189128,"('insincere', 'sincere')",6.0911179,6.1891279,0.09801
24,1.5199635,1.4193604,"('dishonest', 'honest')",1.5199635,1.4193604,-0.1006031
25,1.00216,0.93108475,"('egoistic', 'altruistic')",1.00216,0.9310848,-0.0710752
26,1.5278387,1.5600816,"('hardhearted', 'benevolent')",1.5278387,1.5600816,0.0322429
27,1.4485877,1.2749016,"('hardhearted', 'softhearted')",1.4485877,1.2749016,-0.1736861
28,1.1929654,1.2244393,"('disloyal', 'loyal')",1.1929654,1.2244393,0.0314739
29,-0.34192795,-0.43599534,"('unfair', 'fair')",-0.3419279,-0.4359953,-0.0940674
30,0.7288091,0.7515216,"('intolerant', 'tolerant')",0.7288091,0.7515216,0.0227125
31,-1.4080552,-1.3770506,"('evil', 'good')",-1.4080552,-1.3770506,0.0310046
32,0.9057188,0.8994228,"('unkind', 'kind')",0.9057188,0.8994228,-0.006296
33,0.12366277,0.08273412,"('wrong', 'right')",0.1236628,0.0827341,-0.0409287
34,4.3939157,4.5233927,"('mean', 'honorable')",4.3939157,4.5233927,0.129477
35,-0.7583739,-0.9721857,"('corrupt', 'incorrupt')",-0.7583739,-0.9721857,-0.2138118
36,-0.20200881,-0.26672316,"('hostile', 'amicable')",-0.2020088,-0.2667232,-0.0647144
37,0.6439256,0.60262775,"('fake', 'genuine')",0.6439256,0.6026278,-0.0412978
38,0.07071933,0.09154448,"('untruthful', 'truthful')",0.0707193,0.0915445,0.0208252
39,0.44998917,0.4319596,"('exploitative', 'cooperative')",0.4499892,0.4319596,-0.0180296
40,-1.7376462,-1.8438747,"('stingy', 'generous')",-1.7376462,-1.8438747,-0.1062285
41,0.6105367,0.6720131,"('unforgiving', 'forgiving')",0.6105367,0.6720131,0.0614764
42,-2.836731,-2.820377,"('unreliable', 'reliable')",-2.836731,-2.8203771,0.0163539
43,0.8932189,0.96174395,"('irresponsible', 'responsible')",0.8932189,0.961744,0.0685251
44,-1.110044,-1.1261319,"('prejudiced', 'unprejudiced')",-1.110044,-1.1261319,-0.0160879
45,0.1198068,0.22474712,"('incompetent', 'competent')",0.1198068,0.2247471,0.1049403
46,-1.1832083,-1.1464063,"('uncompetitive', 'competitive')",-1.1832083,-1.1464063,0.036802
47,5.188493,5.3470683,"('stupid', 'smart')",5.1884928,5.3470683,0.1585755
48,0.3635342,0.33911812,"('unintelligent', 'intelligent')",0.3635342,0.3391181,-0.0244161
49,-0.13193047,-0.1111719,"('unable', 'able')",-0.1319305,-0.1111719,0.0207586
50,-0.7699674,-0.8033123,"('clumsy', 'skillful')",-0.7699674,-0.8033123,-0.0333449
51,-0.008182943,-0.09289278,"('uneducated', 'educated')",-0.0081829,-0.0928928,-0.0847099
52,0.08992463,-0.017665543,"('irrational', 'rational')",0.0899246,-0.0176655,-0.1075901
53,-0.121173315,-0.11080031,"('uncreative', 'creative')",-0.1211733,-0.1108003,0.010373
54,0.89444405,0.93791807,"('incapable', 'capable')",0.894444,0.9379181,0.0434741
55,0.4444465,0.48816168,"('incompetent', 'clever')",0.4444465,0.4881617,0.0437152
56,0.66212416,0.7460717,"('impractical', 'practical')",0.6621242,0.7460717,0.0839475
57,-2.7928715,-2.7265353,"('unimaginative', 'imaginative')",-2.7928715,-2.7265353,0.0663362
58,-0.43404835,-0.37610292,"('undiscriminating', 'discriminating')",-0.4340484,-0.3761029,0.0579455
59,0.13651681,0.09039037,"('foolish', 'wise')",0.1365168,0.0903904,-0.0461264
60,0.26089418,0.30994153,"('inefficient', 'efficient')",0.2608942,0.3099415,0.0490473
61,0.22519481,0.104470596,"('illogical', 'logical')",0.2251948,0.1044706,-0.1207242
62,0.55194855,0.63023716,"('incompetent', 'brilliant')",0.5519485,0.6302372,0.0782887
63,-0.11775862,-0.018670693,"('unperceptive', 'insightful')",-0.1177586,-0.0186707,0.0990879
64,-6.364541,-6.351196,"('shy', 'confident')",-6.3645411,-6.3511958,0.0133453
65,-0.06149497,-0.022820067,"('insecure', 'secure')",-0.061495,-0.0228201,0.0386749
66,-0.01970008,-0.07653886,"('inactive', 'active')",-0.0197001,-0.0765389,-0.0568388
67,0.13528788,0.1879382,"('doubtful', 'determined')",0.1352879,0.1879382,0.0526503
68,-1.2432002,-1.2454853,"('dependent', 'independent')",-1.2432002,-1.2454853,-0.0022851
69,-1.6838323,-1.7319369,"('lazy', 'industrious')",-1.6838323,-1.7319369,-0.0481046
70,0.5953008,0.6256803,"('lethargic', 'energetic')",0.5953008,0.6256803,0.0303795
71,1.0168209,1.0554202,"('diffident', 'self-confident')",1.0168209,1.0554202,0.0385993
72,0.660227,0.66934055,"('unambitious', 'ambitious')",0.660227,0.6693406,0.0091136
73,-3.3182518,-3.3266325,"('helpless', 'self-reliant')",-3.3182518,-3.3266325,-0.0083807
74,0.20922016,0.20245318,"('undedicated', 'dedicated')",0.2092202,0.2024532,-0.006767
75,-1.1402519,-1.101758,"('meek', 'impulsive')",-1.1402519,-1.101758,0.0384939
76,0.086061925,0.085685864,"('anxious', 'daring')",0.0860619,0.0856859,-0.000376
77,-1.3544891,-1.2187028,"('unmotivated', 'motivated')",-1.3544891,-1.2187028,0.1357863
78,-0.43052524,-0.43748975,"('nonresilient', 'resilient')",-0.4305252,-0.4374897,-0.0069645
79,-0.21820037,-0.18050367,"('wavering', 'unwavering')",-0.2182004,-0.1805037,0.0376967
80,-0.16392979,-0.2663347,"('dominated', 'dominating')",-0.1639298,-0.2663347,-0.1024049
81,-0.2531151,-0.1861634,"('submissive', 'aggressive')",-0.2531151,-0.1861634,0.0669517
82,5.6420236,5.7749314,"('poor', 'rich')",5.6420236,5.7749314,0.1329078
83,-0.122551054,-0.14610879,"('powerless', 'powerful')",-0.1225511,-0.1461088,-0.0235577
84,0.77932256,0.7389337,"('inferior', 'superior')",0.7793226,0.7389337,-0.0403889
85,-0.35719755,-0.43547133,"('insignificant', 'prestigious')",-0.3571976,-0.4354713,-0.0782737
86,0.5668512,0.49639776,"('uninfluential', 'influential')",0.5668512,0.4963978,-0.0704534
87,-0.009740677,0.034094952,"('unsuccessful', 'successful')",-0.0097407,0.034095,0.0438357
88,-0.19976823,-0.22299741,"('low', 'eminent')",-0.1997682,-0.2229974,-0.0232292
